pcid,FI,Lead Origin,Country,State,City,Instance,Instance Date,Campaign
72385,11,API,India,Maharashtra,Mumbai,Primary,27-02-2026,collegedunia/147/api_d2p0aTM2MzFDRGVoWXRhSmkrcEREUT09
72385,11,API,India,Karnataka,Bengaluru,Primary,11-02-2026,collegedunia/181/api_cExUaFdBUzB0Y0J1eWs0cjJkZGxGQT09
72385,11,API,India,Kerala,Chennithala,Primary,06-02-2026,collegedunia/259/api_Vzc5N1grMEEyenl5b04rT0Z1QXV0UT09
72385,11,API,India,Maharashtra,South Delhi,Primary,06-02-2026,collegedunia/259/api_bENtQ2QzMkUxcTdVODU4MWlFUS9WZz09
72385,11,API,India,Maharashtra,Pune,Primary,04-02-2026,collegedunia/241/api_YnEwWTNoWVAxbHZsNk93bUxuSmRHdz09
72385,11,API,India,Karnataka,Hassan,Primary,03-02-2026,collegedunia/186/api_Q1RYMzdMekpteHNpSGc1eEpZVnNmUT09
72385,11,API,India,Maharashtra,Pune,Primary,03-02-2026,collegedunia/181/api_eHVHbWJrZUw2YUJyTGliMmxjNnNwQT09
72385,11,API,India,Maharashtra,Nashik,Primary,30-01-2026,collegedunia/181/api_cThkeGhBSUMwNkRMNnhpVDBCQStWQT09
72385,11,API,India,Chhattisgarh,Raipur,Primary,19-01-2026,collegedunia/181/api_ZklGd2g3UkFhMTVTcTdMc2I2dUpyQT09
72385,11,API,India,Telangana,Hyderabad,Primary,19-01-2026,collegedunia/181/api_czJMWkV0eTlSWGUrQkJqWmpwSnN2dz09
72385,11,API,India,Chhattisgarh,Raipur,Primary,19-01-2026,collegedunia/230/api_NTVMb2IwUHJveVVmVE9pTkRxaFhnUT09
72385,11,API,India,Maharashtra,Pune,Primary,16-01-2026,collegedunia/240/api_OFp2V25QOEE3YjdRZU9iN0lNSW00Zz09
72385,11,API,India,Maharashtra,Pune,Primary,08-01-2026,collegedunia/260/api_b09wR2dMRWFadUtlank1N0NDeklWUT09
72385,11,API,India,Maharashtra,Solapur,Primary,02-01-2026,collegedunia/214/api_Z0FER3YxUk1BdjRXUW10Ujhpdm1QUT09
72385,11,API,India,Telangana,Hyderabad,Primary,31-12-2025,collegedunia/186/api_cG9SQnNhK1Aya0Z0eXZkMnY2Ri9VUT09
72385,11,API,India,Kerala,Kasaragod,Primary,31-12-2025,collegedunia/181/api_QUdzVW93a29jeklkVytDdGZmeE1YQT09
72385,11,API,India,Maharashtra,Pune,Primary,29-12-2025,collegedunia/228/api_SDc4RzVwWnAwT1hQc1ZtckUrcWhqUT09
72385,11,API,India,West Bengal,Kolkata,Primary,29-12-2025,collegedunia/230_RV/api_NnlxaUhsZVA1L1dBdjF1aUZwZlVhUT09
72385,11,API,India,Assam,Guwahati,Primary,27-12-2025,collegedunia/181/api_RnBQVGZGTlUrdWFQTFhWRTd3Z1E0QT09
72385,11,API,India,Maharashtra,Pune,Primary,27-12-2025,collegedunia/181/api_R2dXU2J4OWMwa01xd3hzU3NEemp0dz09
72385,11,API,India,Bihar,Munger,Primary,20-12-2025,collegedunia/181/api_dTQvNmpoZVpMY3VtQ1g1aU1sR2l5Zz09
72385,11,API,India,Karnataka,Mangaluru,Primary,29-11-2025,collegedunia/181/api_V1RBbnY0L29jTzlldFdPYVpCakJrdz09
72385,11,API,India,Maharashtra,Thane,Primary,28-11-2025,collegedunia/181/api_ekY4T1lTMGhUYWxPVlpld3lwSDdYZz09
72385,11,API,India,Maharashtra,Pune,Primary,21-11-2025,collegedunia/181/api_140146037
72385,11,API,India,Tamil Nadu,Chennai,Primary,18-11-2025,collegedunia/181/api_140116876
72385,11,API,India,Kerala,Kottayam,Primary,17-11-2025,collegedunia/181/api_140105555
72385,11,API,India,Maharashtra,Pune,Primary,15-11-2025,collegedunia/181/api_140064177
72385,11,API,India,Delhi,New Delhi,Primary,13-11-2025,collegedunia/181/api_139981806
72385,11,API,India,Maharashtra,Mumbai,Primary,11-11-2025,collegedunia/181/api_139968047
72385,11,API,India,Maharashtra,Ahmednagar,Primary,11-11-2025,collegedunia/181/api_140031395
72385,11,API,India,Maharashtra,Nagpur,Primary,07-11-2025,collegedunia/181/api_139979551
72385,11,API,India,Maharashtra,Pune,Primary,07-11-2025,collegedunia/181/api_140009109
72385,11,API,India,Maharashtra,Pune,Primary,06-11-2025,collegedunia/181/api_139996583
72385,11,API,India,Maharashtra,Pune,Primary,29-10-2025,collegedunia/181/api_139926410
72385,11,API,India,Maharashtra,Pune,Primary,29-10-2025,collegedunia/181/api_139935631
72385,11,API,India,Maharashtra,Pune,Primary,20-10-2025,collegedunia/260/api_139925896
72385,11,API,India,Maharashtra,Jalgaon,Primary,20-10-2025,collegedunia/260/api_139922614
