pcid,FI,Lead Origin,Country,State,City,Instance,Instance Date,Campaign,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22
72784,11,API,India,Andhra Pradesh,Nellore,Primary,23-02-2026,collegedunia/271/api_Mk1ITGVFVFNyVis4dGk2ZllGWlFaUT09,Submitted,Verified,Yes,Yes,118,,Course Not Available,Specialization Not Available,University Not Available,16-03-2026 18:17,1,1
72784,11,API,India,Tamil Nadu,Kovilpatti,Primary,23-02-2026,collegedunia/263/api_UFBlVnYzdU5KeTROOTQzUGN5akh1Zz09,Submitted,Verified,No,Yes,87,,Course Not Available,Specialization Not Available,University Not Available,20-03-2026 11:24,1,1
72784,11,API,India,Tamil Nadu,Kallakurichi,Primary,07-02-2026,collegedunia/228_LPS/api_cE43RmtPYSsyYXhZOFNEZ0hSdm94dz09,Submitted,Verified,Yes,Yes,136,,Course Not Available,Specialization Not Available,University Not Available,10-02-2026 19:46,1,1
72784,11,API,India,Tamil Nadu,Palani,Primary,20-01-2026,collegedunia/270/api_ekdtTTF0L3FiU3VSNXZsZWJPeHAxQT09,Submitted,Verified,Yes,Yes,131,,Course Not Available,Specialization Not Available,University Not Available,18-03-2026 19:16,1,1
72784,11,API,India,Andhra Pradesh,Tirupati,Primary,01-12-2025,collegedunia/198/api_cVl1Ym1VSDlGdktWZ0NjczU1ODhJUT09,Closed,Verified,No,Yes,71,,Course Not Available,Specialization Not Available,University Not Available,05-12-2025 20:32,1,1
72784,11,API,India,Tamil Nadu,Salem,Primary,26-11-2025,collegedunia/208_LPS/api_U2VUbWFCL2JWOVJ2d28rdnV0cDVQQT09,Submitted,Verified,Yes,Yes,100,,Course Not Available,Specialization Not Available,University Not Available,11-12-2025 18:48,1,1
72784,11,API,India,Tamil Nadu,Nagercoil,Primary,05-11-2025,collegedunia/208/api_139997160,Submitted,Verified,No,Yes,110,,Course Not Available,Specialization Not Available,University Not Available,11-12-2025 22:06,1,1
72784,11,API,India,Tamil Nadu,Tiruchirappalli,Primary,24-10-2025,collegedunia/271/api_139688486,Submitted,Unverified,No,No,96,,PGDM,Specialization Not Available,University Not Available,02-02-2026 19:26,1,1
72784,11,API,India,Tamil Nadu,Madurai,Primary,20-10-2025,collegedunia/214/api_139928706,Submitted,Verified,Yes,Yes,109,,Course Not Available,Specialization Not Available,University Not Available,24-10-2025 19:43,1,1
72784,11,API,India,Tamil Nadu,Kovilpatti,Primary,20-10-2025,collegedunia/214/api_139376471,Submitted,Verified,No,Yes,159,,Course Not Available,Specialization Not Available,University Not Available,24-10-2025 20:01,1,1
72784,11,API,India,Tamil Nadu,Coimbatore,Primary,16-10-2025,collegedunia/220/api_139126284,Submitted,Verified,No,Yes,139,,PGDM,Specialization Not Available,University Not Available,25-02-2026 10:39,1,1
