pcid,FI,Lead Origin,Country,State,City,Instance,Instance Date,Campaign,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19
72371,11,Online,India,Maharashtra,Ahmednagar,Primary,09-03-2026,collegedunia/kamp22/online,Moved To Application,Verified,Mobile,PGDM,Specialization Not Available,University Not Available,18-03-2026 13:36,1,1
72371,11,Online,India,Delhi,New Delhi,Primary,20-02-2026,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,21-02-2026 15:20,1,1
72371,11,API,India,Delhi,New Delhi,Primary,30-01-2026,collegedunia/279/api_WXVmbVFJZUw0Nzh6SUJWS2tjY05pQT09,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,28-02-2026 17:49,2,1
72371,11,API,India,Maharashtra,Pune,Primary,22-01-2026,collegedunia/220_MPA/api_MUZoaythd3ZGMVBDL0VLSDFKRTB5QT09,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,23-01-2026 15:45,1,1
72371,11,Online,India,Uttar Pradesh,Lucknow,Primary,21-01-2026,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,21-01-2026 16:26,1,1
72371,11,Online,India,Himachal Pradesh,Kangra,Primary,20-01-2026,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,20-01-2026 18:31,1,1
72371,11,Online,India,Uttar Pradesh,Lucknow,Primary,19-01-2026,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,20-01-2026 11:06,1,1
72371,11,Online,India,Madhya Pradesh,Gohad,Primary,19-01-2026,collegedunia/CDC/online,Moved To Application,Verified,Desktop,PGDM,Specialization Not Available,University Not Available,19-01-2026 11:11,1,1
72371,11,Online,India,Uttar Pradesh,Kanpur,Primary,15-01-2026,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,15-01-2026 14:41,1,1
72371,11,Online,India,Delhi,New Delhi,Primary,13-01-2026,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,14-01-2026 19:37,1,1
