pcid,FI,Lead Origin,Country,State,City,Instance,Instance Date,Campaign
72249,11,Online,India,Delhi,New Delhi,Primary,18-03-2026,collegedunia/CDC_Naman/online
72249,11,Online,India,Odisha,Bhubaneswar,Primary,18-03-2026,collegedunia/CDC_Naman/online
72249,11,Online,India,Himachal Pradesh,Kangra,Primary,16-03-2026,collegedunia/CDC_Naman/online
72249,11,Online,India,Madhya Pradesh,Gwalior,Primary,16-03-2026,collegedunia/CDC_Naman/online
72249,11,Online,India,Punjab,Batala,Primary,12-03-2026,collegedunia/CDC_Naman/online
72249,11,Online,India,West Bengal,Bardhaman,Primary,30-01-2026,collegedunia/cll_100/online
72249,11,Online,India,Bihar,Patna,Primary,15-01-2026,collegedunia/cll_120/online
72249,11,API,India,Karnataka,Bengaluru,Primary,02-01-2026,collegedunia/271/api_TUkxMVVGa2VockttakRGYjVTOXRMdz09
72249,11,Online,India,Haryana,Haillymandi,Primary,03-12-2025,collegedunia/cll_175/online
72249,11,Online,India,Kerala,Thiruvalla,Primary,28-11-2025,collegedunia/cll_123/online
72249,11,Online,India,Haryana,Fatehabad,Primary,28-11-2025,collegedunia/cll_124/online
72249,11,Online,India,West Bengal,Kolkata,Primary,28-11-2025,collegedunia/cll_109/online
72249,11,Online,India,West Bengal,Kolkata,Primary,27-11-2025,collegedunia/kamp22/Cj0KCQiAiqDJBhCXARIsABk2kSmRVwWgbdUaUW4IX9z6Bwusequ8kng5SQzwakCYLGogf8VU6CryuKUaAl6rEALw_wcB
72249,11,Online,India,West Bengal,Habra,Primary,27-11-2025,collegedunia/cll_100/online
72249,11,Online,India,Jharkhand,Ranchi,Primary,27-11-2025,collegedunia/cll_123/online
72249,11,Online,India,Karnataka,Bagalkot,Primary,25-11-2025,collegedunia/email/online
72249,11,Online,India,Chhattisgarh,Durg,Primary,23-11-2025,collegedunia/cll_126/online
72249,11,API,India,Tamil Nadu,Chennai,Primary,20-11-2025,collegedunia/232/api_140134253
72249,11,API,India,Karnataka,Mysuru,Primary,06-11-2025,collegedunia/268/api_139573244
72249,11,API,India,Uttarakhand,Haridwar,Primary,04-11-2025,collegedunia/252/api_139743845
72249,11,API,India,Karnataka,Dakshina Kannada,Primary,04-11-2025,collegedunia/272_LPS/api_139993158
72249,11,API,India,Odisha,Cuttack,Primary,03-11-2025,collegedunia/182/api_139988467
72249,11,API,India,Kerala,Kozhikode,Primary,03-11-2025,collegedunia/182/api_139988626
72249,11,API,India,Telangana,Hyderabad,Primary,01-11-2025,collegedunia/267/api_139814148
72249,11,API,India,Tamil Nadu,Chennai,Primary,01-11-2025,collegedunia/272/api_139888615
72249,11,API,India,Karnataka,Mysuru,Primary,28-10-2025,collegedunia/268/api_139958066
72249,11,API,India,Telangana,Hyderabad,Primary,01-10-2025,collegedunia/182/api_139832766
