pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
,11,collegedunia,271,api_SURiNFdrc212VlFGaitKOW9qaUsyQT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,272,api_R0FWejIrWXBXcW53LzlTbzVSd2V2UT09,1,0,0,1,1,0,0,0,1
,11,collegedunia,271,api_MEpkcFhsOU8yRG82ZmdGcHdPTnZlZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,268,api_V1lvZC9kYWxsRzFCMjdxQmhyTUx5QT09,1,0,0,1,0,1,0,0,0
,11,collegedunia,271,api_SUdxajlqbkNnM2U2Q212TlpOeTBUZz09,1,0,0,1,0,1,0,0,0
,11,collegedunia,271,api_MVR3MkxFb0JTUDdjZFVzdVE4Wmczdz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,201,api_QThSbzBkNXdqeWJkMzlGZXhCbkxpZz09,1,0,0,1,0,1,0,0,0
,11,collegedunia,268,api_SHI5czg3NVBrT3E2TFhrNDRWWVN3Zz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,api_WVRLQU5UenNjY2phK0NmSlc1blBXUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,270,api_SWF6RnllMkJkbFBYTFpVREIzVHgvdz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,kamp22,online,1,1,0,2,1,0,0,0,0
,11,collegedunia,kamp21,online,1,0,0,1,1,0,0,0,0
,11,collegedunia,201,api_L1BHMGkyZm5OcEd4ZlAxNDV2c0ZrZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,268,api_RU1SbjFnUitjTVRDZjRaNFZCaWdDZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,268,api_MkRxWVExbVdKRFdaNGExSnRkRUpkdz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,253,api_QUhXWEdTYW1tbUJ3ZDgxTFJqUi8vQT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,222,api_RmdqOGt1K2xxV3FwaFc0dTZERnA2Zz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,201_RV,api_NjR1cFNSQU5hSStBckg0QnNlOGliQT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,267,api_RGk1a0hhSlJ4SWhsRGdFTDJXN00zQT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,201,api_TXJiRFR2SzdNM1AvNWROdndleEJVUT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,272,api_VFpSdDJjWGtaaTZSS3RxbnNmQkhKZz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,271,api_UWQzRy9vWXJ1YXhEYXIyNGM3UnhMdz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,267,api_c0NwZlRreVRORlgxdWFzQ1NTcXRzUT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,267,api_SS9qaW5DdmMreDcxNlF3SlZ4SGljQT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,267,api_cDlLMVdSSVFkZHBqQ0RaeURWUitrZz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,182,api_bmxwSFlDcVR4cWJOZ1dLWEJTNlhIdz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,208_LPS,api_d21PREZ4ZFNLdEVDbkEyZkp1Z2VQZz09,0,0,1,1,0,0,0,0,0
