pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
72756,11,collegedunia,230_LPS_RV,api_140132096,1,0,0,1,1,0,0,0,1
72756,11,collegedunia,271,api_140136067,1,0,0,1,1,0,0,0,0
72756,11,collegedunia,272,api_140136283,1,0,0,1,1,0,0,0,0
72756,11,collegedunia,252_MPA,api_139957776,1,0,0,1,1,0,0,0,0
72756,11,collegedunia,230_LPS,api_140142233,1,0,0,1,1,0,0,0,0
72756,11,collegedunia,182,api_140115783,1,0,0,1,1,0,0,0,0
72756,11,collegedunia,183,api_140146415,1,0,0,1,1,0,0,0,0
72756,11,collegedunia,183,api_140146441,1,0,0,1,1,0,0,0,1
72756,11,collegedunia,183,api_140146443,1,0,0,1,1,0,0,0,0
72756,11,collegedunia,270,api_140153279,1,0,0,1,1,0,0,0,0
