pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
72461,11,collegedunia,as11,online,12,3,1,16,12,0,0,0,0
72461,11,collegedunia,272,api,10,0,0,10,10,0,0,0,0
72461,11,collegedunia,178,api,8,0,0,8,8,0,0,0,0
72461,11,collegedunia,270,api,7,0,0,7,7,0,0,0,0
72461,11,collegedunia,182,api,4,0,0,4,4,0,0,0,0
72461,11,collegedunia,271,api,4,0,0,4,4,0,0,0,0
72461,11,collegedunia,137,api,4,0,0,4,4,0,0,0,0
72461,11,collegedunia,173,api,4,0,0,4,4,0,0,0,0
72461,11,collegedunia,227_RV,api,3,0,0,3,3,0,0,0,0
72461,11,collegedunia,227,api,3,0,0,3,3,0,0,0,0
72461,11,collegedunia,267,api,3,2,0,5,3,0,0,0,0
72461,11,collegedunia,Snap2,online,2,0,0,2,2,0,0,0,0
72461,11,collegedunia,272_RV,api,2,0,0,2,2,0,0,0,0
72461,11,collegedunia,156,api_140063848,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140058260,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140064526,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140065409,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140067846,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140068980,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140124386,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140122322,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140058746,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140066160,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,181,api_140131797,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,230_RV,api_140106951,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,227,api_140113224,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,208,api_140141911,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140130598,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140130647,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140131079,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,272,api_140141833,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140125006,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140078786,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140074200,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140124157,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140130129,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140129178,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140128078,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140129135,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,227,api_140040507,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,227_RV,api_140026551,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,227_RV,api_140040585,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,227_RV,api_140020790,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140129848,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140129819,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140129570,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140129083,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140129561,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140069317,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140073523,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140069084,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140071777,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140063465,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140070219,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140130216,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140064430,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140126465,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140126464,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,242,api_140147185,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140128627,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140127687,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140126889,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140127468,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140128695,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140127092,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140126520,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140128087,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140127005,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140126705,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140127403,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140126624,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140126818,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140127269,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140126663,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140127389,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140127784,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140126735,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140126914,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140127752,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140126988,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140127247,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140127408,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140127227,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140127706,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140127980,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140127117,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,242,api_140148255,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,272,api_140147950,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,272,api_140147951,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,271,api_140153616,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,271,api_140153570,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,271,api_140153532,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,201,api_140154714,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,271,api_140159783,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140122796,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,195,api_140164873,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140124998,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,156,api_140124983,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,227,api_140159186,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,227,api_140158961,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,272,api_140166716,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,182,api_RWcvN1phb05EalRFTjJzczV0YmZJUT09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,252,api_a1IrMGl5WDY1UjVlSFljVDVaYjJ6UT09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,181,api_ZTNORklGVEdjQ0RoMXRHTUNZNGlZQT09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,252,api_Mm9heEpheUVuOVRDRGZBNDVkMEl2Zz09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,228_RV,api_ZDZuenJpM3dqaTVmZ1RMbldUeHQ0UT09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,270,api_S2pkaFBvWjY3Z3BXK1Z5ZGJjYjZFZz09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,268,api_bDZHalhnaFM2akZQSFhSeWNKd0UxQT09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,227,api_ZTUrcVFTRng2ZG9JZldrcWRGRVdjUT09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,227,api_ckVWOWlsS3diZDJsdjhnWEZxc2dmQT09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,227_RV,api_YkxmcmM2Y3hGbWtCZDhrLzRiQTNZUT09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,227_RV,api_U2F4b29VVHR3MFFpeTdnUm1ndHVtUT09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,269,api_aEwyeTl4SWpVYndRM3Z3UlVrMDFsZz09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,227_RV,api_NUtyMVpnNDZ3WUc4UWFwL0pGa1JRZz09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,220,api_c01KS1NlaDVTc1hpVXB1bFRoa0p6UT09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,271,api_eHUvOXM5ODgzRCtVK0dhQlVDVE5zdz09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,271,api_VXdUMllHU21OWFlyM2E3ZW1qdVdLdz09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,271,api_RjdPOGN3b3B2SzJrUzg2SmhQekFqUT09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,271,api_ZUlza0tvNTBjRGlMajZmS0c1MzJXdz09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,271,api_L3hJdHQ2ZlMydHZSYXZoRUdnREFoQT09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,271,api_RElYVytGZmhocFpmQWd2SEx3MVEydz09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,271,api_NjVSMnZlSVF2MXEvenlRUE1Zcnk5UT09,1,0,0,1,1,0,0,0,0
72461,11,collegedunia,271,api_d3NjK1pxSld6RWliMmRKbnhmMlVwdz09,1,0,0,1,1,0,0,0,0
