pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
73442,11,collegedunia,253,api_RVJTZlVEREJzeHZZeWNnTW5DY3JJUT09,1,0,0,1,1,0,0,0,0
73442,11,collegedunia,227,api_TVI5MERLdDFjTWRnOWhydExWeldiQT09,1,0,0,1,1,0,0,0,0
73442,11,collegedunia,271,api_bEExNUZsb0RHbUVhQkhyazYyRFhDdz09,1,0,0,1,1,0,0,0,1
73442,11,collegedunia,271_RV,api_MnRubERyOUNKelA2dzJrU2RLYjBoUT09,1,0,0,1,1,0,0,0,0
73442,11,collegedunia,227,api_d1B6NDFOZHlSbXowZEYvcFJaQTNzQT09,1,0,0,1,1,0,0,0,0
73442,11,collegedunia,223,api_eG1ZL21iWC92NVlzc2p2ZEJKNnpMQT09,1,0,0,1,1,0,0,0,0
73442,11,collegedunia,228_RV,api_M1N1YVdDa0wxWlBlcm1UYmpBRExkUT09,1,0,0,1,1,0,0,0,0
73442,11,collegedunia,228,api_N2dhSy9UOVhPRFA1a3RxVDBwMTByQT09,1,0,0,1,1,0,0,0,0
73442,11,collegedunia,228,api_WmpHZTA2bWpFK0NBblZjUXd1eVlJdz09,1,0,0,1,1,0,0,0,0
73442,11,collegedunia,208,api_bmd3SUExQ0tURVlUWjJSN09ZbXQ1Zz09,1,0,0,1,1,0,0,0,0
73442,11,collegedunia,208,api_bGJpK0w3eHdaQmJOelJiODA2U0pUQT09,1,0,0,1,1,0,0,0,0
73442,11,collegedunia,hash22,CjwKCAiAu67KBhAkEiwAY0jAlVFMzJmoMBQxCH5ruS17zzN3PZnwBarRmZDqV9VsQCSty7AIjE01BxoCAzcQAvD_BwE,1,0,0,1,1,0,0,0,1
73442,11,collegedunia,228,api_a2twZ2J6K0xhN0JzS29uczdQbC9hdz09,1,0,0,1,1,0,0,0,0
73442,11,collegedunia,apm,online,1,0,0,1,1,0,0,0,0
73442,11,collegedunia,220,api_NWgwbUxRWnJDR3F2QnBsaWJxOXpyQT09,1,0,0,1,1,0,0,0,0
73442,11,collegedunia,249,api_SStyYldMN3FvYUQxd3R6SnUyOFNPdz09,1,0,0,1,1,0,0,0,0
73442,11,collegedunia,hash22,Cj0KCQiAvOjKBhC9ARIsAFvz5liX6M6LeUA5qUBOoFZi7J_LkSzod5TimUhVTUcF9KdE-5269ke8XEYaAtavEALw_wcB,1,0,0,1,1,0,0,0,0
73442,11,collegedunia,208,api_RjFMUi9ENEx4NVZJMGJUY05HN2E2dz09,1,0,0,1,1,0,0,0,1
73442,11,collegedunia,155,api_OHd1cFMxNGlBZFhJZDNuMkVmNHlSUT09,1,0,0,1,1,0,0,0,0
73442,11,collegedunia,208,api_amY5Mjd2ZEJHVmtiVzhhejMxcnBhdz09,1,0,0,1,1,0,0,0,0
73442,11,collegedunia,228,api_dnE4VWUxaU8yelZzeGpreXBCTFhXQT09,1,0,0,1,1,0,0,0,0
73442,11,collegedunia,201,api_MytMakZJSkdXRWtObllMZmhJQThpQT09,1,0,0,1,1,0,0,0,0
