pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
75089,11,collegedunia,278_RV,api_R3VwMmRYbVRMZHJZZW1DRFg3NHhnZz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,246,api_MTRLYUh4Y0V1L1JiVndFeG0wNmR4Zz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,227_RV,api_bGRRMVZ3U3k5K0xrVmtqSnc0VTNSQT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_UHYzd05wK3hDUmdybFJlQTgwQ25NQT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_ZnFFOTV1cVpOYmVvTXlqU3RYWmlSdz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,230,api_NVo5VFZXbVJqV3BqWWZvQUdiVEw5Zz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,182,api_QWF3cHAzckpTbGhKcGdzcW04R3RtQT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_MFJ5WU1XYzZ4Z1c0S2lNeEtSZmhvUT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,245,api_NHIvVEpsYVREV1Ziak9GY2dCTkluQT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,245,api_SWEvbnpTTDYyN0RNanJFVzEyanlwQT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,204,api_OHlzWjJ4eGthSXJlNkJvMEtQODl0Zz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,227,api_NWtvb1hSL1JxbnRSd0dyVjdqeWc2dz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,sms26,online,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_VlV5MmNyZ0lTWVZzYWhqRVlxVHZHQT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,265,api_MFRkVFBUbE5XbG92c1VsdWFtZ0dkUT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,245,api_K3pVM1pQbVc0bWFadkkyckNLWEZGUT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_ZzFvc25QVUpxeWZXNlRGSXZKVnZoQT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_OGxWZ1NDTTFyZGRKTnd4bks2ZGhiZz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,247,api_TDB6U2QxNUNtMHY5WnUzcEg4NUFWdz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_aHhVa09IT3BzTEFFL1k5ZUpGK1Y2Zz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,245,api_NUR0ZTVzeDN2MHE4K1pPbjIybHhqZz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_dVBleDJFZVdmcUdMcms0K2wzaTlrZz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,265,api_WldacXNiS2FROEZ3N1NzVVQ3eFJYdz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,265,api_NjRBK3JUdEVtRWJBbEJHR1QyeVRBUT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,246,api_ZUZOdGVhbHI2dmRPZHlhSTZjLzExdz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_TThpd2R1aldSOTBqUEY4WUp6ZHY2QT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,265,api_WEx1UjJqUEQreHMxRTlKOTlXbGxzQT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,265,api_WnBwL1o2TG1wSlh3eHQ3clE0dFcvUT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,245,api_eXZYT2RwOGdOTXlORll4NnlhSU0vQT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,hmailer26,online,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,265,api_ajlIVkk0RUNyOGkrTFc1ZGh1blBPZz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,264,api_OFBvd3dIOWNsemJJNFVSWFphdG0vQT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,264,api_NEdkMXF4VzhUbjRNNE1pYU1wT3I5QT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,264,api_M1RiWVA2SUJONnZBSUYwcDJGSzkwUT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,264,api_ZzVIUW1oMUd5aWkyV1RYTmlQcVQ3Zz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_cWEvMHdEQWRnVTdjczFNczhSdTR4dz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_Yjd2a3FTQjVpais0MVFmV1dSQ1FZQT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_ZFNQK0RLdEM2NnVicHNQd0NwOWN4Zz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_ZXhFQ2NTaXlGcWM5bHNwSFhxWHVodz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_UVF5cFVNQWxCdmk3Y3F3UkRuRE1udz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,262,api_WUZVMEdnQ2FjYXJYQkFiNGdEdE5rUT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,262,api_Nlc2enJaMCtNaGN0aGZVNjgvR0FyZz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,262,api_aGNEVFdUTEJFWm0wK3l1aHRqeUZzZz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,262,api_OHd2alRNWld1ZjRoaHd3MmtqeW1vQT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,221,api_WmZkQlRTeEZ0U09KYnprTC9zb3p4Zz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,264,api_ZEMxUzhOWW9zaE1Cc05DbDN5eHIvdz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_SW1PY2VqZS9rb0IwbzJuOVViL1l3dz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,257,api_ZTlRbXZncllBUXBqNjVodWt3NUk5Zz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,257,api_VTRUeFAwSWd6M0t6R0VEU2QvaG5oUT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_cDNxTUczQmIwOUh0aUpIc054WXJZdz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,217,api_OTZvWmZNZTFHR3EzY0Z6YnhWOE5zQT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,279_LPS,api_VzZkTWRZN09IY3l4bm9JYmFrNmwzdz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,264,api_RmR0ZS9nMW9Vc21obXBjbE84dDB2dz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_ZmlhamJ5cnNyOUVMeEY5VzFxNWF0dz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_V081d2kySEFHTnYxalhBa1B3WG9vZz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_RXNFckswbEQ1SmVhMjRKTm4xM3JKQT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_SCtHK3JLcjdUM1BiTWExbTlqVkVkUT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_bDF1R1FlSXVXdXM5K3RWaVJENk5tUT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,279,api_OFljMDQ4WEN3N0VYL3JZSCs5RVQ0dz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_Nk9jd3NLcU5aZmltQW1nbUJwcGN5UT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_UFFSRTVRcW1GdWtvNHBPTzNNUzNIZz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,217,api_VVg1QnBRRWY0aHMzRVlYbmJ6YWZpQT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_SEI1Q29abk5IWnFwVlFES0ZKRHNOUT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,262,api_SmxKZzRybE1kN2t0Z3RuYTE4Y2dIdz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_alNueFl4ZGJiT0plM3dEVEtYOUN5QT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_NWRuT3FjamFJZlQyRU5XYWNDOHdtUT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,217,api_OGFqWTZPWlJQZS9tYkFzNE92U2JyZz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,217_LPS_RV,api_UHBGZjllTGZ6bkYvcUR1cVVBTWJjUT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,217,api_a3J6Vk4wRk5DMTVCZWRidFlESGJKZz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,247,api_SVN2b01aVE5FMjJQcXd1bUdMelNjdz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_OUhna0FiREJLSkhNdldkeDl1V01lQT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_c3FmTHpVWWJNUVNrSlA3QkczTkY5UT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_U3lVNDU0MERmSmY1TFFyb2tFbmRSUT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_V3JDSVU4OEt5ZEVUVzNmNmRsQ3ZXZz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,245,api_UUkxT3A3ekVEY0cyY2RPZy80SGhjUT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,266,api_UDQvSDNYY2ZLL1BBK252ekRPMThiZz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,262,api_ejNQT0JJMURMSjk0dVlKbmNjZ2RDUT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,262,api_b2ZlQzc4WDBPUWh0WkRLOC9PWkJNZz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,217_LPS,api_dVkvSElmdjZ5a1hWbDNxTUlKOUxKdz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,264,api_NEdFeXJVTm9Fbk5nN3pQT0tYOTZFQT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,245,api_S00xeTJlbTBnYVgwR3FTbmdBR2JuUT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,264,api_UW81WE1WeisrbmpMc2FPRXQ1YTVzZz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,245,api_WlJXNlJYb2poMElJQnhSQk5hMmpQQT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,190,api_NDF0YzFXemZmUDkxQmVJdytRRWU3dz09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,262,api_aVIzTXVIWjhGejFQTmNnaFoxQVdNUT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,262,api_RXVZZjFiQm5Mbzl1cHVPcG5KN3JaUT09,1,0,0,1,1,0,0,0,0
75089,11,collegedunia,262,api_Q00zd0xVazNqMWFLUHB6TkM4ZkNQUT09,1,0,0,1,1,0,0,0,0
