pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
73163,11,kollegedunia,156,api_bkZtemwzZ2UydmpzQzFUVHd3MEhUZz09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,156,api_WUord2g5SHdva24yUGcrbWdjZXhmdz09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,156,api_aW8rQmllemZ1TUhXYmF2SFNrVGNOQT09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,156,api_NGUzOFVUTFlCd3p2cU15QU5WQU5Idz09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,156,api_cTdycHQzVHdrRlZMbFhjSC9rTjFXZz09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,271,api_dkZiaURBSlMvcmJaNW91WG9WaURkUT09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,156,api_aGRVZ2NwOFdEdHdSb0Q3N3RWdmRmQT09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,156,api_RXc0Qlk4d0VzcCtQWkRwZStPL1lGdz09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,182,api_MUVBdkkxOUFCMlorUER3UVJ4RUsyUT09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,156,api_blo4dEczenpHdTFQWFdaeWxRZlJvZz09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,182,api_bGtmUHNnSithN0JXZWx6UmFueTJCUT09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,182,api_citaRWRjd3JhRjBwN0IvUUpveU5PQT09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,271,api_YmJmM0FtT0o5MmpPZDZVd21OYy90Zz09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,156,api_R05vYVF5R1JhU211Nk9lVlB1YXBMdz09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,156,api_Ujl4bnZXVlNiTmRmWm1JVDFsOFR5dz09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,156,api_em03T1VoUmpEZVNlellmdXdyaVpXZz09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,271,api_bmFIQmo2VEt4aFB5SGFrVGpoa2lQQT09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,156,api_WGw5RkVyVGNCYkJGUTgxUFNuaEp6Zz09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,156,api_QUdRNFFpalh0bjQzQ0ltd2k4eU9oQT09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,156,api_TXd3Z3MvaGZsQkhiM0ZxeGxqaTFHQT09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,271,api_S2hNMDB4RS9qL2RsbWxMendYNnlOQT09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,271,api_YWlrV0lNL2VnNVFONm9td0xWZUtJUT09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,271,api_MThJZHVZZi81V2VnM1EvQ2NVWHZIdz09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,271,api_bWQ5V2NrUWNCbnhtOXUzV0FGTHJUUT09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,208,api_dm9xbWxlT1hLS1pVd2VpWm1GWUFsdz09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,270,api_d2ZHbjBEWGx6OWNEN1NsdVljNk8vdz09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,271,api_UzJIL2p1YkU2aWVnUHJHVnY4S0hMQT09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,270,api_aGVpUURKNVAvSE5hQTVzNWtMQnk4Zz09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,227,api_SEl1andNb2oxRVpBeHdhTVNSZ1VaZz09,1,0,0,1,1,0,0,0,0
73163,11,kollegedunia,263,api_VEtLVmZUaEo1aFRkb0VNZXlEVWlaQT09,1,0,0,1,1,0,0,0,0
73163,11,collegedunia,info21,Cj0KCQiAgbnKBhDgARIsAGCDdleMYha2z56kHpRV6ciMvIvjjGseCC3dmbkWqVKYtPTQDsrr-nQKay4aAj9iEALw_wcB,1,0,0,1,1,0,0,0,0
