pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
74162,11,collegedunia,264_LPS,api_RlgwMGVtZXNmMGU0cTdGQXJaNTU1Zz09,1,0,0,1,0,1,0,0,0
74162,11,collegedunia,211,api_dVJRTU9rQi9yeXYwQXZuazdTOGlEUT09,1,0,0,1,0,1,0,0,0
74162,11,collegedunia,214_LPS_RV,api_WG1KcHhscXBiQUpjWDFySkhMeHZNdz09,1,0,0,1,1,0,0,0,0
74162,11,collegedunia,182,api_OGE5YUFwVllCcEVERHBQUnpnbHFuUT09,1,0,0,1,1,0,0,0,0
74162,11,collegedunia,220_LPS,api_amZxZ0FSMDJ2WkVGVVhJbFBEeXIrZz09,1,0,0,1,1,0,0,0,0
74162,11,collegedunia,208,api_RGNxWUhURjFsTWJRYm9pSU82NTBMUT09,1,0,0,1,1,0,0,0,0
74162,11,collegedunia,214,api_Y3gvRE5qSDFSR1VrY1RwRE1pZjJ4UT09,1,0,0,1,1,0,0,0,0
74162,11,collegedunia,214,api_STh0aFhQU1VxaUN2ek4zanBoemVOZz09,1,0,0,1,1,0,0,0,0
74162,11,collegedunia,214,api_dUZDRDNMT1FuRnVMaVo5NmNPcFgzdz09,1,0,0,1,0,1,0,0,0
74162,11,collegedunia,279_LPS_RV,api_SVozaDJoTzE1LzBRcENhVmVORWFFZz09,1,0,0,1,1,0,0,0,0
