pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
72946,11,collegedunia,sms26,online,3,0,0,3,3,0,0,0,0
72946,11,collegedunia,smscuet,online,3,0,0,3,3,0,0,0,0
72946,11,collegedunia,cll_100,online,2,1,0,3,2,0,0,0,0
72946,11,collegedunia,cll_165,online,2,2,0,4,2,0,0,0,0
72946,11,collegedunia,212_RV,api_139584890,1,0,0,1,1,0,0,0,0
72946,11,collegedunia,212,api_140007243,1,0,0,1,1,0,0,0,0
72946,11,collegedunia,215_RV,api_139957145,1,0,0,1,1,0,0,0,0
72946,11,collegedunia,215_RV,api_139757848,1,0,0,1,1,0,0,0,0
72946,11,collegedunia,212_RV,api_139929811,1,0,0,1,1,0,0,0,0
72946,11,collegedunia,209,api_139058077,1,0,0,1,1,0,0,0,0
72946,11,collegedunia,209,api_139945422,1,0,0,1,1,0,0,0,0
72946,11,collegedunia,209_RV,api_139582283,1,0,0,1,1,0,0,0,0
72946,11,collegedunia,230,api_140111899,1,0,0,1,1,0,0,0,0
72946,11,collegedunia,201_RV,api_139872917,1,0,0,1,1,0,0,0,0
72946,11,collegedunia,201,api_140138206,1,0,0,1,1,0,0,0,0
72946,11,collegedunia,201,api_139187169,1,0,0,1,1,0,0,0,0
72946,11,collegedunia,230,api_Y3ZLRkhwRVdUVVZjS0FNak54M01pUT09,1,0,0,1,1,0,0,0,0
72946,11,collegedunia,201,api_SHJZREtjL054d1lNV0tCN0ZzSnFIZz09,1,0,0,1,1,0,0,0,0
72946,11,collegedunia,209,api_bHhRdXY2ODNFSkZpVkdhem41bjU2dz09,1,0,0,1,1,0,0,0,0
72946,11,collegedunia,209,api_WktZR1pIVzcyYmNkNmsxWEVIdXJJdz09,1,0,0,1,1,0,0,0,0
72946,11,collegedunia,217,api_STFxQ3FnZWhza2pCeVlNMFFjcnI3Zz09,1,0,0,1,1,0,0,0,0
72946,11,collegedunia,cll_155,online,1,0,0,1,1,0,0,0,0
72946,11,collegedunia,204_RV,api_NHpoMlJROVBkYnBtQ0R3K0JXc1d3Zz09,1,0,0,1,1,0,0,0,0
72946,11,collegedunia,cll_160,online,1,0,0,1,1,0,0,0,0
72946,11,collegedunia,221,api_aDdCTWd4WTdJeW9zZFNhSXJCUDRxUT09,1,0,0,1,1,0,0,0,0
