pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
72385,11,collegedunia,260,api_139922614,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,260,api_139925896,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_139935631,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_139926410,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_139996583,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_140009109,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_139979551,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_140031395,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_139968047,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_139981806,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_140064177,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_140105555,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_140116876,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_140146037,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_ekY4T1lTMGhUYWxPVlpld3lwSDdYZz09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_V1RBbnY0L29jTzlldFdPYVpCakJrdz09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_dTQvNmpoZVpMY3VtQ1g1aU1sR2l5Zz09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_R2dXU2J4OWMwa01xd3hzU3NEemp0dz09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_RnBQVGZGTlUrdWFQTFhWRTd3Z1E0QT09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,230_RV,api_NnlxaUhsZVA1L1dBdjF1aUZwZlVhUT09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,228,api_SDc4RzVwWnAwT1hQc1ZtckUrcWhqUT09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_QUdzVW93a29jeklkVytDdGZmeE1YQT09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,186,api_cG9SQnNhK1Aya0Z0eXZkMnY2Ri9VUT09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,214,api_Z0FER3YxUk1BdjRXUW10Ujhpdm1QUT09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,260,api_b09wR2dMRWFadUtlank1N0NDeklWUT09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,240,api_OFp2V25QOEE3YjdRZU9iN0lNSW00Zz09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,230,api_NTVMb2IwUHJveVVmVE9pTkRxaFhnUT09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_czJMWkV0eTlSWGUrQkJqWmpwSnN2dz09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_ZklGd2g3UkFhMTVTcTdMc2I2dUpyQT09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_cThkeGhBSUMwNkRMNnhpVDBCQStWQT09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_eHVHbWJrZUw2YUJyTGliMmxjNnNwQT09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,186,api_Q1RYMzdMekpteHNpSGc1eEpZVnNmUT09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,241,api_YnEwWTNoWVAxbHZsNk93bUxuSmRHdz09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,259,api_bENtQ2QzMkUxcTdVODU4MWlFUS9WZz09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,259,api_Vzc5N1grMEEyenl5b04rT0Z1QXV0UT09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,181,api_cExUaFdBUzB0Y0J1eWs0cjJkZGxGQT09,1,0,0,1,1,0,0,0,0
72385,11,collegedunia,147,api_d2p0aTM2MzFDRGVoWXRhSmkrcEREUT09,1,0,0,1,1,0,0,0,0
