pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
72784,11,collegedunia,208_LPS,api_U2VUbWFCL2JWOVJ2d28rdnV0cDVQQT09,1,0,0,1,1,0,0,0,0
72784,11,collegedunia,198,api_cVl1Ym1VSDlGdktWZ0NjczU1ODhJUT09,1,0,0,1,1,0,0,0,0
72784,11,collegedunia,270,api_ekdtTTF0L3FiU3VSNXZsZWJPeHAxQT09,1,0,0,1,1,0,0,0,0
72784,11,collegedunia,228_LPS,api_cE43RmtPYSsyYXhZOFNEZ0hSdm94dz09,1,0,0,1,1,0,0,0,0
72784,11,collegedunia,263,api_UFBlVnYzdU5KeTROOTQzUGN5akh1Zz09,1,0,0,1,1,0,0,0,0
72784,11,collegedunia,271,api_Mk1ITGVFVFNyVis4dGk2ZllGWlFaUT09,1,0,0,1,1,0,0,0,0
72784,11,collegedunia,220,api_139126284,1,0,0,1,1,0,0,0,0
72784,11,collegedunia,214,api_139376471,1,0,0,1,1,0,0,0,0
72784,11,collegedunia,214,api_139928706,1,0,0,1,1,0,0,0,0
72784,11,collegedunia,271,api_139688486,1,0,0,1,0,1,0,0,0
72784,11,collegedunia,208,api_139997160,1,0,0,1,1,0,0,0,0
