pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
72260,11,collegedunia,CDC,online,21,1,0,22,21,0,0,0,0
72260,11,collegedunia,cll_117,online,15,0,0,15,15,0,0,0,0
72260,11,collegedunia,cll_109,online,10,1,0,11,10,0,0,0,0
72260,11,collegedunia,cll_123,online,9,0,0,9,9,0,0,0,0
72260,11,collegedunia,cll_167,online,9,0,0,9,9,0,0,0,0
72260,11,collegedunia,cll_166,online,7,0,0,7,7,0,0,0,0
72260,11,collegedunia,cll_116,online,6,0,0,6,6,0,0,0,0
72260,11,collegedunia,cll_107,online,5,0,0,5,5,0,0,0,0
72260,11,collegedunia,cll_121,online,5,0,0,5,5,0,0,0,0
72260,11,collegedunia,cll_103,online,5,0,0,5,5,0,0,0,0
72260,11,collegedunia,cll_168,online,5,0,0,5,5,0,0,0,0
72260,11,collegedunia,cll_100,online,4,0,0,4,4,0,0,0,0
72260,11,collegedunia,cll_118,online,4,0,0,4,4,0,0,0,0
72260,11,collegedunia,cll_120,online,3,0,0,3,3,0,0,0,0
72260,11,collegedunia,cll_115,online,3,0,0,3,3,0,0,0,0
72260,11,collegedunia,3,API,3,10,12,25,3,0,0,0,0
72260,11,collegedunia,cll_102,online,2,0,0,2,2,0,0,0,0
72260,11,collegedunia,cll_124,online,2,0,0,2,2,0,0,0,0
72260,11,collegedunia,cll_112,online,2,0,0,2,2,0,0,0,0
72260,11,collegedunia,cll_175,online,2,0,0,2,2,0,0,0,0
72260,11,collegedunia,cll_152,online,2,0,0,2,2,0,0,0,0
72260,11,collegedunia,cll_108,online,2,1,0,3,2,0,0,0,0
72260,11,collegedunia,cll_104,online,2,0,0,2,2,0,0,0,0
72260,11,collegedunia,email,online,2,0,0,2,2,0,0,0,0
72260,11,collegedunia,268,api_140158892,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,271,api_140159433,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,295,api_140160292,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,271_LPS,api_140159841,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,232_RV,api_140116719,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,232_RV,api_140144876,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,156,api_140092819,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,156,api_140095416,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,271,api_140173191,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,295,api_b0Q5Y1l1Q3FDQWpPSGVjTzJ5V1lNQT09,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,272,api_MUNGTG1rdy9UUThjbUNZKy9SbEpGUT09,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,182,api_c1NaRVMwUGtjOWIvY1c0c0hlQVpYQT09,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,182,api_TmtkeTIwRklCRXBobmRPNmNOSGJSdz09,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,295,api_QWd0UWlyTnI0ZFEwN2lVYUxFTjhIQT09,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,182,api_Sm5VdGhBeEhsbTVzSEJpbTd3T0FUQT09,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,182,api_ak1STEJ0ciswVEtGeHdSSnlXd2kzdz09,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,cll_135,online,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,228_RV,api_ay9zRzZZMWE5aUpBM3piMzVSTXdtZz09,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,253,api_ZnlzMDMyRVg1RUVRcHduMnlvbVVxQT09,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,cll_125,online,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,156,api_SThkekdFVjQ4cDFNUHFJT3J0aXQzZz09,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,268,api_ZUZFMUxvaFlBNFd4RHRvYXQ5Q1RRUT09,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,cll_105,online,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,224,api_cjlNM0c2SnR6ZEt6QTYxR1lrTUl1Zz09,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,221,api_N2dTd1Z6YlN4WDg1OUhpUE5PM0lWZz09,1,0,0,1,1,0,0,0,0
72260,11,collegedunia,216,api_Wkk4UDZQdnpqLzl6WVJycUtubGxLQT09,1,0,0,1,1,0,0,0,0
