pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
73429,11,collegedunia,156,api_140059480,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,156,api_140059804,1,0,0,1,1,0,0,0,1
73429,11,collegedunia,277,api_140152247,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,271,api_SHdHWEJZWG4xWHVUUzc5L0l5a252QT09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,228_RV,api_TjNERFJVcmRSdTJuek1qYkhpN0htZz09,1,0,0,1,1,0,0,0,1
73429,11,collegedunia,228,api_N2FROGlNeFUrcGVoZWdpb3NZRFhIUT09,1,0,0,1,1,0,0,0,1
73429,11,collegedunia,228_RV,api_bjg3dDZRT3gvM2hoc2w4MXJDc0ZNdz09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,220,api_SVptZ0lrTXJFRERxdkxKcmRVVlNydz09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,272,api_bzFkbkUxa28yd0l4ZCtidzBtMHFzZz09,1,0,0,1,1,0,0,0,1
73429,11,collegedunia,268_RV,api_d3VaQVFGdXdTN2VFbFVvdVArYU9nUT09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,272,api_SUxaS053M3V3cmlHLzB4alJTcDMvUT09,1,0,0,1,1,0,0,0,1
73429,11,collegedunia,271,api_ODVBUlUrWDgwb0s0NFZKRVQxWXRudz09,1,0,0,1,1,0,0,0,1
73429,11,collegedunia,268,api_WFpCUk4wZTBSV3hMSGs5NWdLZllkZz09,1,0,0,1,1,0,0,0,1
73429,11,collegedunia,279_LPS,api_TXE4NW43WVV3UTI0ejdBZ25ETjdmdz09,1,0,0,1,1,0,0,0,1
73429,11,collegedunia,271,api_Z0JZWHNiYTRNa0gwWDZqK2REQmRiQT09,1,0,0,1,1,0,0,0,1
73429,11,collegedunia,269,api_a0NZM0IzMVhnRDNuWFYrV2c5QWRwQT09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,269,api_Ymwzcld2WDBtNlZEMm9IZXBEdVRKQT09,1,0,0,1,1,0,0,0,1
73429,11,collegedunia,220,api_VHBmbktyQ1BqakRjVXJQbVVzam4wUT09,1,0,0,1,1,0,0,0,1
73429,11,collegedunia,271,api_ZHpoUERrU1V3MXdGMlR0MWZpNXZNdz09,1,0,0,1,1,0,0,0,1
73429,11,collegedunia,227_LPS,api_djVIbEFST1VTbWRIc0Y1VXYwSXZTdz09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,227_LPS,api_UnpRY3NJSEJyUkljak9LYWQzcTBWUT09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,271,api_Q0dyOGozYTEyb3hNL2RBaDNiNHBLQT09,1,0,0,1,1,0,0,0,1
73429,11,collegedunia,271_LPS,api_Q2JNcmw5UklveWRJc29zLy9TQ3h5Zz09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,208,api_OTdiNTRxMmZFTitROU9YaE9MR3g2QT09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,220_LPS,api_TWtURldCTnpDU29nbmxVUllJOVdnQT09,1,0,0,1,1,0,0,0,1
73429,11,collegedunia,220_LPS,api_SXlTSzVsd1djOGJ2bXF3dndDdVdnZz09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,271,api_YnRCMUltRHpBd3NBQkNyWGV5T21Tdz09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,271,api_c3pWQjYzU1NxM2Vjd0NMcDAvUXZxQT09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,249,api_dzd1MkpQWjRBRGZONFJqZTFiMDkydz09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,249,api_bXk1YURQYnpMTkRqdzN4ckpqQVd3QT09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,271,api_eXZGd2w1MVZKVVA0alY0cFlRblY2dz09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,227_LPS,api_RGFmek9MVUQ1UzNFcWcvQXdXd296QT09,1,0,0,1,1,0,0,0,1
73429,11,collegedunia,271,api_ekdaVUdJUDFzWEJZUnhqZ1BuYW84Zz09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,271,api_UUl5OHpBbGQ2VVlBM0Y0Skh6K1hDZz09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,223,api_K1VaUVMrRy84WTFsU2VFUGVwc21oQT09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,271,api_UVh4aDRLc2M3dUpJdDloWitzV05KQT09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,153,api_UCtjQVJTWExFamlId1NzMG83UWZaUT09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,208_LPS,api_YnI1N1BOaXBqQXh2UWlpTWZOYURpUT09,1,0,0,1,1,0,0,0,0
73429,11,collegedunia,271,api_140107861,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,227,api_RTVvME13UTByclZzWko0RkJDbDI1Zz09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,227,api_MTF2bkdiNmRVa1EvZEF6aG9UcXV6QT09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,220,api_Wmw4MldLM0gzaUZiWVhoczFhcWhvUT09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,223_LPS,api_WXhEeFJqek1EZURuUm9icEM2SnU2UT09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,220,api_K0l4N0pzeml2WjFHa0g4VVIxcm42UT09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,267,api_QldvM2dYaDN4Lzc5OEVFVUJYSnA2Zz09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,223,api_eWdqWi9PM3JPM3ZJeVluMDYrVjhxdz09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,220,api_[%analytics_id%],0,1,0,1,0,0,0,0,0
73429,11,collegedunia,271_LPS,api_dzB2UExuLzdsWi9TdWo5dTIyTm9iQT09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,227_LPS,api_T2lJQ1dyaGZYa1RhYjBISmx2Sytwdz09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,156,api_VnB0TkZqaStMMmpFam5obEx6ekN6dz09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,271,api_RWFMZ0lOVU03SHFGdlhmcU9JbUY4QT09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,208,api_VFAyL0c2VGd1RUtZYU1QWWh4ZDVSdz09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,271_LPS,api_bWNxemYrekViQ01jenI2S0pXbU9QUT09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,227_LPS,api_SWtqdy9IV0pKT2xBNXpYL0lCaVFhQT09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,227_LPS,api_SlBIWTFGTHROSkpFWUJkSzlOZ3kvZz09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,271,api_Z0kzVXhXejB1UHowVm1zWndobGhDZz09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,155,api_WCszWEJEd3liU0JMQjZQN2VYUUQ1UT09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,227,api_ZXU2aXZ0cEk5eWhSbjljSUdVTEh5dz09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,268,api_WGlYUSsvbU1YV2NZOEN1VUNyY2dmUT09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,153,api_QlJzZlNqRDV0U3hqY3UrUGNQQ2I1Zz09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,153,api_SkxCaDRKUFR5Y2FoaURiYlRLbVRNUT09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,190,api_OExOR3NpSWdpK2Q0ZnlpQVE3cHlMZz09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,269,api_R1JFZGU5SVErLzN3QzA0SDEvOXhnQT09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,227,api_UDVTblNIRkw0dWx2TUljbDVYL2VvZz09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,173,api_RWNyTkI5UVJmQkhpdDZUb283Q0YyZz09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,155,api_OTdUWXJ5eUpkclNPZTdtd3lQNzRCUT09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,155,api_bTB1c21aYXlIUHIwdUZpMDJkc2s3QT09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,155,api_L0lncEdIM3pCbGYraHRCdERycUlMQT09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,155,api_YVlteldwd1E3OElkdGFpNGhhd0RBZz09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,155,api_amdEakgvdlA2cjBCMVQxN3FwU1NRZz09,0,1,0,1,0,0,0,0,0
73429,11,collegedunia,268,api_aU91K0l6RlVSUDN4VFNZRDJqWGZHQT09,0,0,1,1,0,0,0,0,0
73429,11,collegedunia,227,api_RU1GS2dGQVU0ejlEWkZxU3BhOGQ2QT09,0,0,1,1,0,0,0,0,0
73429,11,collegedunia,227,api_OFFhTVhjVjRDWTZFNThUSExSUUhaZz09,0,0,1,1,0,0,0,0,0
73429,11,collegedunia,271,api_amUxd2tWNUV5c3RZa3d0YzdLUjM1QT09,0,0,1,1,0,0,0,0,0
73429,11,collegedunia,155,api_K3RtaHRXSHViUUFzY2h2aitwSzFHQT09,0,0,1,1,0,0,0,0,0
