pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
76394,11,collegedunia,CLL_105,online,3,0,0,3,3,0,0,0,0
76394,11,collegedunia,CLL_100,online,2,3,0,5,2,0,0,0,1
76394,11,collegedunia,224,api_bE8wYnBSSFB5NDRkNTc5V2ZWM1YrZz09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,264,api_YmJYVFhRTko2S1gxUXUxdExwREt2QT09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,264,api_YzNKb3V2Tnp0UmlKdmhrOS9sL21VUT09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,264,api_dHJvT1B6Y3haSE1zZk54ekhHcDZpUT09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,262,api_c3E5dHRGVHVwWWhGK3ZjVmZ5RVhWZz09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,190,api_cWxYZmFTblFETkF4dE1LTXQ1VlNrZz09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,190,api_bkh2dWM2N2JXNFN3YVFvMUExamZzQT09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,264,api_QWhQMnZ6VkpaNUNZOERJWDlZTkRpUT09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,243,api_N0J2ZjBMTVl2K3hTcDVnOVZaM0pFQT09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,266,api_dnIwSGNLK0tna0p1RFNwVnBRWEhBQT09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,266,api_eERmR2ZxdS9lOURUWFlOL09jOThVQT09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,266,api_ZHlqYkVWckwrSlVFVDR0dUJWUEdrUT09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,266,api_TUxjTk9ZN1hIOFVjcjlwdDJGSnlTQT09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,265,api_YzhQTG04RDhDdldDVVdBclVrSXR4QT09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,262,api_TncyUzA5cDJrNnhVSThZYVptMStaZz09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,262,api_SXc0Zm92dnVTbTZvRzQ4cjVnZnJZQT09,1,0,0,1,0,1,0,0,0
76394,11,collegedunia,262,api_bkNSVlkweTVaM3pVWCtSSHV1bVRzdz09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,279,api_Mlp2bEZPeEFuTE00aU94Y3Z2cHByZz09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,262,api_d3JTTzRYQXRDUEhzQ2V4eUlkUGdQUT09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,266,api_Vll2YlhJb3JSRHd5dGNydmZObE5Sdz09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,206_RV,api_Rys1ZjNRdUZ3NE5RL0lscG1RRmdvUT09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,279,api_UEhlQVBLT21wYy85Y05GNGpBQmU0dz09,1,0,0,1,1,0,0,0,0
76394,11,collegedunia,220,api_NndKVnl0cUNLSG5NNGxudnd2RTRvUT09,0,1,0,1,0,0,0,0,0
76394,11,collegedunia,247,api_elE0RE9waFk0OWVzdzdtTWpkb0Mrdz09,0,1,0,1,0,0,0,0,0
76394,11,collegedunia,266,api_MzNnU2xGbmtud0FQY1VhUkN2LzNpQT09,0,1,0,1,0,0,0,0,0
76394,11,collegedunia,266,api_VEVCbzZTc0phNm1CMWN0Y0FLRG5Sdz09,0,1,0,1,0,0,0,0,0
76394,11,collegedunia,262,api_TEtWSzdTTjBjZEdIYzdDVXNIb0p4Zz09,0,1,0,1,0,0,0,0,0
76394,11,collegedunia,279,api_OTVYWmQrbUZmU1ZZRkJPT1MvTExWQT09,0,1,0,1,0,0,0,0,0
76394,11,collegedunia,262,api_WEhWT2hrZElPbUJsVllmanRKOXR6Zz09,0,1,0,1,0,0,0,0,0
76394,11,collegedunia,266,api_OE9OZHlUQkl6cnJpM2I4K3FzY3hudz09,0,1,0,1,0,0,0,0,0
76394,11,collegedunia,264,api_VDh4d0Z1ZGhLNDZPL2VkWTdJK3JJQT09,0,1,0,1,0,0,0,0,0
76394,11,collegedunia,264,api_cXB6cWllRkRQSVVxS00xRzVKNzVFZz09,0,1,0,1,0,0,0,0,0
76394,11,collegedunia,216,api_YkxZS3p4Vk43K2V4blFlZjJtTldvdz09,0,1,0,1,0,0,0,0,0
76394,11,collegedunia,216,api_UmZHMEh0NFRUenRVdzNkeWVCeTA5dz09,0,1,0,1,0,0,0,0,0
76394,11,collegedunia,266,api_eHlTakxLd0RldU5Uei90aVlueldKQT09,0,1,0,1,0,0,0,0,0
76394,11,collegedunia,277,api_dTgzOFYzZ3ZlQS9FWVJnUmNjTytTQT09,0,1,0,1,0,0,0,0,0
76394,11,collegedunia,203_RV,api_TjVESk1MVzNscDJTcVlxTkFSV2pLQT09,0,1,0,1,0,0,0,0,0
76394,11,collegedunia,262,api_S1VHS2VDbE0xcnJKZzJCcFg5SDlmdz09,0,1,0,1,0,0,0,0,0
76394,11,collegedunia,277,api_L1UxWEhDd1hLNW8ySEZqUzNQWm5jdz09,0,1,0,1,0,0,0,0,0
76394,11,collegedunia,277,api_Vm9Yd2NuMUkzdXR2RkFzT1hNMmxrZz09,0,1,0,1,0,0,0,0,0
76394,11,collegedunia,277,api_RjYxVXpOMzFwYVBzeWo3U0poK3kwQT09,0,1,0,1,0,0,0,0,0
76394,11,collegedunia,262,api_NXlVOEJIZ2dpZjZ5alRXWnI3ZWZGdz09,0,1,0,1,0,0,0,0,0
