pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
,11,collegedunia,cll120,online,7,0,0,7,7,0,0,0,1
,11,collegedunia,cll102,online,4,0,0,4,4,0,0,0,0
,11,collegedunia,156,API_2026_140067888,1,0,0,1,1,0,0,0,0
,11,collegedunia,156,API_2026_140067613,1,0,0,1,1,0,0,0,0
,11,collegedunia,156,API_2026_140068885,1,0,0,1,1,0,0,0,0
,11,collegedunia,156,API_2026_140064750,1,0,0,1,1,0,0,0,0
,11,collegedunia,156,API_2026_140065613,1,0,0,1,1,0,0,0,0
,11,collegedunia,272,API_2026_140135645,1,0,0,1,1,0,0,0,0
,11,collegedunia,156,API_2026_140067029,1,0,0,1,1,0,0,0,0
,11,collegedunia,227_RV,API_2026_139029760,1,0,0,1,1,0,0,0,0
,11,collegedunia,227,API_2026_140109397,1,0,0,1,1,0,0,0,0
,11,collegedunia,227,API_2026_139973681,1,0,0,1,1,0,0,0,0
,11,collegedunia,227_RV,API_2026_139774386,1,0,0,1,1,0,0,0,0
,11,collegedunia,227,API_2026_139848963,1,0,0,1,1,0,0,0,1
,11,collegedunia,227_RV,API_2026_140010523,1,0,0,1,1,0,0,0,0
,11,collegedunia,227,API_2026_140006871,1,0,0,1,1,0,0,0,0
,11,collegedunia,227,API_2026_139800098,1,0,0,1,1,0,0,0,0
,11,collegedunia,227,API_2026_140110526,1,0,0,1,1,0,0,0,1
,11,collegedunia,214,API_2026_139934623,1,0,0,1,1,0,0,0,0
,11,collegedunia,156,API_2026_140071381,1,0,0,1,1,0,0,0,0
,11,collegedunia,156,API_2026_140081569,1,0,0,1,1,0,0,0,0
,11,collegedunia,156,API_2026_140067085,1,0,0,1,1,0,0,0,0
,11,collegedunia,156,API_2026_140070028,1,0,0,1,1,0,0,0,0
,11,collegedunia,156,API_2026_140066635,1,0,0,1,1,0,0,0,0
,11,collegedunia,228,API_2026_Z2dLQmpXWnNFK2hrWStMa3laVFVLUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,252,API_2026_[%analytics_id%],1,0,0,1,1,0,0,0,0
,11,collegedunia,227_RV,API_2026_dDFvVGV6SXlvN0xZNDJuaVVTOENBUT09,1,0,0,1,1,0,0,0,1
,11,collegedunia,227_RV,API_2026_ZWU4SW8rN0RqSm5lZHF3ZDZ2Y21ZUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,270,API_2026_[%analytics_id%],1,0,0,1,1,0,0,0,0
,11,collegedunia,182,API_2026_SDU4QnFHUk1Xck9EanpNdEFYVjJldz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,182,API_2026_SVhFZ2pjd0FJODI4RUR1NXM3ZTVqUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,API_2026_UFpIcm5DVExaYUZsWVRNa0YrSllaUT09,1,0,0,1,1,0,0,0,1
,11,collegedunia,271,API_2026_a3ZrK1RMenNlQjdYQXdLNGFWRTkrdz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,API_2026_UU5oaGNTMjZkTG5mNlU3SmdJRjcrQT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,API_2026_LzZ2M2VvaUxUbTZwRFByUU1McVVaZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,API_2026_OGlTVVZhNmx0UHozaDI4eUlrTkJsUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,API_2026_RkdkTmlJMEJqTU45Y0hVOCs1dWN3Zz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,36,API_2026_bmpsaGJBM0d6SzZCVWpUYmFZOTBDZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,API_2026_SUtvWkwycTJtVFZuaW5MazBqdWRNZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,API_2026_dlAvNTB6YmlDelZBbStxSFYvWDFRUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,API_2026_cWhpaldwQ0wyNW8vVmhpU3ltbEtZUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,API_2026_VDdRTjhxbzJZSFlZN0lFWmFMWE5zZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,API_2026_UGdtcHN1M3dmQVdZNWVGamxhR1JvQT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,API_2026_YUJJZFI1RW40Y2kwSHBPWFM1WmdHZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,252,API_2026_bGVGWnFwRllCSStaZXFLMTZwdEdKdz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,270,API_2026_dE9ma1NzVmhlNTdUNjBLUmZBTWpoQT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,227_RV,API_2026_TDBxSjB4SXhOcG16QmFLdzZzYWdxdz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,182,API_2026_cXEzNXFMMjVMVE5KaGxZWjZRRFdZQT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,209,API_2026_bGlDZGFEUXlQWnJJWVVMeVpObnd0dz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,209,API_2026_YXdYVml5dTh2RndDZHFBVCsxYzM2Zz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,209_RV,API_2026_bjhLbllVeG5nYWU4OWxNRFNobUFHUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,209,API_2026_eTF3NkhLTFExL3FZS20rOENsaDVadz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,209,API_2026_WkdNKys4SEUxK1lsdGlkZTBuVGpVUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,252,API_2026_WmN1UlFPaGF6TzdxOHJBc3pNV3g2UT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,182,API_2026_eUQ2eWMyZndxZHgwRERveStxTTRGUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,221,API_2026_M1RqUVkzU2Y0SkwrNkZIYTVqOGdXUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,221_RV,API_2026_ZzYrUnVlZlBKR3haOEVkYmZ5Sm5jZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,221_RV,API_2026_Nm52WHVlVlo5azlEMzFQUFlDQjBZQT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,227_RV,API_2026_Q0loaDJZOFFnYUNNU2RuS0lzY2syZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,cll105,online,1,0,0,1,1,0,0,0,0
,11,collegedunia,201,API_2026_RFQzek1hRk0vN2hwSGNMWlBlWXpJdz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,268,API_2026_L1NhK0dtL0lVWVhUUG0rTGNORWc4QT09,1,0,0,1,1,0,0,0,1
,11,collegedunia,221,API_2026_MllreEJHSzZselptbHZQWXBIbkRTZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,221,API_2026_Z2pWa21jamhFNTZyM2JYOXB1dlVKZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,API_2026_ODdGTVovZ01keHh0NzFhSy9JNkxDUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,182,API_2026_M0IrbDh0UW5VTW9KRGhlSTlmZ0J4dz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,221,API_2026_aFNFSmREM2F3VEhZRHUybzRQS2NCQT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,221,API_2026_eTBhSVp0M2JKcUxNM3N2U1NtWUVDQT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,API_2026_SkhycUZWTUw3Mkp0ck9zclZ6ZkR5dz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,API_2026_QWJibWNQc0cyRHpUY0o4a1o4U29KUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,API_2026_Z2F0REZyTW13RUN6bTRCeUtwSXVpdz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,API_2026_UzgxN1Z4ZTdSMFpISzluWlFnR3lUdz09,1,0,0,1,1,0,0,0,0
