pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
72613,11,collegedunia,code01,online,23,0,0,23,23,0,0,0,0
72613,11,collegedunia,code02,online,9,0,0,9,9,0,0,0,0
72613,11,collegedunia,code03,online,5,0,0,5,5,0,0,0,0
72613,11,collegedunia,156,api_140130281,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,156,api_140129654,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,156,api_140129570,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,156,api_140126872,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_aUJucVU0U1lKSTNDeWh1aERjR3lrUT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_ZVhnb3YrMmJOWmV1S2tHTXd5bVg2Zz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_WTZWWmhiSy9RTk8vUDZLdk5aOThJQT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_Ny9XQXc3d1pJeFhFY0RvV2pQallOZz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,221,api_R0o3MWRZZm5RVVZrOWZpUk1JRUVVZz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_anZIVTlPbWRzcmpKWXZYOHJldmx4QT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_MitJTnRzR2ZrSGdVN2dhbC9nS3FUdz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,227,api_VTVKWGwvb2FLbm43aFZ3aE5LdURsZz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,230,api_UXZPYjh3V2Z5cWhSeXI4UDFsUndoZz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,268,api_YU9WczI1SXhzcGtOYlhpOVJUaGROdz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_dlBlWCt6YytZb0kwd3hOMnFnNERpUT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_WHZBclZuY1lvbXZBcEVhK2oxNitWZz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,227_RV,api_dFl4MDNOaXBacXVKOTcvMVExenFwQT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_L1J3NnRHc0Q3T1FZZEo2ekVGT0Irdz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_VXd1bDBZRFJUQUJXbVdibmsrRThSdz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_MnlDRk84TnlPTm5FTjQ2dXF5bmEydz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,278_RV,api_YU9NaHdzWFByamVMaXVHTE1ZLy9iZz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,271,api_S2hNMDB4RS9qL2RsbWxMendYNnlOQT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,228,api_MXE0dE5YL3VwYldBU2l5UEZIZHFQUT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,270,api_d2ZHbjBEWGx6OWNEN1NsdVljNk8vdz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,228,api_Qmp3aTJUUkExTUlWUGhxWE1TZThzZz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_ck1EakdsNmllMEpyaFFudHpYcnFwQT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_OGEyRVdKTTg0UFMrR1Zibm9vc0tCQT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,271,api_dEtub2tqd0I3N1U1WldPQWdZbUNWQT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_ZkJhM2paeVR3TjdJd2ZVU014M1VTdz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_VVhlc2RzQkRoSWI5Qm4yWmhXZWFQQT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_bU42b2FkUmZob2NtZHl2VWxyaWw4UT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_WHlIRTBxRjBQR1ZYMHRKY08yazRWZz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,230,api_M2ZRcHo3RlZTK2xVZGxoTFlBUnMwdz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_Y1JHc3Y2bkdDdHVqL0pRQjhjaGpudz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,228,api_Z0N2MTlra3BCZzZWdzh1M1hWRi9Idz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,271,api_SzU0RENlUXlxQTZEOGM4MFJ0NFZvdz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,271,api_UmhSclptT2pHNXIvRnJ6TkszTzZiUT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,271,api_eE0vSCtwMGhYWVRXQUZ1bXY1MkhSdz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,272,api_OHNuUDFwL2s1N0NZc25CclhwNnNxdz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_UkVPVzVxQjNRRTlUeFhNM3p2cG1SQT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,221,api_ZnFqekZPTWZhQ2hRYzJhUlB2a0VaZz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,271,api_T2lIUER1NjJ6bjMvdDY4ZXdGS0VtUT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,228,api_Q0NIS1dBdlZkeGE0RExYNXU1R3ZzUT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_eW1OSmphWWl5VGpSZEFuWFBTV1VlUT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,252,api_dFhXVXk0TnZXT3lzaUxacU1aSVM2QT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,271,api_c2UyT1ErdkcyUE9kdC9ZVzJHM0E1QT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_YmViSE94aTdwWFBIbG1kZldlbDNBZz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,270,api_NWd0SlFNZkVodXJYOVlHSFRRdUE1UT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,228,api_Y2c1UnNQeDVITzlVdURmaGFHMTMyZz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,263,api_VlZCUWxPK0xlVkJmelo3dzlrek1aZz09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,153,api_UTlSa0hONE9NNk5FUzBFWWUrWlJkQT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,228,api_RVZobXp4dm1YbTAyRXZOSmpPazk2UT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,153,api_NnRmWFl0ZS83QnNvUGFhYWdLS0hhUT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,153,api_aDVKRGhFZzVJZHQxRjRkM1VBU21vUT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_TjV2R0RNTm5MM0xnSmsyd3hIU2FtUT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,182,api_SGIyb1l3WXN3OEhwNFJKUlg0K2gvQT09,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,253,api_139716225,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,251,api_139752780,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,221,api_139918384,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,253,api_139725781,1,0,0,1,1,0,0,0,0
72613,11,collegedunia,253,api_139918622,1,0,0,1,1,0,0,0,0
