pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
72911,11,collegedunia,bnp,online,2,3,0,5,2,0,0,0,1
72911,11,Collegedunia,SMS,Online,2,1,0,3,2,0,0,0,1
72911,11,collegedunia,271,api_OHlXc0wvUFJDeW5JcmtOV2hUemlSQT09,1,0,0,1,1,0,0,0,1
72911,11,collegedunia,271,api_d1NCSllKN2wwTnN0ZVRnWXdQOUJodz09,1,0,0,1,1,0,0,0,0
72911,11,collegedunia,179,api_ckF6OU1haSs3QTcwWGdDZkxJdFlLQT09,1,0,0,1,1,0,0,0,0
72911,11,collegedunia,243,api_OEVzQTZ5dmRGZGI1YTZzK0daZ2JsZz09,1,0,0,1,1,0,0,0,0
72911,11,collegedunia,Email,online,1,0,0,1,1,0,0,0,0
72911,11,collegedunia,279_LPS,api_Q3hoV2lpRi8xd1JGQTk0Ym5EK2FWdz09,1,0,0,1,1,0,0,0,0
72911,11,collegedunia,271,api_bmxNZThXTVJkK3Bja2FrTjFLd3dudz09,0,1,0,1,0,0,0,0,0
72911,11,collegedunia,182,api_VFh6VWhIYTA3KzRHUUJBZnN2TWRiUT09,0,1,0,1,0,0,0,0,0
72911,11,collegedunia,17,api_dHNYekNVbGNWN2JSdFM2MUEyb0ltUT09,0,1,0,1,0,0,0,0,0
72911,11,collegedunia,182,api_Yi9MelFicE0reW5qMUdNdWwvbzdZZz09,0,1,0,1,0,0,0,0,0
72911,11,collegedunia,182,api_WFJTUXh1Z0dDNDFEL2U4bXVvZ1c0Zz09,0,1,0,1,0,0,0,0,0
72911,11,collegedunia,182,api_dWFYck5VdTRVbUVoN2ZmUTd2Sm5vQT09,0,1,0,1,0,0,0,0,0
72911,11,collegedunia,268,api_Q2l1MXl4U0FwZGNRWVFDZXhKR0Q3QT09,0,1,0,1,0,0,0,0,0
72911,11,collegedunia,200,api_eGEwQkJqdUpMdDR5WnhRMGVxTEtMUT09,0,1,0,1,0,0,0,0,0
72911,11,collegedunia,254,api_YjJHa1czRFNvSWUrd250eUk5Qllqdz09,0,1,0,1,0,0,0,0,0
72911,11,collegedunia,172,api_cDdyVEJGV2h0TExJZ1NmK05oVnRMQT09,0,0,1,1,0,0,0,0,0
72911,11,collegedunia,279,api_UnBYdjVjaWR2c3VGUktRVktGTHZ2QT09,0,0,1,1,0,0,0,0,0
72911,11,collegedunia,155,api_ZTZMVFJlV0dxMjlmbGdnTU5qeFgrQT09,0,0,1,1,0,0,0,0,0
