pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
72256,11,collegedunia,cll_100,online,8,0,0,8,2,6,0,0,0
72256,11,collegedunia,cll_109,online,6,0,0,6,0,6,0,0,0
72256,11,collegedunia,cll_123,online,4,0,0,4,0,4,0,0,0
72256,11,collegedunia,info21,online,4,2,0,6,1,3,0,0,0
72256,11,collegedunia,cll_124,online,3,0,0,3,1,2,0,0,0
72256,11,collegedunia,cll_120,online,3,1,0,4,0,3,0,0,0
72256,11,collegedunia,cll_116,online,2,0,0,2,0,2,0,0,0
72256,11,collegedunia,cll_117,online,2,0,0,2,0,2,0,0,0
72256,11,collegedunia,cll_118,online,2,0,0,2,0,2,0,0,0
72256,11,collegedunia,cll_166,online,2,0,0,2,0,2,0,0,0
72256,11,collegedunia,cll_168,online,2,0,0,2,1,1,0,0,0
72256,11,collegedunia,com.matteljv.uno,ims_video_campaign,2,0,0,2,2,0,0,0,0
72256,11,collegedunia,cll_107,online,2,0,0,2,0,2,0,0,0
72256,11,collegedunia,cll_146,online,1,0,0,1,0,1,0,0,0
72256,11,collegedunia,cll_125,online,1,0,0,1,0,1,0,0,0
72256,11,collegedunia,271_MPA,api_140022207,1,0,0,1,0,1,0,0,0
72256,11,collegedunia,272_MPA,api_140160023,1,0,0,1,0,1,0,0,0
72256,11,collegedunia,156,api_dFhlV09Zb2xWaGgrbVNTUEpnRXZYUT09,1,0,0,1,1,0,0,0,0
72256,11,collegedunia,156,api_TnMvT1o1MEVxZmNLaEFhaW41ZVlaQT09,1,0,0,1,1,0,0,0,0
72256,11,collegedunia,204,api_VGEyUlNaczFBTHRROG90MkZWOWFpZz09,1,0,0,1,1,0,0,0,0
72256,11,collegedunia,156,api_eHBKZWZBUFV1VmV0azV2RHp0ZUxIdz09,1,0,0,1,0,1,0,0,0
72256,11,collegedunia,156,api_eWdTK09qcGtDREhMZXZRWlNyenA0QT09,1,0,0,1,0,1,0,0,0
