pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
74091,11,collegedunia,224,api_cHpxUEtUUCt2d2IyU2pScmVvOEdLdz09,1,0,0,1,1,0,0,0,1
74091,11,collegedunia,224_RV,api_QTZWeDVQK2c3VVM5Y3NCQmY3b3ZKdz09,1,0,0,1,1,0,0,0,1
74091,11,collegedunia,221,api_T2lHQ1Urb0Y1d3ZqZzhqRzRIdi9oUT09,1,0,0,1,1,0,0,0,0
74091,11,collegedunia,263,api_VnRmVVFNWFlUYkc5UDljZjMvV0xDUT09,1,0,0,1,1,0,0,0,0
74091,11,collegedunia,192_RV,api_Y05XdzRVOVdIRnZqRnpHWDVWV3daZz09,1,0,0,1,1,0,0,0,0
74091,11,collegedunia,192_RV,api_NnZ1dzlZUmxObVpYUUhhaXp1bCtKZz09,1,0,0,1,1,0,0,0,0
74091,11,collegedunia,192_RV,api_WHIxcmNZaGlGK01sVnhlTmJ5TDE3QT09,1,0,0,1,1,0,0,0,0
74091,11,collegedunia,221_RV,api_ZlVTbnRMVkFFcFFCNC9xTk1TbmQvdz09,1,0,0,1,1,0,0,0,1
74091,11,collegedunia,192,api_bVBERzIwT3FjRC9tRUxYdmRMdXdaQT09,1,0,0,1,1,0,0,0,1
74091,11,collegedunia,192,api_K0NNaVdzaFo4VVN3bjdGMmhzeFkvQT09,1,0,0,1,1,0,0,0,0
74091,11,collegedunia,263,api_RXA5VXBURzd5MExGL0l5bzg5WlFUUT09,1,0,0,1,1,0,0,0,0
74091,11,collegedunia,263,api_U2g0aXVFVmdzNmN4dHB1eGJ1eDA0dz09,1,0,0,1,1,0,0,0,0
74091,11,collegedunia,223_LPS_RV,api_MFV5bWdScDV0Z0h6TklaQUxaK2Vydz09,1,0,0,1,1,0,0,0,0
74091,11,collegedunia,263_RV,api_dzV3Q3NqZXdzZzF5U2VhSmFaYnd2QT09,0,1,0,1,0,0,0,0,0
74091,11,collegedunia,192_RV,api_Z1I4VDVoR1dialVCWDJRZWZiV1M2QT09,0,1,0,1,0,0,0,0,0
