pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
72404,11,collegedunia,CDC,online,67,4,4,75,66,1,0,0,2
72404,11,collegedunia,271,api_140136038,1,0,0,1,1,0,0,0,1
72404,11,collegedunia,251,api_140135703,1,0,0,1,1,0,0,0,1
72404,11,collegedunia,252,api_140136129,1,0,0,1,1,0,0,0,0
72404,11,collegedunia,3,api_4303058,1,0,0,1,1,0,0,0,0
72404,11,collegedunia,272,api_140147607,1,0,0,1,1,0,0,0,0
72404,11,collegedunia,35,api_140120539,1,0,0,1,1,0,0,0,0
72404,11,collegedunia,182,api_140115884,1,0,0,1,1,0,0,0,0
72404,11,collegedunia,228,api_140167607,1,0,0,1,1,0,0,0,0
72404,11,collegedunia,182,api_140168327,1,0,0,1,1,0,0,0,1
72404,11,collegedunia,228,api_T0hQRUtkSzNUdEFDdE9QVWtnWVhQZz09,1,0,0,1,1,0,0,0,0
72404,11,collegedunia,230,api_UkdVeEFROEZuOUdkckN6S1VpV1N1Zz09,1,0,0,1,1,0,0,0,1
72404,11,collegedunia,279,api_OFhzdzJrd211THBsRENwWkZJcU5aZz09,1,0,0,1,1,0,0,0,0
72404,11,collegedunia,3,api_4803658,1,0,0,1,1,0,0,0,1
72404,11,collegedunia,230,api_anVpdEoxd0hMWFhkQmZSRnFBRnpJUT09,1,0,0,1,1,0,0,0,1
72404,11,collegedunia,182,api_RDRVdWNXTmYyMkxqa1dWRGRUZkhBQT09,1,0,0,1,1,0,0,0,0
72404,11,collegedunia,270,api_SmNnamJUNmdJRlZKQjFYVjU3TndGUT09,1,0,0,1,1,0,0,0,0
72404,11,collegedunia,208,api_dVowdFZoZ1pnZW1NeWFnYWNCREJwZz09,1,0,0,1,1,0,0,0,0
72404,11,collegedunia,269,api_cFJJQjRXVlpRRVN1aVZDVHROQWRRZz09,1,0,0,1,1,0,0,0,1
72404,11,collegedunia,3,api_4301163,1,0,0,1,1,0,0,0,0
72404,11,collegedunia,3,api_4906145,1,0,0,1,1,0,0,0,1
72404,11,collegedunia,182,api_VlZWVnFSUENwcmhpNkEyRWRWWGJXQT09,1,0,0,1,1,0,0,0,0
72404,11,collegedunia,228,api_SzAvRFgxK2czdTY0emsvTzhJSHpPdz09,1,0,0,1,1,0,0,0,1
72404,11,collegedunia,208,api_cnFhTXNCRXNTSlI1cGhYL09JT2Erdz09,1,0,0,1,1,0,0,0,0
72404,11,collegedunia,227,api_bXh2Z0lVZ3hMZXFEYzdmWXdUV1A1QT09,1,0,0,1,1,0,0,0,0
72404,11,collegedunia,208,api_dHl1L3FES090aTVrY09WUjlFNDJxZz09,1,0,0,1,1,0,0,0,0
72404,11,collegedunia,271,api_SXBLS2pNNHpUWnRlTWkzSy9KdkZjZz09,1,0,0,1,1,0,0,0,0
72404,11,collegedunia,271,api_dWh0NU1nZmRZdjhjT3JnUmNIZUY0QT09,1,0,0,1,1,0,0,0,0
72404,11,collegedunia,3,api_4908017,1,0,0,1,1,0,0,0,0
72404,11,collegedunia,182,api_N3UrMUVNY0N5bkVMaHo1VmRYekJWdz09,1,0,0,1,1,0,0,0,0
72404,11,collegedunia,195,api_UkZRZXpOS3ZDdlA2MkJBZFNwZjNVZz09,1,0,0,1,1,0,0,0,0
