pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
72402,11,collegedunia,181,api_140148014,1,0,0,1,1,0,0,0,0
72402,11,collegedunia,181,api_b0RmL0lLRlRIZTdZR2dZY1NNdUFVUT09,1,0,0,1,1,0,0,0,0
72402,11,collegedunia,181,api_SVFlVldCOGZ6QmlobHdtemJlbEVHZz09,1,0,0,1,1,0,0,0,0
72402,11,collegedunia,241,api_RFRLRGNTaW9RNGx5dHROc1FKbVorUT09,1,0,0,1,1,0,0,0,0
72402,11,collegedunia,230,api_OXo3MG9jUm9qdzhla2ZNeFJ0VnhOZz09,1,0,0,1,1,0,0,0,0
72402,11,collegedunia,181,api_czJMWkV0eTlSWGUrQkJqWmpwSnN2dz09,1,0,0,1,1,0,0,0,0
72402,11,collegedunia,259,api_ZTNvK1V2UndZY0cwSTNZb2pBcmpKQT09,1,0,0,1,1,0,0,0,0
72402,11,collegedunia,229_RV,api_VS9EOEY3UjJYcXlpODJoK3VoM2xmZz09,1,0,0,1,1,0,0,0,0
72402,11,collegedunia,259,api_T2VOcVUyM201S1YzVE1ZbU5HNEROUT09,1,0,0,1,1,0,0,0,1
72402,11,collegedunia,259,api_Ukthc3ArdkJramc1bTNPdzlPSytjQT09,1,0,0,1,1,0,0,0,0
72402,11,collegedunia,181,api_139948282,1,0,0,1,1,0,0,0,0
72402,11,collegedunia,181,api_139981686,1,0,0,1,1,0,0,0,0
72402,11,collegedunia,260,api_139915243,1,0,0,1,1,0,0,0,0
72402,11,collegedunia,181,api_139958974,1,0,0,1,1,0,0,0,0
72402,11,collegedunia,181,api_140020000,1,0,0,1,1,0,0,0,0
72402,11,collegedunia,214,api_140030825,1,0,0,1,1,0,0,0,0
72402,11,collegedunia,181,api_140039533,1,0,0,1,1,0,0,0,0
72402,11,collegedunia,181,api_140053574,1,0,0,1,1,0,0,0,0
72402,11,collegedunia,181,api_140163668,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,181,api_140146037,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,181,api_140171748,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,181,api_eWtMQjIwem52cDh2bEVyWFlCcVhIZz09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,181,api_dEI1SEdFeThidHo1ZVFPdVI0V2hKQT09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,181,api_bGFtTmlYRy8yZzVuTFV5OHc2M0didz09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,181,api_TkpkYmpML2tNa042OS9XbnBMekM3dz09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,181,api_dFM5S3hVR3d5L3duT3piNzgwWFk4QT09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,181,api_WDNPSk1iajVISkRLRHdjQ2ZhN05Cdz09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,260,api_ODBQSktXcmk1SFlobDBtWm10RUxEZz09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,181,api_ekdxckVZNnVtaHQzaFhLbjJFV2E4UT09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,241,api_OXZYdUhXZjNGQTAxNVExbERodGdSdz09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,230,api_Nm9Vd01SaDRVVWIxeDZHNmtVOHlQUT09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,181,api_TEs2SzdXWFVPdzE0d1J6NnFWZzBTUT09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,260,api_NDdxRm94blBOQ0Z4UGFUaUszYkRQdz09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,195_RV,api_L005Zm9HK2Z2eHgvdlRPUnlGcGYzdz09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,260,api_RWRJTHRlQVgyV3FNVVUxaHBDd28xUT09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,147,api_Q29KQ2Q2eEZpemhCY0FSdTd2LzZyUT09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,147,api_cWZnb2FncHc3cmd3V0IzWWs0NkVKUT09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,260,api_NVdRK3YzZ1luc3RlNnVNcEIzRVRJQT09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,260,api_Tk1lWmRjbWo5RVlWVGtlMDc2bUNPQT09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,147,api_cmxObUFLZWYyaWZIZkwyMmZiRzcrUT09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,147,api_QmVmVk9HcWZ5VjZsNGUrbTdSdFFOQT09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,147,api_RmMzY0JLdEY0N2hkZlBJdVQ2VTNzZz09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,147,api_NlkxS01wZnVsQ2w1ekl3L2xpOWpJQT09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,147,api_SjNmWkFlY2JlNEMxblBSWVYzWVVBQT09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,147,api_SGVJM0Y0T2FRbVBpN0xXUGt6RVdqQT09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,147,api_ZlFwdCtES0g0YWgwTStLTlBibGhJdz09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,147,api_KzdNV3RFRG85VXVQM2ZGWVpHL0Q3dz09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,260,api_U2ZQcCtYM3c0YWtkT0ZyOXFReG9mZz09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,147,api_czZHSFVmUlE1UFJUR1lBQUNpQTQ1Zz09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,147,api_VmMvb2tpSCtaQmsxS2pUQ1hrRFRHZz09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,147,api_cVRjUXBXRDFOTnFWdFJHRldCYUlYdz09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,147,api_Um5KS0pPNm9JYXpESTJHUjVEMDZCQT09,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,181,api_139976706,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,181,api_139940591,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,181,api_139951669,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,181,api_139999161,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,230,api_140049648,0,1,0,1,0,0,0,0,0
72402,11,collegedunia,279,api_OENzU2ZtdmlEdnFSOVdrQytRdWxKUT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,223_RV,api_S1IrUGJ6YWZPSkR3MmVmQldwQzNhdz09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,181,api_ditaZ2FmUExvZ3R1MmwzMlI1c1E4dz09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_c3M2eERyQ0tBUTNGWmdiYnBFUURvQT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,181,api_VTFKWm5lU1YvR3dLN0tvTFVURTZpZz09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,230,api_REd0cytudy9lZ01PN3hsQ1hpOWU0QT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,230,api_S2NXamFyMnNBVjF4MjFwZ0RSeGx5dz09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,181,api_T3kwVDJFUVk4ZU5oRWtKcWRuTW5Sdz09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,181,api_Y0FxdDY5ZW9EbjlKUThxSDJMUlF3QT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_cExSTTU0SlNob01oM216OTRBQTEvdz09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_TFJLTThVcGtnS2dKYmNSRFFlNnpadz09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_OUlxNzlXRWtVRkkwSXVCU0VCSVh2QT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,227,api_dlJWQ3laUjdSd3YzWkhmdGhQQ0dtZz09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,230,api_cStUUFNVRmZ0V0RUUUtYZFJWZjQ4QT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,259,api_TUdTeGV6MGcxYnQxYU1HcEdpQTlBZz09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,186,api_UGJyRHVjaHN1Um9UMEo3RmVxUVR4QT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,147,api_NEgxOFQ1dG9XSm1MMDBieGdzSDdVdz09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,147,api_NTR0enBjaVUyL3FlVVNBOWRaWlVYdz09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,147,api_RE11MHJMZVAzTEt6TkZ6b0tHelhiZz09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,147,api_VmFPM0hvWU8wQ3F6UWZTbk9LTmFQZz09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,181,api_Q0c1WDR0dVA1M0QrMFVQMHlsZ2Uvdz09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_NTF5V3FXR2prekRhdGJlSTMrdUdydz09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_OXd1WUFlTXg2TmZMbFRXd2I2NDlmUT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_YzhmSkJ1c3ZYV0FFb0E5VkJ5VnVVUT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_V2Q4bG1jYjVIWmN2dHI4L0J6SU00UT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_eXFacXltWW56S0RFUzZwM1dPMDFNQT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_QUxyWTBqSjcwUmNSdnM0Y1dqeER5QT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_RW9rTVpLZXFLRklmQ3VKZWtOZDdKUT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_V1ZuYlczTk42QnM5aDJMTVJqaHFVQT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_NENGWEh1MVkrVkFNTHk2SHdvcXorQT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_VVpvaXFSQ054YWFGWUhQb3A1N0E5QT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_YVhXZVBqOWNZdUVBbEhmaldwZ0ZvUT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_Sm5oTzdJM3BlcEZITXVXbGZnQkNCQT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_czU0Vmdhc1paUlNYWHBmeUdqSCsrdz09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_dW5IRlA0ZXlCTS80SVNGdGtyV2g0UT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_di8za0JHanBuYnpxbFR6V1k0NXBPZz09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_d3E5cmdrN3J1THVNOGRJVzF3U3BpZz09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,260,api_ZVJLTC91ZFVMelgzR1VCOGxReDZKUT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,147,api_VllBNGJEcFc1Nno4VExvd2lRYVFrUT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,147,api_RUc5UUU0RjhlU21vVjlVQWJxSngzQT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,147,api_c1Z0K1Z6ZUphNTRPU2FZOXk0V1ZGUT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,147,api_RlpBYWxrQWdXUk5XTzlXazB3Mys4UT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,147,api_L21VejVPeGZCNXE3QTJmbDdoZ0xIQT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,147,api_bmQzb1lZcDJNOVRwL3dENTU1aWZTQT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,147,api_SmNKZkpueTJtMjRidnk0Z2hWUnIvZz09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,147,api_UFZTVElYUWw5SDVUeUdMMTBZQ2JRdz09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,147,api_ckE2Y296Y1kybFErcVpIWlRmaE84QT09,0,0,1,1,0,0,0,0,0
72402,11,collegedunia,147,api_Z1BvdTBSSE90QnpuTWx2RkltUlNrUT09,0,0,1,1,0,0,0,0,0
