pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
,11,collegedunia,CDC,online,4,0,0,4,4,0,0,0,0
,11,collegedunia,227,api_aHQ4NWI4OUJweUdvUHAxd0RhV25QZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,182,api_YjVkUGJQcy9JUEgyeGVNOUtQbytIUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,217,api_VlBYYXdlUzBvVmgyd0h6anROdFptUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,262,api_R2U3YU1KNTlDZ2lraVZxMnVVRkxvdz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,264,api_bUs0NG1EaVRGM1dUNWdYcUdMWktzUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,266,api_cWVSbGhSenFIWDR2MkZtSE1oVW5uZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,266,api_TmRoN3plK1FMbkdZNFlPUEVDS2xLZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,266,api_bUdlblpHVi9UY0VXYW9FVnQ0RGxrdz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,266,api_L2RCTmErVUV1SXFhdUFrZ2RVU2VXdz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,223,api_Z2l3dGdSMzltS3NmR3NXRnFCU1lEZz09,1,0,0,1,1,0,0,0,1
,11,collegedunia,266,api_MHh5MVhjQlpsaitLdlBRTG1uWnFPUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,225,api_bVptalpGN0swdGVOZUlhY3plaklOQT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,217,api_V0xpUmt2V1I5UDF3aUdVaW1vUEVkZz09,1,0,0,1,1,0,0,0,1
,11,collegedunia,262,api_OE9YelZHNE9iTXFmN2NxMEFlMXoxZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,264,api_cG9GS1loMmM3STNOYUlsYU5kb3B0dz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,264,api_b3FoM3krMlA0ZWNLaEM3Tk16SHFzdz09,1,0,0,1,1,0,0,0,1
,11,collegedunia,227,api_dXg4OTRHRmlXcU8yVFo3alpkZUxMUT09,1,0,0,1,1,0,0,0,0
