pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
74097,11,collegedunia,263,api_Z2o3dEdKS2JiNk1jeW1ZdDlLbkRSUT09,1,0,0,1,1,0,0,0,0
74097,11,collegedunia,201,api_TzBxWmlpLzJ6cHZpWVB3dDE5MG85dz09,1,0,0,1,1,0,0,0,0
74097,11,collegedunia,271,api_M04xbjF5L09PVXB4Y0xLZldSY0hVdz09,1,0,0,1,1,0,0,0,0
74097,11,collegedunia,232,api_bC85OFBpdlp0RU13emNkNTRZY3VjQT09,1,0,0,1,1,0,0,0,0
74097,11,collegedunia,182,api_VGliUnN4RXU1ZTR5dW41Y3J6aWpzZz09,1,0,0,1,1,0,0,0,0
74097,11,collegedunia,182,api_cThlanU5L2Q5QjBpQUJqYWpaUkdpUT09,1,0,0,1,1,0,0,0,0
74097,11,collegedunia,182,api_OFErd0N5cVNmQS9vUTk1Mzl1Y0MrQT09,1,0,0,1,1,0,0,0,0
74097,11,collegedunia,232,api_Sk1IS001S0lwa2UzMWpIenZycmt2dz09,1,0,0,1,1,0,0,0,0
74097,11,collegedunia,222,api_UHZQc1pQcDlUWjduRng2K3JVNWpDUT09,0,1,0,1,0,0,0,0,0
74097,11,collegedunia,157,api_MWFNVnRLakpvTUdGQ1U2ODNNNkZFdz09,0,1,0,1,0,0,0,0,0
74097,11,collegedunia,232,api_bEtUWDVEMmNyVmZBaXNuejM2clUvUT09,0,1,0,1,0,0,0,0,0
74097,11,collegedunia,271,api_MERMcncvNElCd0Zzdy9YSWxTc0JnZz09,0,1,0,1,0,0,0,0,0
74097,11,collegedunia,271,api_NW9ka202YTlkc1F6OWpXOGJ6Rk5LUT09,0,0,1,1,0,0,0,0,0
