pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
,11,collegedunia,raft22,online,30,22,6,58,30,0,0,0,2
,11,collegedunia,raft21,online,11,9,0,20,11,0,0,0,0
,11,collegedunia,apm,online,3,0,0,3,3,0,0,0,0
,11,collegedunia,snap1,online,2,0,0,2,2,0,0,0,0
,11,collegedunia,pre2,online,2,0,0,2,2,0,0,0,0
,11,collegedunia,order9,online,2,0,0,2,2,0,0,0,0
,11,collegedunia,port8,online,2,0,0,2,2,0,0,0,0
,11,collegedunia,rcs9,online,2,0,0,2,2,0,0,0,0
,11,collegedunia,sms8,online,2,0,0,2,2,0,0,0,0
,11,collegedunia,186,api_140140185,1,0,0,1,1,0,0,0,0
,11,collegedunia,181,api_140142436,1,0,0,1,1,0,0,0,0
,11,collegedunia,181,api_140154995,1,0,0,1,1,0,0,0,0
,11,collegedunia,181,api_140155766,1,0,0,1,1,0,0,0,0
,11,collegedunia,228,api_140153138,1,0,0,1,1,0,0,0,0
,11,collegedunia,220,api_140164849,1,0,0,1,1,0,0,0,0
,11,collegedunia,225,api_SGEvYlRrWFFvVnFteHhYeEtaRXlKZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,208,api_KzI3MGhXaWVMaFlSL2RvTk5DN3pkUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,186,api_TEFwUmcvU1NJK29ndDJSQ0ZWaHJwUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,186,api_bURXRERVSGRRS2J2K1pHWlRRajV3Zz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,181,api_QXl4SEttWWJsczRUVC96c2hOcW8yQT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,223,api_N2dRakZJbm5UbFV6U0hCV0Z5RllSdz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,186,api_WG82YkZzdXZ4SWNFWkZCcllWaG01dz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,208,api_alVOTEZjbUVXL3dRS0pxNko0YUpFdz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,email2,online,1,0,1,2,1,0,0,0,0
,11,collegedunia,259,api_eG1xVVZ4MDdlSWc1RWEvOGVaRlpBdz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,pre1,online,1,0,1,2,1,0,0,0,0
,11,collegedunia,228,api_RVE4Z2l5NFZBeHI3WUMyeXJEM052QT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,262_LPS,api_NDYvaWVUVE9INUovUDRCWDI0a2lwZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,insta8,online,1,0,0,1,1,0,0,0,0
,11,collegedunia,fb9,online,1,0,1,2,1,0,0,0,0
,11,collegedunia,181,api_NTAvYVdPNVJPbUVPZWFqY1M1aENwQT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,rcs8,online,1,0,1,2,1,0,0,0,0
,11,collegedunia,199,api_ZDMyYjhsY21KRGNKVE9Ka0dvbzN1Zz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,260,api_TEs2MnI3OXR3bzJuWU0vUmF3U29hZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,260,api_MHR4SlUyenhzKy9LZkhXT2dhZm1mUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,147,api_WVR3Tms3SmVpMU1yR1NxUzEzT0J5UT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,186,api_aExlRm9pUXpsQXM0MEVCc01naE01Zz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,199,api_139878366,1,0,0,1,1,0,0,0,0
,11,collegedunia,199,api_139890232,1,0,0,1,1,0,0,0,0
,11,collegedunia,260,api_139915245,1,0,0,1,1,0,0,0,0
,11,collegedunia,Coursebanner,online,1,0,0,1,1,0,0,0,0
,11,collegedunia,260,api_139918695,1,0,0,1,1,0,0,0,0
,11,collegedunia,186,api_139926523,1,0,0,1,1,0,0,0,0
,11,collegedunia,260,api_139925899,1,0,0,1,1,0,0,0,0
,11,collegedunia,211,api_139928146,1,0,0,1,1,0,0,0,0
,11,collegedunia,260,api_139928589,1,0,0,1,1,0,0,0,0
,11,collegedunia,201_RV,api_139254561,1,0,0,1,1,0,0,0,0
,11,collegedunia,181,api_139948282,1,0,0,1,1,0,0,0,0
,11,collegedunia,260,api_139945484,1,0,0,1,1,0,0,0,0
,11,collegedunia,220,api_139951642,1,0,0,1,1,0,0,0,0
,11,collegedunia,181,api_139951456,1,0,0,1,1,0,0,0,0
,11,collegedunia,201,api_139954526,1,0,0,1,1,0,0,0,0
,11,collegedunia,181,api_139957764,1,0,0,1,1,0,0,0,0
,11,collegedunia,223,api_139965134,1,0,0,1,1,0,0,0,0
,11,collegedunia,181,api_139966556,1,0,0,1,1,0,0,0,0
,11,collegedunia,181,api_139972017,1,0,0,1,1,0,0,0,0
,11,collegedunia,181,api_139979551,1,0,0,1,1,0,0,0,0
,11,collegedunia,181,api_139985565,1,0,0,1,1,0,0,0,0
,11,collegedunia,208,api_139987053,1,0,0,1,1,0,0,0,0
,11,collegedunia,208_LPS,api_139999129,1,0,0,1,1,0,0,0,0
,11,collegedunia,195_LPS,api_140000900,1,0,0,1,1,0,0,0,0
,11,collegedunia,228,api_140023139,1,0,0,1,1,0,0,0,0
,11,collegedunia,201,api_140030437,1,0,0,1,0,1,0,0,0
,11,collegedunia,181,api_140037500,1,0,0,1,1,0,0,0,0
,11,collegedunia,220,api_140043316,1,0,0,1,1,0,0,0,0
,11,collegedunia,201_RV,api_140047004,1,0,0,1,1,0,0,0,0
,11,collegedunia,181,api_140098798,1,0,0,1,1,0,0,0,0
,11,collegedunia,new8,online,0,3,1,4,0,0,0,0,0
,11,collegedunia,snap2,online,0,2,0,2,0,0,0,0,0
,11,collegedunia,odd8,online,0,2,0,2,0,0,0,0,0
,11,collegedunia,181,api_140164175,0,1,0,1,0,0,0,0,0
,11,collegedunia,181,api_140169166,0,1,0,1,0,0,0,0,0
,11,collegedunia,208,api_dzJiZWlWWkg1NldzWXJZdGF0RU4yUT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,220_LPS_RV,api_VU9EY1lIMG9NbDNzY0VkWGNLdWpEdz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,181,api_QUtKMDNiNExaQnhmckNiV2xvZEx2dz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,181,api_Ykp1VGw4V2lBbm1LT1dvdDFQMGxXdz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,181,api_RklpaTFjMURVUVFUNFFEUHJBTUwwUT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,186,api_SXgxK0FXaFNCMkdYaUVINjF4bGdhdz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,181,api_QUV1bDFjdkFMdjdEZ1ZzUm1QVFB4dz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,181,api_Mmh0N2xUdmswZkZvT2JZclF0bG5QZz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,186,api_SWFxV0RCQzZaeE5HZW0rVWw1MFhVUT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,181,api_b0hRMGVKQllENjRJUlcvZjl6U0dLdz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,241,api_MGhHZk9nRlRlRVo2VlZJOENNdHc0Zz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,241,api_S3hrUE1lcXpMMmJPVTFBRERta0xTdz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,241,api_a1RGZjRlMm0rREp3SVdyeVFvay9XUT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,173,api_ZThBdWt4RDU4Sk5kZ20wR3dZaGRhQT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,186_LPS_RV,api_Zk8zcnE1QThNYWtKYmdXUlFQc05vUT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,181,api_ZlZpM2RSUysxL2lBaFZxR0JpUzAwQT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,228,api_cnFaOElMVGhrK2JEZ1BBV0VZSllpZz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,return9,online,0,1,0,1,0,0,0,0,0
,11,collegedunia,208,api_aEx6cWRqWHIrK2p2YnIxMmNVREpCZz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,186,api_aHVzT1lINkEyYmpYdDMrMVhpYWMvUT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,214,api_WXBMSFBGQitMbmVyK1ZYSjA0NHpRUT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,220,api_R0IwZS9oVERmbWowTlRMNzQybTR5Zz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,230,api_ZjZDZUc4Nmo0L0RSYjdGY3NSQ2tzQT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_anVOWmlmR3djNHlQU3FXS1RYYkx3UT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,259,api_Z0g0Mm41SXNiVVIzVUhVMmNZaURIQT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260_LPS,api_QVc4Y0dOMCtBUjJJZ3hzWGVlcDlQdz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_UjlQT0crTXdRaHlxeFQzaTRPSjQxUT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_VHRSM21yWGVpVnVLeXlKT3FtRXA4UT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,199,api_RE9nNVhiOVhpMXVsOTYvT0dmUXRMZz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_S1BLNGxxQ2N0TUZOT0pIZFNHQ2JHZz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,37,api_ckpUOXowdGkxRkxvVklmWEhJcmhnZz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,190,api_ZE02cTA4cGVxdTM3L3pPS09VYjcxZz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,259,api_M3BzeGxiR2VNRVdyOWxPQUF3T3BjZz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,259,api_V0RwcnBlajNWR3pXVmFiTjAvYk42dz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,186,api_UGJyRHVjaHN1Um9UMEo3RmVxUVR4QT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,220,api_dnNwT1JGSnJudmFzMkhseVYrcnltZz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,181,api_dXNac2hsd3NMdVhZRWNkbXJNRnNMUT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,181_RV,api_OTRYQW5JT09uUXo4RzVzTVAzSVZiQT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,259,api_aVZpcnFJZHRlZ0lzMUVwV2xVWWFXUT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,147,api_MjZHVEFiMWNwWkQ1NU9KZEpnV2FhUT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,259,api_aHQxanBNZkVuWkhoRGQzOHBsYmFNUT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_R2oyM3ZvSnZDOFpnSldDdkl1VkJ0QT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_Nnp2aFE2MGtlcHlUYmYwa25hVkppdz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_WFJvWElMRmI1RFVidVR0NC9mT0p5dz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_SU9DZlk1dFpZMDNXNWpDZG9oR0ttUT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_enVGNkJLc09wWEZQSWFUYURVSy9hQT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_WWNtTkdWYm9hOXg1VDVPcHltZWVWdz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_NldpN25sWjBKVy9mVmp5RVRIZFV0dz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_S294SVlnTVhoMlNvYTdvaGc3a1lxQT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_QlJKVHk1OE1YUGttK05LalZMT0V1QT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_L2ZkU1g4OGsyUUFQSms2aWJiZHpjUT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_b0dySHFhUTBxcTFTWEVhK3IzOUJDdz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_ZERXQ0ZVK0RoM2s5RzhNZVA3K2ZiQT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_eVVXV3pzVWdWWFdMLzBoRWpwa1k2UT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_TkRsNURtS2V4SG5CMkxCTGNLRTdFdz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_M3ZPVkN1dzlxOGpnR1laU09WYzhvZz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_VTgrZXZSNytIdzVQVmI0UGVKUllkdz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_U3Bjd3A5Rkk3ZFRUdjFMVkdOK1BQdz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_Qm82RnR5NHZsM2ZLYWpvenFlaTNOZz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_b1hCS0hjdXgvcHJaRVlkNFBLbG51Zz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_Mk9zdEdrRHF3QVh6NllQQjNIcVlqZz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_N2xTWU1xRksxUkd2ZTIvSFlGSC9VUT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_bVRpMTF2K3duZEhnT1g5Q3JVTC8vQT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,181,api_ckdxcElELy9QcGhXczdwY3pzK3dJUT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_TmExKytpTUcwRmVFRkpQVVhuMTZOZz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,147,api_S0VxVTNLZ2hyekRBdDM3WmdSQXNjUT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,147,api_WW1BNjhXd0EwSlJ0Z2ZBU0lGNWxsQT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,147,api_S1ZuMHFpcWtSbENkeVlOZEd3QlUzZz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,147,api_OTBuYWtSakVzdlRMTkgvSnEyeXQyQT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,147,api_YzdTZ3EzbVpCdG9uQmxLTVRGVmFSQT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,147,api_ZVdyZHBvN21CM2JBRE5mb3R2Uzhudz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,147,api_dU0ydFowcFNpSGY1TWsvZE9aWkJ6Zz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,147,api_L1pBWEkya1VFZ1VOVXpXUVlXbzd6dz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,147,api_dHhnT1BHOWhlb3pKdUN5NmMrV0RSdz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,147,api_WGltMXlwZDVZTkswMGQ3TTBlYlF4UT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,147,api_eUxJVGRuMFVQMTFueXltbEhIUTJvQT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,147,api_OGNEUmF1SWxOVDJuL3czOTJ6ZkNNQT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,147,api_NlQyVGIzdCtSc1ZZRGJwc0NYMVZqdz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,147,api_TStNcjA0M3pHTlhPNjBBSmpVZkRtdz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,279,api_139871223,0,1,0,1,0,0,0,0,0
,11,collegedunia,260,api_139933842,0,1,0,1,0,0,0,0,0
,11,collegedunia,181,api_139963946,0,1,0,1,0,0,0,0,0
,11,collegedunia,181,api_139966196,0,1,0,1,0,0,0,0,0
,11,collegedunia,186,api_139721498,0,1,0,1,0,0,0,0,0
,11,collegedunia,raft23,online,0,1,0,1,0,0,0,0,0
,11,collegedunia,181,api_140005136,0,1,0,1,0,0,0,0,0
,11,collegedunia,181,api_140020000,0,1,0,1,0,0,0,0,0
,11,collegedunia,228_RV,api_140024204,0,1,0,1,0,0,0,0,0
,11,collegedunia,181,api_140030692,0,1,0,1,0,0,0,0,0
,11,collegedunia,181,api_140039533,0,1,0,1,0,0,0,0,0
,11,collegedunia,214,api_140040042,0,1,0,1,0,0,0,0,0
,11,collegedunia,181,api_140045954,0,1,0,1,0,0,0,0,0
,11,collegedunia,181,api_140098391,0,1,0,1,0,0,0,0,0
,11,collegedunia,181,api_140110335,0,1,0,1,0,0,0,0,0
,11,collegedunia,208,api_RjV1RWI4K2hOeTM2S3hRRlptL1RQQT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,241,api_VkZDU0JMeGtMc3Iwb1ZOMW9Ba2o5UT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,181,api_aW1YQTRrSllhbXM1aXBUeDArc1NYUT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,181,api_eEh1UzBtaVNmYmRpS2Z6L3RFejhIZz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,181,api_V3V5VGVQbS9xMDBoSlhYYm9BVXlZdz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,211_LPS,api_SEJWRDBRb2xLQnVrWXhuTkhHbm1mdz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,198,api_OVJVV2ZScEdDRit5VWc1d2ovc3c1Zz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,230,api_VzZudUswRVQ5Qzd4Y0wvOWh0QThjdz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,225,api_Uk1Ec0ZRNENGUlRPREszaVB4dHlwQT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,230,api_VXVnZllJUU5iNHY4L0tEamJ4NzNndz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,199,api_QnRULyt3TUlqZXpCcTgwQWN3RVI1QT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,181,api_VEV1T2xIN0x1UFRvQlNlQ3AvUWtiQT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,241,api_YzZ2dFhVUUVnMS9rRDk5elgxeDlUQT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,199,api_cXIzbCtrY1NzNzRjTFd1cXVkZjhoQT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,230,api_[%analytics_id%],0,0,1,1,0,0,0,0,0
,11,collegedunia,186_LPS,api_NW9VTFMwdURraUxoOThyUS8vdUNjdz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,260,api_clNoTlB5d2pHWFBJSC9lRHdhRzEwQT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,230,api_bXA3T3RXajZ3dHowS0xIb0pRSHBxZz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,181,api_R1R1ZFloUzNMTlRzdmtRMkw2cTdhUT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,181,api_Z3RZRTZseXpJeVd6a2NBaDE0cWhNdz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,220,api_Wml4VE4wOCtQamw4QlN5WERFZ29QZz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,262,api_RE9PNVFINXRhZFFucnVlc2ZnRmd6UT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,186_RV,api_M0ZpalovbThHNTcwdnYvVlFrNzA2QT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,243,api_cllLbmtKMmNKa2tiVGZtTDJxbkNXUT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,220,api_bUE3aUp3OVh3NmYxS0kxNVgwaFBRZz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,220,api_ZW14Y2hYUklhZWplVVRZb0dkNkZEQT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,190,api_OEEwdHpUWkNYWUsrUnV1WFhOc1NJQT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,259,api_RmpmbWlvQUZNaEorb2VTN1QyNWFuZz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,181,api_SzdobzhMUG5VRWNFWERNa2xyWTMrUT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,260,api_Z3VWS2N1NEs5SjRqZkthZEFVZTJvdz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,260,api_ZnZ0TWhNVm5IL3BRK001R0lDQlBCdz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,230,api_dHMwWkJhRU9zTWhPSHV6dmx6OVNsZz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,260_LPS,api_cEo4TW1ZRHozMENBM2plZ0JNUjZJdz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,260,api_Nm8zS3JReDFHNnVNM0I1TUhHS09XUT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,260,api_RkVmUkFzem5xTzlTY2pJOEpwSXR4dz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,260,api_Mm5mUVA1bmNqMFFsejN6aTRnb2pvdz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,208,api_UVFOWnVPN2trVmtGOVpVenZoYXdiQT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,260,api_dlJWQ3laUjdSd3YzWkhmdGhQQ0dtZz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,260,api_Sjcrckk3anBHbloyTUFkRUxqc0ZjZz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,181,api_OERMWEJHRWc5WG02L3h0K2dTbHdndz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,260,api_bnV0c1hvTWdFeTl2RUtseWxUM29uZz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,39,api_V25GTCtaaGxjRFJQV2o5ZmdTZ3hkUT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,37,api_K3dMNE02VlM1enNnWVJmL0ZzTzArdz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,call9,online,0,0,1,1,0,0,0,0,0
,11,collegedunia,259,api_c1c5bFd3bTJoWjhvdkI0b2ptaDFJdz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,259,api_MEhPZTNXemNtSlprSld4SVU5NWN2Zz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,259,api_N1VNaTNydGMrWWx2Wmp3TmwxZDVQUT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,208_LPS,api_WXBXQVMrZ1JSL2hFVjZRNjFkMWVCUT09,0,0,1,1,0,0,0,0,0
,11,collegedunia,147,api_aUtjK2J0QmNyd0dRbEhEU1NsalU0Zz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,147,api_OGpHV0k5eldCdGdyTjd4MjNiVzlkZz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,147,api_MFZUNTZWUTEreEk0UmgwMklNRGNIdz09,0,0,1,1,0,0,0,0,0
,11,collegedunia,147,api_OU1NTmw4ZnJ1MDlEdUdvMEdleXVSQT09,0,0,1,1,0,0,0,0,0
