pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
75289,11,collegedunia,kamp21,online,6,0,0,6,6,0,0,0,0
75289,11,collegedunia,kamp22,online,3,0,1,4,3,0,0,0,0
75289,11,collegedunia,272,api_NGVxOURQRFQydCtoOE1rcTZPWmMxZz09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,268,api_TDljc0o4TWZyZ1RUK2t1RmhIWWEwQT09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,271,api_T1pwNzloOXVkMStLamdRQ0xwV1p4Zz09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,271,api_dGxRampQWDk5UFlNQU9RbGdkVDQwUT09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,271,api_QzlXOHpEalhZa0tVNENjSkg5bnpiZz09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,271,api_L1pVekxiYnFJYzlheDcyV0czaUNEZz09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,271,api_RFlDZFdHWnZoNk5Da0hJSXlhb2ZQQT09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,271,api_clpuSjhpMkdZL0x3emo0RWdMWU4yQT09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,271,api_WE1JMnRLYTBlTzJOQzBGSlU3MFBwUT09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,155,api_ZjNyTFoyOWlORkFQeEUvTG9rOWRuQT09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,155,api_N2d6R1hBNk05Y00ySW1NRjI1UXJkUT09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,155,api_SVoxdmt1aU5SV21DMTNXTFVadk14Zz09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,182,api_aTNkWGI3UVdzV1duRkxEdStSejJOQT09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,182,api_NTVKTXBlNDBOWHllYUt6c3BkNGNxdz09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,271,api_MVpUWjhkK0dRR0g0QStneGpmNGkvUT09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,182,api_SnhjTkhLQmRQOVpaaHJ4c1k5NWFxQT09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,268,api_RkxXWCtFL0h6amp1anhjL29UYkVSQT09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,268,api_S1JWc01xU1g0T3lmMjlrcFdJakwrdz09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,153,api_VWJ0TWFiWURZT2F0djZ6MGdRSDJiQT09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,153,api_SHF3MU04MWlSbSs0RXhoS3A2R1BFUT09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,153,api_ZzdYbTBIU1RvTUcxYTFTZFhDNUZLZz09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,268,api_Uk9LWmU3WThLQ2JTcGFlRXZ4c3VxQT09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,182,api_SmY5Tnp3V2pEcTVFWGh2eU5nLy9PUT09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,228,api_OStqQnZ5SEFNNlAxRHpFaGhiMVJHZz09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,200,api_N1FYLy9sUmt3N0kxaWlmYnZwSzZOUT09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,227,api_OUxnQTA1QjBsc2lqOUEySDhXbktqUT09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,263,api_N0wvMTBIQnZWN2lmbHZXR1BsSm94QT09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,155,api_RG1VK3RSMUh3QmliRVVNZFgrdUh5Zz09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,155,api_MGQ1ZWpIajI4NWdKNlBNeVYrYjdadz09,1,0,0,1,1,0,0,0,0
75289,11,collegedunia,271,api_Rmp2c0poVEEyTjdESmQ0ZjJiK3VuZz09,0,1,0,1,0,0,0,0,0
75289,11,collegedunia,267,api_U0RxcFVPK095QmxkK0E0WXVGOHhUQT09,0,1,0,1,0,0,0,0,0
75289,11,collegedunia,267,api_NnJBcCtwUmo3eVJrWUYzaFNSOEsydz09,0,1,0,1,0,0,0,0,0
75289,11,collegedunia,155,api_TXR1aWxscVFDQ2k5WTU2N3RobTJyZz09,0,1,0,1,0,0,0,0,0
75289,11,collegedunia,271,api_MTl3aVFrTzdMTzk4ME9uWklvMlhMZz09,0,1,0,1,0,0,0,0,0
75289,11,collegedunia,182,api_Vm1tQU1sejZNd0Q3QnFrRzdlRkliQT09,0,1,0,1,0,0,0,0,0
75289,11,collegedunia,182,api_SGJJMWN3aWxpMUZ3UkVxenp3SmR3dz09,0,1,0,1,0,0,0,0,0
75289,11,collegedunia,153,api_dU5SOU55MXMydE53UEFUU094QUlNQT09,0,1,0,1,0,0,0,0,0
75289,11,collegedunia,153,api_ZVZqODZzMHp5WExEblBwTTZOd3k4UT09,0,1,0,1,0,0,0,0,0
75289,11,collegedunia,216,api_aEYwc2p3cVQ0OE85QTZ3SlJhdFZndz09,0,1,0,1,0,0,0,0,0
75289,11,collegedunia,268,api_bE95b3ZMcWZmZWx4VktJeVlPUXRHZz09,0,1,0,1,0,0,0,0,0
75289,11,collegedunia,267,api_TDlWaWpuVmRSSEwrWDNxWmZ6M3JoZz09,0,1,0,1,0,0,0,0,0
75289,11,collegedunia,267,api_cFZEZHZOSG9kZkl3bmhpSHFLUm93QT09,0,1,0,1,0,0,0,0,0
75289,11,collegedunia,267,api_YjkrRGViSHorRHgvMzRpaktxWWMrQT09,0,1,0,1,0,0,0,0,0
75289,11,collegedunia,224_RV,api_WW55MjR5MExnWlk2OEl1TmNLM3VJUT09,0,1,0,1,0,0,0,0,0
75289,11,collegedunia,203_RV,api_czA4N0VWRjE2Wm9oNVJGMStLMGVmdz09,0,1,0,1,0,0,0,0,0
75289,11,collegedunia,182,api_My9mMkpBNkxQWWIrbVp2RThqTTZJZz09,0,1,0,1,0,0,0,0,0
75289,11,collegedunia,182,api_K2dVQk9veG9uVU42RGdBUnVwSml5Zz09,0,1,0,1,0,0,0,0,0
