pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
73446,11,collegedunia,45,API,37,14,3,54,37,0,0,0,6
73446,11,collegedunia,kamp22,online,10,4,0,14,10,0,0,0,0
73446,11,collegedunia,kamp21,online,9,2,1,12,9,0,0,0,3
73446,11,collegedunia,10_MPA,API,6,3,1,10,6,0,0,0,0
73446,11,collegedunia,45_LPS,API,5,2,0,7,5,0,0,0,0
73446,11,collegedunia,96,API,4,0,0,4,4,0,0,0,2
73446,11,collegedunia,232,api_Zk5vQ2lKcGdua0FUTGpTUnU1T2tkUT09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,232_RV,api_T2l0OGNNVHd2ellBMnhRV3kwMjlRdz09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,156,api_OW4rQ2doTVU0clRrNzQ4TjM5NmQ0dz09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,156,api_UjlEZ283S01mdzRsSXFVR2tiRHJCZz09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,156,api_MGVBSUU4NE11N3F1SGdHTnhvcFFQZz09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,156,api_cDhrTmhrc25jZTEyS0wzamtTZng2UT09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,156,api_dHhVdkFVUUt1dk1WSzVpQXpKbjhzQT09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,156,api_dWRxT0JHd3V4UkU3eDhyYnBndFBZQT09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,156,api_N2Q3Umppb2hqbFJoSXZ6bHl3bHRWZz09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,156,api_VytVQVFpbHozRk5GK0VDeEI2RVljZz09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,272,api_Q0o3M0IwejRiZy90ZGJtWXFHRWh5UT09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,272,api_R2VaKytvMjZIWVFSQkRmVmw3aHNRdz09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,271,api_Ulc5NHdybndwRGk1WkFPMWtlaVhoZz09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,272,api_VEdFSDk2RElUSnRIUTNibUUyWUhHUT09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,270,api_RkhpYm1lVXpjUWcwM0ppd0dBZUJpdz09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,270,api_eW4ycDJMNHhaTFpWSEl6OWJocW8xQT09,1,0,0,1,1,0,0,0,1
73446,11,collegedunia,271,api_cEs4WkYvQTM5L0pZOWdrYi9Qd25Hdz09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,252,api_QzdhR09DcHUxUjV0cWNlUTVVNDI0QT09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,272,api_dGVGak1sVFhGZmh5bUZjTkVSbTJ6dz09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,267,api_cnovZ0xqcFBzci9yM3B1UFVjd3FwUT09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,268,api_YnAwb2lvWVlhOFhrQ2JNSllHM0RkQT09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,267,api_RGFCclV2M3hGMWdrNVE3ckZQSWhvZz09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,267,api_eE5kcEcyMWpBWXEweCtvWTUvamZidz09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,271,api_dStETHIyMlJYeGdxbElOcmxDcHlWQT09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,182,api_b0RaSjc1NXR5aUl3c1dITGdDajN1Zz09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,182,api_d2NZdVJPczF5RVB3Y0hISXFnTThHUT09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,271,api_SXBwNkg0aGdKaE02aXlNZGFPVXpzZz09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,267,api_V3lQSzZiN3VCNFU4QnFtMVBVMkg5QT09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,252,api_T2gwdzc3c2VQK0RuUVk0VEI4YVJPZz09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,271,api_MWptVSs5U3NJcGZrL092M2xyN1lXUT09,1,0,0,1,1,0,0,0,0
73446,11,collegedunia,271,api_bzM2ZDF5Q0QybGg1UzJNVHRpUm9iZz09,1,0,0,1,1,0,0,0,0
