pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
72611,11,collegedunia,cll_117,online,9,0,0,9,9,0,0,0,0
72611,11,collegedunia,cll_175,online,5,0,0,5,5,0,0,0,0
72611,11,collegedunia,cll_126,online,4,0,0,4,4,0,0,0,0
72611,11,collegedunia,cll_123,online,3,1,0,4,3,0,0,0,0
72611,11,collegedunia,cll_167,online,3,0,0,3,3,0,0,0,0
72611,11,collegedunia,cll_168,online,3,0,0,3,3,0,0,0,0
72611,11,collegedunia,cll_121,online,2,0,0,2,2,0,0,0,0
72611,11,collegedunia,279,api_140143129,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,cll_102,online,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,228,api_cjlNM0c2SnR6ZEt6QTYxR1lrTUl1Zz09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,cll_126sms,online,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,cll_124,online,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,cll_103,online,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,cll_122,online,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,278_MPA,api_MEUvOTF5M2dYNFVnM1dmR0cvdUtzQT09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,271,api_cTNxZVlTSFM4R1VqN0RQeGIzaWJsQT09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,liveform_c,content,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,279,api_dEROTW45YlRBRnFwaUcwOXpUQWIyQT09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,100,api_UG5ZaG9McTMxVUs2YlhoaWQxS0lnUT09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,100,api_dzh2MHFWK3UvYWcwUTFSaURlTlRSQT09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,100_RV,api_cC90aElQVXg5QWJHVGErUi9kRjBzUT09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,263,api_WkliQW9OeEhSbE9XTUlFNU16a0U5UT09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,263_RV,api_TEFuODlmSFBER2FZMncxNFlTckM0Zz09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,cll126email,online,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,cll_100sms,online,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,278_MPA,api_bUYzdmZ2a29wWExtN2lQQ1pMRjRDQT09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,222,api_VzNVRmZMMDFPdEE5OVlpbEsyL2FNZz09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,263,api_WGlTTXpHU0lybEg2N3ZWWVpNS0c4dz09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,263,api_cmE3dmpGZlhUd29hSUswVWw0UkRNZz09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,263,api_dzZoMVdqSHNGMlVDUzROMVkxNFYyQT09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,223_LPS,api_WUFnODExWTk1YzNMbUZydFkzTkUvQT09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,263,api_cnRYTFdocE10VGR3Z2pRY3p2TzJJdz09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,228,api_UWMyWHRaZFF1M1BKelBaNDhTS0FtUT09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,263,api_VElKODZVNkNhNUZTNnliNVNDcVJ2Zz09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,263,api_QXNEVFZML3lSc2IxeERVNVMrMjdKdz09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,263,api_Z0hBOVF0ZWJFcWZnU2o0WVlubU0rUT09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,263_RV,api_MUdSU3NTNUEzN1IvNGRjWjFrWmx4UT09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,263,api_ODJLaEc0c1lZZUo4dmxFNWdGQldlQT09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,220_LPS_RV,api_K25FakVkT21FUmhXN1ZLYmNrWWFYUT09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,223,api_aTR2WGVudHZuK3RJOW95ZHJBd3hhQT09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,228_RV,api_aUJ1OXlndnBsa0QyWHJoaXJUQS9iZz09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,263,api_TlFPRzVEeU1qZ0l2ZTJDNkE4SU5IUT09,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,56_LPS,API,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,cll_114,online,1,0,0,1,1,0,0,0,0
72611,11,collegedunia,232_RV,api_140138269,0,1,0,1,0,0,0,0,0
72611,11,collegedunia,183,api_140146388,0,1,0,1,0,0,0,0,0
72611,11,collegedunia,183,api_140146378,0,1,0,1,0,0,0,0,0
72611,11,collegedunia,183,api_140146383,0,1,0,1,0,0,0,0,0
72611,11,collegedunia,278_MPA,api_bzk3eVJmRGREZWlQNkRHMWlxUGhKUT09,0,1,0,1,0,0,0,0,0
72611,11,collegedunia,230_RV,api_MnlVcVhrQjlKZHUrVGE1L0VKd25CZz09,0,1,0,1,0,0,0,0,0
72611,11,collegedunia,279,api_dnV4QXFaUnBnYldyMTQwWjVSUURMQT09,0,1,0,1,0,0,0,0,0
72611,11,collegedunia,278_MPA,api_dzkveE5QTXhTL0NyK2F2dUROeTZLdz09,0,1,0,1,0,0,0,0,0
72611,11,collegedunia,279,api_ZGtieFZkNFdEQW5Wdmw5SW9Say9rdz09,0,1,0,1,0,0,0,0,0
72611,11,collegedunia,155,api_TXR1aWxscVFDQ2k5WTU2N3RobTJyZz09,0,1,0,1,0,0,0,0,0
72611,11,collegedunia,182,api_TWR0QzZFS1k1MktzRUlmN21MSzlEdz09,0,1,0,1,0,0,0,0,0
72611,11,collegedunia,228,api_aWVRcGtpOUZnNSt3aGx4V2o2c1pMdz09,0,1,0,1,0,0,0,0,0
72611,11,collegedunia,153,api_WVpxUFNqR0had0ZuMmFmSUYvT0NTZz09,0,1,0,1,0,0,0,0,0
72611,11,collegedunia,228,api_KzZqekVrSGFveUltVXFnQXA2Sloxdz09,0,1,0,1,0,0,0,0,0
72611,11,collegedunia,222,api_c1VFYmw5NHdPOExkYk5XRGtuSVhBdz09,0,1,0,1,0,0,0,0,0
72611,11,collegedunia,263,api_R3lXaHRQVWFYMDMveEdhNlJSN3gydz09,0,1,0,1,0,0,0,0,0
72611,11,collegedunia,277,api_RS9BNks5ejU0dktnejZzS3RneVZFdz09,0,1,0,1,0,0,0,0,0
