pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
73165,11,collegedunia,209,api_Rmt2dUpFd2FPZktvZnpPTkZDbkliZz09,1,0,0,1,1,0,0,0,0
73165,11,collegedunia,193,api_OVJVV2ZScEdDRit5VWc1d2ovc3c1Zz09,1,0,0,1,1,0,0,0,0
73165,11,collegedunia,227,api_K3orTGE0TTZ2MGlMOXN2THFiM0cyZz09,1,0,0,1,1,0,0,0,0
73165,11,collegedunia,227_RV,api_OFZUc2JoSHc2UUJzNkdtdFBpa08rZz09,1,0,0,1,1,0,0,0,0
73165,11,collegedunia,203,api_SytrcXdPV0RkNTBGRzVlRXlOcjBDUT09,1,0,0,1,1,0,0,0,0
73165,11,collegedunia,259,api_cnFaOElMVGhrK2JEZ1BBV0VZSllpZz09,1,0,0,1,1,0,0,0,0
73165,11,collegedunia,259,api_dnVmTmFzOTgzMUxVekNNZEFOdVV5QT09,1,0,0,1,1,0,0,0,0
73165,11,collegedunia,192,api_UVRpcC8vMnFxQ3ROUkFiM2lKZlRQUT09,1,0,0,1,1,0,0,0,0
73165,11,collegedunia,192,api_dVIrK1hGbGZVZTNkbG8vK1pLaVJJdz09,1,0,0,1,1,0,0,0,0
73165,11,collegedunia,227,api_TXFoWE45ZkVYVHBmR1l3RXZQUFp0QT09,1,0,0,1,1,0,0,0,0
73165,11,collegedunia,279,api_VDBMajlNTDk3QXQzbkxScEl4UHladz09,0,1,0,1,0,0,0,0,0
73165,11,collegedunia,279,api_cnVadWtFRGltTEhSeVRNblBiMG1Kdz09,0,1,0,1,0,0,0,0,0
73165,11,collegedunia,279,api_bEVRUjJQdStPV2VoMG8xa3VlaWRaQT09,0,1,0,1,0,0,0,0,0
73165,11,collegedunia,192,api_emdkYWdOZG9oME8ybWFrQ1dROUtBdz09,0,1,0,1,0,0,0,0,0
73165,11,collegedunia,221,api_139339391,0,0,1,1,0,0,0,0,0
73165,11,collegedunia,192_RV,api_ZTNCaUFpdjRYdmlsNXU5WUNXRkNnQT09,0,0,1,1,0,0,0,0,0
73165,11,collegedunia,209_RV,api_Yi9MbzI0aTRQNm9LSWRtcUg0K2ZyQT09,0,0,1,1,0,0,0,0,0
73165,11,collegedunia,209,api_VS9qZUJHMDZxamtOREx3RkRuTHdvQT09,0,0,1,1,0,0,0,0,0
73165,11,collegedunia,147,api_SmZ4Sm5XSEFDMXNjc0xUbU5VOE9KUT09,0,0,1,1,0,0,0,0,0
73165,11,collegedunia,147,api_TjdVcFA4Znd4YVJ6VWthU0VIQkJjdz09,0,0,1,1,0,0,0,0,0
73165,11,collegedunia,147,api_MHc4ald6ditUWHNwb2FTZG5FQVlGQT09,0,0,1,1,0,0,0,0,0
73165,11,collegedunia,147,api_UTRKUjBOaXo2NjhSZGRHSG84OGxoQT09,0,0,1,1,0,0,0,0,0
73165,11,collegedunia,147,api_VEJaUVptdW5WOTdScWF5MzE0Z3JnQT09,0,0,1,1,0,0,0,0,0
73165,11,collegedunia,147,api_NmpkS2RraUdzSW5UdFMwRjJac2o4Zz09,0,0,1,1,0,0,0,0,0
73165,11,collegedunia,260,api_SDQ2eUpOYWR2M0crSWpDaXlaNEc3dz09,0,0,1,1,0,0,0,0,0
73165,11,collegedunia,147,api_WnlKRXRvdW4wY1FyL0FVenJ0bE0vZz09,0,0,1,1,0,0,0,0,0
73165,11,collegedunia,147,api_RGQ5NUs4bzdjZDBhRmJqcTRhaU9zUT09,0,0,1,1,0,0,0,0,0
