pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
73041,11,collegedunia,156,api_2025_140066849,1,0,0,1,1,0,0,0,1
73041,11,collegedunia,156,api_2025_140069628,1,0,0,1,1,0,0,0,1
73041,11,collegedunia,221,api_2025_cG5mVVFoUjVhZTdxam5JOUQ1WngzQT09,1,0,0,1,1,0,0,0,0
73041,11,collegedunia,227,api_2025_bzV3TWJYSmNJQ2lwN280Rjh6UXlMQT09,1,0,0,1,1,0,0,0,0
73041,11,collegedunia,252,api_2025_aUJVbDQ4SU56WUZUb3VCamFab2hUZz09,1,0,0,1,1,0,0,0,0
73041,11,collegedunia,243,api_2025_V1FSZ3NjVkwwckdpbExjanBGKzdPZz09,1,0,0,1,1,0,0,0,1
73041,11,collegedunia,220,api_2025_140008380,1,0,0,1,1,0,0,0,0
73041,11,collegedunia,227,api_2025_S3l0YUlSd3NwWFBqZDdiMUZTdlRUUT09,0,1,0,1,0,0,0,0,0
73041,11,collegedunia,182,api_2025_N2dCMTB5QjV1ckdvVk9HMkt4MGlrUT09,0,1,0,1,0,0,0,0,0
73041,11,collegedunia,252,api_2025_elA2OG4vZU1yNUxGTnJqcWVEU3lwUT09,0,1,0,1,0,0,0,0,0
73041,11,collegedunia,279_LPS,api_2025_YlFRNG12NXBlSE5nSkZQOFhQK2xWdz09,0,1,0,1,0,0,0,0,0
73041,11,collegedunia,200,api_2025_QTU4VE9LNjBvV3B5dm1CRXNFTzVYZz09,0,1,0,1,0,0,0,0,0
73041,11,collegedunia,200,api_2025_aE5STVZocExBSVZrMU14Mnd5eWNQZz09,0,1,0,1,0,0,0,0,0
73041,11,collegedunia,203,api_2025_bko3NEhxVG9vUm8yOXNqeHNPV3Zqdz09,0,1,0,1,0,0,0,0,0
73041,11,collegedunia,279,api_2025_140048185,0,1,0,1,0,0,0,0,0
73041,11,collegedunia,156,api_2025_140065999,0,1,0,1,0,0,0,0,0
73041,11,collegedunia,182,api_2025_UGErd1NlSHh6SjgvbjhuY0dGbXVvQT09,0,0,1,1,0,0,0,0,0
73041,11,collegedunia,182,api_2025_WEhaRC9BbWV1bDUxNWEwS3ptYVZQQT09,0,0,1,1,0,0,0,0,0
73041,11,collegedunia,182,api_2025_dzhxaUNCOExZK3Q4NDE3Wk1DZXk5UT09,0,0,1,1,0,0,0,0,0
73041,11,collegedunia,182,api_2025_S2NVcGQvb2VCMGZtN1JuK21qNVR4QT09,0,0,1,1,0,0,0,0,0
73041,11,collegedunia,216,api_2025_VHZPcEFpcDFJMGlLN1dqa3hKaXFEZz09,0,0,1,1,0,0,0,0,0
73041,11,collegedunia,262,api_2025_bDJQRXdOaE85K0Y2T0FmNjJxZG9sQT09,0,0,1,1,0,0,0,0,0
73041,11,collegedunia,271,api_2025_cEhHaUdEenB1L2RXYzJ2Y2Uxc1luZz09,0,0,1,1,0,0,0,0,0
73041,11,collegedunia,203_RV,api_2025_dTlhVG9oMElmT29jSlFwYkRVUkJ4UT09,0,0,1,1,0,0,0,0,0
73041,11,collegedunia,kamp21,online,0,0,1,1,0,0,0,0,0
73041,11,collegedunia,155,api_2025_ZTYzUG52eStwWnFPYkVYUUZRcUQ3UT09,0,0,1,1,0,0,0,0,0
73041,11,collegedunia,156,api_2025_140069254,0,0,1,1,0,0,0,0,0
73041,11,collegedunia,156,api_2025_140122307,0,0,1,1,0,0,0,0,0
