pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
75032,11,collegedunia,277,api_UURxNFRqUVNZeXpwUzVDVWpHUkxsdz09,1,0,0,1,1,0,0,0,0
75032,11,collegedunia,221,api_eHpHS01ndVVRVS9WeEdjbnFYSHp6Zz09,1,0,0,1,1,0,0,0,0
75032,11,collegedunia,266,api_S3RlRTZaNWpGODJQSlZkdnhxRmVWQT09,1,0,0,1,1,0,0,0,0
75032,11,collegedunia,221_RV,api_MXdsZDhsRElaekkrS3Q1ODZFQXd5QT09,1,0,0,1,1,0,0,0,0
75032,11,collegedunia,217,api_Ymk4TGJrOENTTWNER3A4K2RlV0FZZz09,1,0,0,1,1,0,0,0,0
75032,11,collegedunia,224,api_THRpT2thRVhtamdZbGIwRHg2NXNDZz09,1,0,0,1,1,0,0,0,0
75032,11,collegedunia,279,api_Rjh3eHRIa012N0xKQnExMHRtRU5MQT09,1,0,0,1,1,0,0,0,0
75032,11,collegedunia,266,api_MEFHdU5odFdjeUlJNGh0TlJlTGhCUT09,1,0,0,1,1,0,0,0,0
75032,11,collegedunia,228_RV,api_cDRYT0svbjhqdCtKSFAzdWZBVUhrdz09,1,0,0,1,1,0,0,0,0
75032,11,collegedunia,279,api_amZhM0IwNG83d3ZXQmZycDI5WjV2dz09,1,0,0,1,1,0,0,0,0
75032,11,collegedunia,279,api_Z3FvUS8zaFBtU1VHdHVpV1U0SGJVdz09,1,0,0,1,1,0,0,0,0
75032,11,collegedunia,279,api_K0VkRDRkSnJ3VmRIVzBqVmpQbXU4Zz09,1,0,0,1,1,0,0,0,0
75032,11,collegedunia,279,api_b1krMlQ0WFYxNGI5ZS8vMHc0S1ppQT09,0,1,0,1,0,0,0,0,0
75032,11,collegedunia,221,api_WFdzQ1pPMnhISWZyaEhEZ3dLcTZaZz09,0,1,0,1,0,0,0,0,0
75032,11,collegedunia,209,api_dzBiU3NKYzhvWjRBU0loS25LQXZQUT09,0,1,0,1,0,0,0,0,0
75032,11,collegedunia,279,api_T1BXb0xqS0s4aXBJM1ZYS0RZbFcyUT09,0,1,0,1,0,0,0,0,0
75032,11,collegedunia,221,api_UURJb3RyN2tvdlE1K0F0WnpSY1hPdz09,0,1,0,1,0,0,0,0,0
75032,11,collegedunia,203,api_emxDQUppdkRoVGRSV2ZMT2V6SmgwUT09,0,1,0,1,0,0,0,0,0
75032,11,collegedunia,221,api_OEQzWDZvM1JNMlJTKzE1TVkzNVFIdz09,0,1,0,1,0,0,0,0,0
75032,11,collegedunia,221,api_RllsQUY1WGxHZ0dJQ0ZZMzAxdzVSUT09,0,1,0,1,0,0,0,0,0
75032,11,collegedunia,221,api_WVBSbC8vRTlsNzNqMzgwZ0FnWWVjdz09,0,1,0,1,0,0,0,0,0
75032,11,collegedunia,221,api_SkozYkZudjhkM1JBSFJSb1VvdXNrZz09,0,1,0,1,0,0,0,0,0
75032,11,collegedunia,279,api_WFZ3c0Q0MnJNdldlYnBacHRudnYvZz09,0,0,1,1,0,0,0,0,0
75032,11,collegedunia,221,api_bEREcVh1cXFZd1p5d0ZQQytzS0V3dz09,0,0,1,1,0,0,0,0,0
75032,11,collegedunia,279,api_c1ljSHNUV24rcm4vUkZZVC8yY2R0UT09,0,0,1,1,0,0,0,0,0
