pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
72145,11,collegedunia,cll100,online,1,0,0,1,1,0,0,0,0
72145,11,collegedunia,kamp23,c2ddb036f26f11436356d93d8b19e3f8,1,0,0,1,1,0,0,0,1
72145,11,collegedunia,267,api_139288729,1,0,0,1,1,0,0,0,0
72145,11,collegedunia,253,api_140022073,1,0,0,1,1,0,0,0,0
72145,11,collegedunia,220,api_140008380,1,0,0,1,1,0,0,0,0
72145,11,collegedunia,223,api_140032245,1,0,0,1,1,0,0,0,0
72145,11,collegedunia,230_LPS_RV,api_140040957,1,0,0,1,1,0,0,0,0
72145,11,collegedunia,181,api_139996226,1,0,0,1,1,0,0,0,0
72145,11,collegedunia,156,api_140069991,1,0,0,1,1,0,0,0,0
72145,11,collegedunia,156,api_140069831,1,0,0,1,1,0,0,0,0
