pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
,11,collegedunia,info22,online,2,0,0,2,2,0,0,0,0
,11,collegedunia,cll_165,Online,2,0,0,2,2,0,0,0,1
,11,collegedunia,232,api_140136255,1,0,0,1,1,0,0,0,0
,11,collegedunia,222,api_140146678,1,0,0,1,1,0,0,0,0
,11,collegedunia,222,api_140146679,1,0,0,1,1,0,0,0,0
,11,collegedunia,156,api_bHlsZ1RuSkRxSkVxc0VYZGJFUmdzQT09,1,0,0,1,1,0,0,0,1
,11,collegedunia,156,api_VDFWaDlqNEZ2MTQxY1BMVnVoSkFnQT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,182,api_UmxtNTJzU0hDY3hpK2pQb3VZd1htUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,182,api_MHFudzZHcDBSd1V4OTdZUE0ybGNqdz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,182,api_Ny9XQXc3d1pJeFhFY0RvV2pQallOZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,182,api_L0lUYWQ5eWJqQi9QQmF1YTllOWxCZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,182,api_N2JJK3MyWk9BbjgrYi9USDRXdDNRUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,216,api_Tm9kRWR0RlVTMEF3aUhjbGR2WEtzdz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,182,api_eTVmckVWNGZhU0lPbDlUN1dzVFd4QT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,182,api_V0F1dENFQXZFekJETnM1cmEyWlRNQT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,268,api_Mm53R2ZtditkREpzS2d0VmdtRXQvQT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,267,api_eWZDNkFCK1Z5WnBsT1grVlJDdUg0Zz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,270,api_RTFFd3I5eUVWeDcvQnZQWUxrQ2ptQT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,272,api_WEQ5UkFrS2tobjdQTDhkQkNIUGxDZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,156,api_azNqOTdzYWVLQU8yT1VkcFlnRmtwdz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,api_UjdnMVc2MjcrcGE5ampNU3lwL3ZiQT09,1,0,0,1,1,0,0,0,1
,11,collegedunia,156,api_NUtvV0tqd2FCMUFvSDY5SlJDRlhmdz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,230_RV,api_QTFhd2llVU82a3JoNkZhUDZIRXljQT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,156,api_MVBKc2xRT2hiZSt6SGh4R3FobmNXZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,api_ZHJTT0VId2dGYjlyQkFBSW5KeDdDUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,268,api_RVVZb3VvVmtuTEw3L2E5eVZoazJUZz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,182,api_Tld6WS9QQTh6ZmVvK0UzdGVoejVGQT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,182,api_NWwwRyt6T3pGR0xWZGpYSmpzRGhRUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,182,api_TVR3WHhTdlVpYTgyNXFvbVJ3cVV6dz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,cll100,Online,1,0,0,1,1,0,0,0,0
,11,collegedunia,232,api_K3pXMldjZXFhWXFDQm9rK1AyOGZNUT09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,api_UEx3YUxvMVJSR0xwK3hwYkNMdEJmdz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,271,api_N3RoSnNuMWdoN2JQdHpZZS9Od01mdz09,1,0,0,1,1,0,0,0,0
,11,collegedunia,252,api_QnRUS0JoVkRaVUZZdHEydmpZdjduUT09,1,0,0,1,1,0,0,0,0
