pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
73742,11,collegedunia,268,api_d2I0MFRrc2Q4MXZDc3JpTGVyWDR1dz09,1,0,0,1,1,0,0,0,0
73742,11,collegedunia,156,api_ZGhFNWRwcU5KZVIzTVdVZkM1Z3Q1QT09,1,0,0,1,1,0,0,0,0
73742,11,collegedunia,156,api_Q1I2RTd6a2F4L0hJU3c5eEVub0dCdz09,1,0,0,1,1,0,0,0,0
73742,11,collegedunia,156,api_WVUyTVRjTUFiRExFd1JHRHlPTFMwUT09,1,0,0,1,1,0,0,0,0
73742,11,collegedunia,156,api_VmJQTUovNWNwbC9KTVZMeE5ESmZZZz09,1,0,0,1,1,0,0,0,1
73742,11,collegedunia,156,api_NnluUkM4bVhMMk9Sb0IwS1lVMnI5dz09,1,0,0,1,1,0,0,0,0
73742,11,collegedunia,156,api_dFhlV09Zb2xWaGgrbVNTUEpnRXZYUT09,1,0,0,1,1,0,0,0,0
73742,11,collegedunia,156,api_WVB6Wm9TeGRkZWVRcDFXWmIrUUU0dz09,1,0,0,1,1,0,0,0,0
73742,11,collegedunia,156,api_TTgxbldoVlYxbFl6bVVhWmlaMTNOZz09,1,0,0,1,1,0,0,0,0
73742,11,collegedunia,156,api_R2V2WjEraUZDLzR4MEZjZEJSOEJEUT09,1,0,0,1,1,0,0,0,0
73742,11,collegedunia,156,api_cEFaUWZidnhldStwMDh4SjIxVnlJZz09,1,0,0,1,1,0,0,0,1
73742,11,collegedunia,182,api_WEFsMkgvN256bzk4ZGg4TVpJeitVQT09,1,0,0,1,1,0,0,0,0
73742,11,collegedunia,182,api_bEMvNUhpVDhYeFoyRFc0a2IrYXhrZz09,1,0,0,1,1,0,0,0,0
73742,11,collegedunia,253,api_K216OGNiQVp4T2ttZU5FZyttSGc5dz09,1,0,0,1,1,0,0,0,0
73742,11,collegedunia,182,api_bTdyc0Y1dW1aRzFCc1RQdytTTlNSQT09,1,0,0,1,1,0,0,0,0
73742,11,collegedunia,271,api_cWhpaldwQ0wyNW8vVmhpU3ltbEtZUT09,1,0,0,1,1,0,0,0,0
73742,11,collegedunia,271,api_ODlETGtaK2RWcGlSZ0dadlNuamVWUT09,1,0,0,1,1,0,0,0,1
73742,11,collegedunia,271,api_c3FFYUFSbzlTQUJiUWdyYlFMVjBKQT09,1,0,0,1,1,0,0,0,0
73742,11,collegedunia,153,api_QmNDdEVoSTJCSjUvWXlER2JENzR5UT09,1,0,0,1,1,0,0,0,0
73742,11,collegedunia,cll,online,1,0,0,1,1,0,0,0,1
73742,11,collegedunia,151,api_UVVKc3FVVktLWEljajU2S2FRVjVIQT09,1,0,0,1,1,0,0,0,0
73742,11,collegedunia,269,api_Mnhtd3E5TGxac0duQnVCYS9hSUhTUT09,1,0,0,1,1,0,0,0,0
73742,11,collegedunia,269,api_N3BaRFJ6ZVUwY1RiWjRhbWlPbms0Zz09,1,0,0,1,1,0,0,0,0
73742,11,collegedunia,201_RV,api_ZjBQa2hJenJ2dXR5NWVoU3diSUZ5dz09,1,0,0,1,1,0,0,0,0
73742,11,collegedunia,182,api_bjNpZVZpUFpwano4UGJuWnNQVkU0Zz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,252,api_WmN1UlFPaGF6TzdxOHJBc3pNV3g2UT09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,271,api_cHlvb0N5czNUSEwwVWlCa1B6MmY4UT09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,227_RV,api_L2pRZDNhN0FFSmg3OTF6SkFxKy9Ndz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,182,api_NGhuUkp4S29jbkc5cEFOVkYrWnBaZz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,182,api_amhFYVRuVEtVZUpoTUhJMG4xYU01Zz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,181,api_UjI5Vm1sSGRmb3ZpYmJUdWQxVnFyQT09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,182,api_ZGQ5VVo2dzZaMGFJUTViOVU5Wkg0QT09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,227,api_c2R0b2JkU2tUcWJWNFJwZmlmV0psZz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,271,api_UEZSMTJCR3lIa1ZLSzAyOXdwR1VZZz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,271,api_RHArZUliR1dYd3Z3QktoZWgwdFZEdz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,227_RV,api_L1JNbFZjR3AvR3BibXRlMllvSjd2UT09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,155,api_c0ZqYVJJT3JxTm1FZm5BekdsYnpPdz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,271,api_Nm55RUxncFBLTmFCTUlKQ0Rpa0JUZz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,271,api_RDRaaW9yL05CeGxJT3hIQk83WTV6Zz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,271,api_YlRTSUw1Wm9lOVhEMlE1bGs0TVpVZz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,271,api_ODdGTVovZ01keHh0NzFhSy9JNkxDUT09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,271,api_K2Rob09jbzgrY3RIYW1PNmFlblVkdz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,270,api_N0VNV3BETmVjSTVKT3ZSUUtwcG0xUT09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,227,api_R2s1Q0pxVTdReHM4M1VjS292ZFlWUT09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,153,api_ZjJwUENsRkoxL3FyK1JRUG52Y29sZz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,249,api_WFdHMDZGVE1PTklHKzNjOGw0S0RIUT09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,271,api_V1FtSWx3cmVjRlFSRVhiQlRqdEdnZz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,271,api_VTA0cXFyQWlSZk1Ubmd1elh4SS9TZz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,271,api_QUtJUWxDdDNKdWxlMzVQaktWSE56QT09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,271,api_NFF3K21XM25sTHI2YlAwK01PQnl5UT09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,271,api_dXl0a29ON3N2RTJJY2NEY3QxdUVGdz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,271,api_LzZ2M2VvaUxUbTZwRFByUU1McVVaZz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,271,api_dUJHSFJTYlhkQm8yYnhxR2VETGlkdz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,269,api_akJhUGp3REZZMkpiMmRvNzJLYUJVQT09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,200_RV,api_OVZ3d2JwOFhtSTRDQ0NEVGU0RnV6UT09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,182,api_NHpCR25maFo1d3B6YWxsdUpXQXhZUT09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,269,api_Y0lIamgydG9UaTh2d0lFeWVKM3VDUT09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,200_RV,api_QUVxMjNBVHdCazZqUDI1eE0yWk81Zz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,201,api_dzBNcUM2ck1GUHJEd3lQYnpXN2RVdz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,155,api_ZkNyOTNIckJGTnZBN01ZSk5ZVDVEdz09,0,1,0,1,0,0,0,0,0
73742,11,collegedunia,156,api_clNJVVVHVmI2RHI3bnc1THUvcnRkUT09,0,0,1,1,0,0,0,0,0
73742,11,collegedunia,182,api_eGl6eWx6NlZ6dGNHUnBVY3c0cFpNUT09,0,0,1,1,0,0,0,0,0
73742,11,collegedunia,271_MPA,api_QkxGRzJpdXgwSkZQbFR0YmhTMnM5UT09,0,0,1,1,0,0,0,0,0
73742,11,collegedunia,227_RV,api_YllSRjdkSjdpZEQ2TnN3SjJmOE9FUT09,0,0,1,1,0,0,0,0,0
73742,11,collegedunia,182,api_bW5Gb0RQQjhBWVdoeVFCVDVzNnNYQT09,0,0,1,1,0,0,0,0,0
73742,11,collegedunia,182,api_RHlhMGhNbzc4S1lRM2xNNXRhNENWdz09,0,0,1,1,0,0,0,0,0
73742,11,collegedunia,182,api_dkVVY2FxOGRmRlVDelZtcnp5dGVKUT09,0,0,1,1,0,0,0,0,0
73742,11,collegedunia,155,api_UzExVmFmYm1tMFZIc2ZvUWRqaHo5QT09,0,0,1,1,0,0,0,0,0
