pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
76915,11,collegedunia,262,api_Ymo5dVNTeXMrdjFXbWtsVEhPMVJvdz09,1,0,0,1,0,1,0,0,0
76915,11,collegedunia,257,api_L2pCSmlSc0U1bW9YVkZncTlmSmZmUT09,1,0,0,1,1,0,0,0,0
76915,11,collegedunia,257,api_SDRKM0NDNDJqZWM0MkhZeVBBK0tCUT09,1,0,0,1,1,0,0,0,0
76915,11,collegedunia,257,api_aVJqQ2c2dHA0emRNNjR4OTB6eXJSQT09,1,0,0,1,1,0,0,0,0
76915,11,collegedunia,257,api_QVpjcmRQRy8vU1VHOWF5VGp4ZGhnQT09,1,0,0,1,1,0,0,0,0
76915,11,collegedunia,221,api_NWErY2o3dCs4OUZDWEEvb1hBS3dBdz09,1,0,0,1,1,0,0,0,1
76915,11,collegedunia,216,api_Zk9OYTB2YmtocllhNm9kam5CcDF6dz09,1,0,0,1,1,0,0,0,0
76915,11,collegedunia,257,api_WTVwMCtVUkM1SHRNeER5RnZQZHRhdz09,1,0,0,1,1,0,0,0,0
76915,11,collegedunia,190,api_YW5IcVB4VFFyMHh5bk0yYStOTEI5Zz09,1,0,0,1,1,0,0,0,0
76915,11,collegedunia,266,api_MDlxa0xYTTRWNkthWmRVWFgvbTRxQT09,1,0,0,1,1,0,0,0,0
76915,11,collegedunia,257,api_aDIzdUViKzhtR1NDNHdKNlBIWHhQQT09,1,0,0,1,1,0,0,0,0
76915,11,collegedunia,264,api_YlQ2YWJFTUhTb1UvcjY2OFArUGVNQT09,1,0,0,1,1,0,0,0,0
76915,11,collegedunia,262,api_NmNxNFB1M1pOUmdLZnpLQUFGMUVudz09,1,0,0,1,1,0,0,0,0
76915,11,collegedunia,206_RV,api_bi9EaDU5VzlCdXZ0WDZ3QXIzQTJLQT09,1,0,0,1,1,0,0,0,0
76915,11,collegedunia,206,api_YU1BVkl4MHRlMG1QbXNaVmhRVlc2QT09,1,0,0,1,1,0,0,0,0
76915,11,collegedunia,262,api_Y1RRSG9vMmFuVWhGekx5aE5WM2crZz09,1,0,0,1,1,0,0,0,0
76915,11,collegedunia,279,api_Nmtib01ybXZzaUkycUhLTzlMSGZwZz09,1,0,0,1,1,0,0,0,0
76915,11,collegedunia,279,api_cGg4STJTaDdFcVU5emNmWDhLZUhWZz09,0,1,0,1,0,0,0,0,0
76915,11,collegedunia,279,api_elA4cHNVeWJaUmtCOGdWWVozeVQ1Zz09,0,1,0,1,0,0,0,0,0
76915,11,collegedunia,221,api_dFkvL1VkYWxMdnFZY3ZWWGQzbVJ5Zz09,0,1,0,1,0,0,0,0,0
76915,11,collegedunia,203,api_UGM2LzNJZGRkYSs5M0t3cmI4dkFYUT09,0,1,0,1,0,0,0,0,0
76915,11,collegedunia,279,api_dXQvQjRKNUFWMlYyUFVZUmFJVC9LQT09,0,1,0,1,0,0,0,0,0
