pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
75749,11,collegedunia,kamp21,online,25,0,0,25,25,0,0,0,0
75749,11,collegedunia,kamp22,online,20,0,0,20,20,0,0,0,0
75749,11,collegedunia,CLL_100,online,8,0,0,8,8,0,0,0,0
75749,11,collegedunia,278_RV,api_NG9Ga0tpeGVzeS9zTzcrejNkQ2hJQT09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,278_RV,api_WklhU2QycU5hRlRkc2c5aisrVFZidz09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,264,api_bFg2bzNzQU9HODJsbmZCTzhNb0VpQT09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,264,api_OGZQTy8wOUllT0FaaldGMGF1UEFyZz09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,264,api_Y0RXbnFHK3VxY1hNVk1yZHVRM05nZz09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,279,api_K1AvSWJHeU5NRTloR1ptNjBibWs1Zz09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,223,api_STN4TjA2Zmx4TzEvUDZqNzdXQThTUT09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,221_RV,api_T3dyQU5BdVZQWGdjV0RmRDhMWVJ5UT09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,221,api_bmpBRWZ4RU04YU9WZGdxUHRWc21kQT09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,220,api_V2toVUsrNkkvV1FFRDdHc3NqS2dxQT09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,264,api_VWtuc3VMNk00cmE5eTVTdFpjQ2Vodz09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,223_LPS_RV,api_YmxWalpETU9qQWxWTm5LQzdIeHU1Zz09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,279,api_cVk1OFFSa3lUaXM2NnczelgxZVFwZz09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,216,api_dmhiNElBWFo3Uk9lMHZYTnhmMWF5Zz09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,279,api_NVc2Wm82dzkvc3VlMGM2YzVBd1JrZz09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,278_LPS_RV,api_MU5lSWxMM28yendzUjg1WENHc2ZqUT09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,266,api_clBRY081RDRaTlZvVlR5Tk1salRiQT09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,266,api_R0sxd25lcW9oWjN6TVZIaVl3c1RLZz09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,214_LPS,api_TmZWQ0UxdVgyOE5WUWxGaStCeFkxZz09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,214,api_V2hGYzdkSFNlYkhzMWFkaDA4ak9KQT09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,221,api_ZTJIRnZzakVJaXZ2RzMvWG1ZUXFBZz09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,208_MPA,api_ZjM4RzVaVnZ0TURCMlBYVkV3bkRyZz09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,266,api_enFyVXhwa25ZZFk5YXNBKzBxQUR1dz09,1,0,0,1,1,0,0,0,0
75749,11,collegedunia,211,api_ak1YWnZ0SUVMQzByTFBzV3FPS0lPQT09,1,0,0,1,1,0,0,0,0
