pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
76676,11,collegedunia,278_RV,api_NmdGZTVjMVFOeFRKOUtFd2diRTYrUT09,1,0,0,1,0,1,0,0,0
76676,11,collegedunia,278_RV,api_Q01zTGc5Q1NUZVlQVlgwWEsrUkJMUT09,1,0,0,1,0,1,0,0,0
76676,11,collegedunia,278_RV,api_a2h6Tlh4bDM3ZXYySzkvS05OajFrZz09,1,0,0,1,0,1,0,0,0
76676,11,collegedunia,279,api_YzNuSWNTRkRMa0lhYlpUdGtFVnhLZz09,1,0,0,1,0,1,0,0,0
76676,11,collegedunia,279,api_bElIN2Y1OWFGUk5yZVAvZU9qT3g0UT09,1,0,0,1,0,1,0,0,0
76676,11,collegedunia,277,api_dllSRlNvM0hZUHdOMHNWK0swMHdnQT09,1,0,0,1,0,1,0,0,0
76676,11,collegedunia,279,api_UkwxZFVCYzgyWUpaUXRuN1o0UURwdz09,1,0,0,1,0,1,0,0,0
76676,11,collegedunia,265,api_VXBOK3E4aHMrTnZEcG5jU3RCVTcrZz09,1,0,0,1,0,1,0,0,0
76676,11,collegedunia,265,api_b2JCQ0xhMnM0YndJaWhWdklWbzRZUT09,1,0,0,1,0,1,0,0,0
76676,11,collegedunia,265,api_SmVyN2ZIZUhkb0p0OHFnR0M2U2FDUT09,1,0,0,1,0,1,0,0,0
76676,11,collegedunia,265,api_dmxRMHhYZVlwM0VIZmh2bHJIelZEUT09,1,0,0,1,0,1,0,0,0
76676,11,collegedunia,266,api_c3hQYTlGSmZIeWpUV2Y0NFowNkRRdz09,1,0,0,1,0,1,0,0,0
76676,11,collegedunia,265,api_V0ZDbVJpck5WbGN4czE3L1Vzc2hEQT09,1,0,0,1,0,1,0,0,0
76676,11,collegedunia,266,api_c3V6UkxnclpQeU9zUGw5clhTbFJlQT09,1,0,0,1,0,1,0,0,0
76676,11,collegedunia,265,api_MEJLZ1IyTkcvdDhFdFJGQVpubGtiUT09,1,0,0,1,0,1,0,0,0
76676,11,collegedunia,265,api_L0poNHVJc3dGV3ZSNXFIOStuMVdOUT09,1,0,0,1,0,1,0,0,0
76676,11,collegedunia,265,api_NnBNbk5EcGJhbGxGeEgzVE93b283Zz09,1,0,0,1,0,1,0,0,0
76676,11,collegedunia,265,api_RmROR3A3WTVwK051RkdiaW9zZEprdz09,1,0,0,1,0,1,0,0,0
76676,11,collegedunia,266,api_THlUT0lIbEd3aVB3c1U3V0RWV3g5UT09,1,0,0,1,0,1,0,0,0
