pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
72473,11,collegedunia,208,api_140170012,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,textlink,online,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,230,api_elQ1OWhVVndnNXM4c1p4dFNBL1R1QT09,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,268,api_Z3hqR0dnOFZTcnpYV2t6bjZDcXkxQT09,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,271,api_NDdmQ1A3M29IbitUeTVVOXZpWk04UT09,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,admisisonpage_271_MPA,api_UlQxLzkrbnUxcmFSalB6TmxINDIyUT09,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,271,api_b3VlQ2MyNitBNGZYclBCSlEvV2pJdz09,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,252,api_WDhKUFlGZXhXRkJBOXZ0OHpWU0k0dz09,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,238,api_ZWpnZWg2a1owdFQ1bU9hb3pRTnpoQT09,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,257,api_Qm5lMUF1ajJJaVlYb0NxR0M4czNNZz09,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,262_cutoff,api_Mkx1bFI1WnQyeTg5UlI3eVpSY0tudz09,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,268,api_bjVqVmo2eG1GRGdXRExqQm90SFJmUT09,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,272,api_139575326,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,262,api_MGk0U3ZPMFl0TFNWa2R4N2d0RUs5dz09,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,272,api_139762971,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,270,api_139707279,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,234_MPA_admisisonpage,api_TXRpUkNkWFdUOWRHcEJWdEd1Qkx2dz09,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,263,api_VU04WUtUOGpaand6MVZobWEySjM0Zz09,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,230,api_eWh1UmNvem9Ec0U2ZXRiUExQWkwyZz09,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,263,api_cTRDU1hORlVEUXd6VlF2MUpaWnNPdz09,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,234,api_eDFEcWovTnpMM0szeFRGelQ1TFAydz09,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,204,api_139837779,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,234_MPA_placement_apply,api_WUt5UjZhaDNVZVRhRnl6Q0lCYnltUT09,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,245,api_cDRjaWJRT1JtRGQ4T3gwM0FkYzIxdz09,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,201,api_139951393,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,234,api_RitWSHJjbE5KL0FqaFRFdXF6cHgyUT09,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,230,api_139998528,1,0,0,1,1,0,0,0,0
72473,11,collegedunia,211,api_140165426,0,1,0,1,0,0,0,0,0
72473,11,collegedunia,234_newsarticle,api_NzQydGlWYUVycU1VeVBEc1cwR2t0dz09,0,1,0,1,0,0,0,0,0
72473,11,collegedunia,262_cutoff,api_VGJIc3MzVnMvL1U3QXJrb1RKVUNWdz09,0,1,0,1,0,0,0,0,0
72473,11,collegedunia,195,api_OTZTL2p2NjhYNXlQeWxqRmppZVlPdz09,0,1,0,1,0,0,0,0,0
72473,11,collegedunia,admisisonpage_279_MPA,api_SXZrZUU4UnNBTEFpSjFYZWo3Nk1nZz09,0,1,0,1,0,0,0,0,0
72473,11,collegedunia,198_cutoff,api_Smp1RGE4QUsyVHJib1k3OHpOd0tvUT09,0,1,0,1,0,0,0,0,0
72473,11,collegedunia,211_MPA_info_download_brochure,api_Y0lBcEZxN1pESzJaTDBXMWJDeU5VZz09,0,1,0,1,0,0,0,0,0
72473,11,collegedunia,211_MPA_coursefees_apply,api_THk5L1VhUExER1Z0S1VVQW9EZWQ3QT09,0,1,0,1,0,0,0,0,0
72473,11,collegedunia,257,api_VFJYREFZTEl6Z21pQXlPQjBDVjF3UT09,0,1,0,1,0,0,0,0,0
72473,11,collegedunia,257,api_NDNlajR5NSt6eHdjelEvL0ZoZXIxdz09,0,1,0,1,0,0,0,0,0
72473,11,collegedunia,211_MPA_cutoff,api_UnhiT1pMVExBTUJMaktYcE1MM21hUT09,0,1,0,1,0,0,0,0,0
72473,11,collegedunia,269,api_Q0Z2SGk2a1VIZkljNFpLVE9ObzNndz09,0,1,0,1,0,0,0,0,0
72473,11,collegedunia,250,api_Vk1vZHFCK2FkT21FOHBkVzJVencwUT09,0,1,0,1,0,0,0,0,0
72473,11,collegedunia,211_MPA_info_apply,api_dDBZRnJzWUNrWGpDdXQ3OW95bm9aQT09,0,1,0,1,0,0,0,0,0
72473,11,collegedunia,211_MPA_info_download_brochure,api_cmRmbmJaM2VKRytKQVNVUUFaTUljdz09,0,1,0,1,0,0,0,0,0
72473,11,collegedunia,268,api_NW1KOVpYc0VkV0l1SzlNL1plT1hWQT09,0,1,0,1,0,0,0,0,0
