pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
72230,11,collegedunia,260_LPS,api_139915245,1,0,0,1,1,0,0,0,0
72230,11,collegedunia,186,api_139990908,1,0,0,1,1,0,0,0,0
72230,11,collegedunia,186,api_140028774,1,0,0,1,1,0,0,0,0
72230,11,collegedunia,193,api_M1podXdWSGtnZks4eGdLTGZXU3JuZz09,0,1,0,1,0,0,0,0,0
72230,11,collegedunia,260,api_c3I1UkFhN3hyMS9CTUhPZSs3NkNVUT09,0,1,0,1,0,0,0,0,0
72230,11,collegedunia,260,api_ckxuVjArVEwvdFFwL2pNbGNTZS9KZz09,0,1,0,1,0,0,0,0,0
72230,11,collegedunia,260,api_eDZwejZwRC8xbDlTRjQ2UkdFNVRyQT09,0,1,0,1,0,0,0,0,0
72230,11,collegedunia,186,api_UGg5b3h4dEhJOW5YbW5Remd2SGFBQT09,0,1,0,1,0,0,0,0,0
72230,11,collegedunia,186,api_M0dVK1Ftb09aZk84ZW80TFR1UEhZUT09,0,1,0,1,0,0,0,0,0
72230,11,collegedunia,147,api_dHphSnptMEZzSStDM0xOempHbndJQT09,0,1,0,1,0,0,0,0,0
72230,11,collegedunia,186,api_140013447,0,1,0,1,0,0,0,0,0
72230,11,collegedunia,186,api_140036554,0,0,1,1,0,0,0,0,0
72230,11,collegedunia,186,api_140044679,0,0,1,1,0,0,0,0,0
72230,11,collegedunia,186,api_MEtpVEVrOSs5K20vVkFXdWJ5VmRlZz09,0,0,1,1,0,0,0,0,0
72230,11,collegedunia,186,api_UzFwSERDaXpDaDZUYzJJRTljQ0hmUT09,0,0,1,1,0,0,0,0,0
72230,11,collegedunia,193,api_VjgwMVd3ZVpJTEtOOW1XYjREcFM3Zz09,0,0,1,1,0,0,0,0,0
72230,11,collegedunia,193,api_dG5tL0h0dml0ZVdPMnFtaFFpb2NQUT09,0,0,1,1,0,0,0,0,0
72230,11,collegedunia,147,api_Ymd1bno4YWllSFV0S1pKL1lLUmpRZz09,0,0,1,1,0,0,0,0,0
72230,11,collegedunia,147,api_ZUxIWURJYUZvUG12eUdvOVNuK2RBdz09,0,0,1,1,0,0,0,0,0
72230,11,collegedunia,147,api_bHI5YXRJSmt6OURBT0t6QkVQamRYZz09,0,0,1,1,0,0,0,0,0
