pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
75319,11,collegedunia,221,api_VThCbnc1N0NmYjczWlg1bFMvSzhkUT09,1,0,0,1,1,0,0,0,1
75319,11,collegedunia,221,api_anZMOFJjbTZmODFud0F5MmEySEFWZz09,1,0,0,1,1,0,0,0,0
75319,11,collegedunia,221,api_eEt3VFJxcnNVSmU2ZWl0TUw4U3psZz09,1,0,0,1,1,0,0,0,0
75319,11,collegedunia,221,api_a3ExM2RHa29PVGxXdVdDR2FLSkxaZz09,1,0,0,1,1,0,0,0,1
75319,11,collegedunia,221,api_WmlRT1pHM0N6YnVuZXF3c3JnVnlydz09,1,0,0,1,1,0,0,0,0
75319,11,collegedunia,227_RV,api_VlZaQ3dkdlorcFZiOWlRRWNlemFyZz09,1,0,0,1,1,0,0,0,0
75319,11,collegedunia,Kamp23,online,1,0,0,1,1,0,0,0,0
75319,11,collegedunia,221,api_b1ZmbklLZWpnTng3MERKL0Jkb3hFQT09,1,0,0,1,1,0,0,0,0
75319,11,collegedunia,221,api_Y2NhUUFmUnhkZ0s5RTFoa3VaSlRnUT09,1,0,0,1,1,0,0,0,0
75319,11,collegedunia,271,api_bzBmYWNnTmNkejR2Um5OdGx6bHFMZz09,1,0,0,1,1,0,0,0,0
