pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
72119,11,collegedunia,156,API,142,77,51,270,142,0,0,0,0
72119,11,collegedunia,38,API,26,45,54,125,26,0,0,0,0
72119,11,collegedunia,271,API,16,19,18,53,16,0,0,0,0
72119,11,collegedunia,220,API,10,7,8,25,10,0,0,0,0
72119,11,collegedunia,201,API,9,11,7,27,9,0,0,0,0
72119,11,collegedunia,as11,online,8,7,6,21,8,0,0,0,0
72119,11,collegedunia,268,API,7,4,3,14,7,0,0,0,0
72119,11,collegedunia,227,API,7,20,15,42,7,0,0,0,0
72119,11,collegedunia,150,API,6,2,0,8,6,0,0,0,0
72119,11,collegedunia,173,API,5,1,1,7,5,0,0,0,0
72119,11,collegedunia,wapp11,online,4,4,4,12,4,0,0,0,0
72119,11,collegedunia,182,API,4,2,3,9,4,0,0,0,0
72119,11,collegedunia,227_RV,API,4,0,0,4,4,0,0,0,0
72119,11,collegedunia,181,API,4,6,5,15,4,0,0,0,0
72119,11,collegedunia,208,API,3,2,3,8,3,0,0,0,0
72119,11,collegedunia,272,API,3,1,0,4,3,0,0,0,0
72119,11,collegedunia,201_RV,API,3,0,0,3,3,0,0,0,0
72119,11,collegedunia,249,API,3,3,1,7,3,0,0,0,0
72119,11,collegedunia,290,API,2,2,4,8,2,0,0,0,0
72119,11,collegedunia,wapp12,online,2,2,1,5,2,0,0,0,0
72119,11,collegedunia,174,API,2,0,0,2,2,0,0,0,0
72119,11,collegedunia,230,API,2,0,0,2,2,0,0,0,0
72119,11,collegedunia,email12,Cj0KCQiAr5nKBhCpARIsACa_NiN-B4I8xrJVk3-0SACR-I5YpQrXR51FOEGZAX42eGf-9CbQrTDQ8gcaAi7BEALw_wcB,1,0,0,1,1,0,0,0,0
72119,11,collegedunia,email11,CjwKCAiAjc7KBhBvEiwAE2BDOfzVhZuFFnU5bQcqE2ceKzD6LonoeBuuwVGLciIDVTuTpQUAiDWftBoC4nkQAvD_BwE,1,0,0,1,1,0,0,0,0
72119,11,collegedunia,37,API,1,5,6,12,1,0,0,0,0
72119,11,collegedunia,153,API,1,16,49,66,1,0,0,0,0
72119,11,collegedunia,order92,online,1,0,0,1,1,0,0,0,0
72119,11,collegedunia,123,API,1,2,0,3,1,0,0,0,0
72119,11,collegedunia,149,API,1,0,0,1,1,0,0,0,0
72119,11,collegedunia,104_RV,API,1,0,0,1,1,0,0,0,0
72119,11,collegedunia,196,API,1,0,0,1,1,0,0,0,0
72119,11,collegedunia,211,API,1,0,0,1,1,0,0,0,0
72119,11,collegedunia,220_LPS,API,1,1,2,4,1,0,0,0,0
72119,11,collegedunia,267,API,1,1,0,2,1,0,0,0,0
72119,11,collegedunia,sms12,Cj0KCQjwgKjHBhChARIsAPJR3xc8Lw_2d1hL-r6qbPgMj_mQp-Ij-KdbW0E8NRuiG0eKfxJ2bDM-0CMaAm6NEALw_wcB,1,0,0,1,1,0,0,0,0
72119,11,collegedunia,sms13,952780764f981ded3f2de88bd7ab0871,1,0,0,1,1,0,0,0,0
72119,11,collegedunia,sms12,Cj0KCQjwsPzHBhDCARIsALlWNG2GVcBG3cQczafaOuba9QKaF__2Xn9iNAkdDKh1YZBMsfspSlXH8LMaAtDgEALw_wcB,1,0,0,1,1,0,0,0,0
72119,11,collegedunia,253,API,1,0,1,2,1,0,0,0,0
72119,11,collegedunia,252,API,1,0,5,6,1,0,0,0,0
72119,11,collegedunia,270,API,1,0,2,3,1,0,0,0,0
72119,11,collegedunia,sms13,cacd3404e5b715dd495c5d02f702d1b6,1,0,0,1,1,0,0,0,0
72119,11,collegedunia,228,API,1,2,4,7,1,0,0,0,0
72119,11,collegedunia,272_RV,API,1,0,0,1,1,0,0,0,0
72119,11,collegedunia,288,API,0,14,11,25,0,0,0,0,0
72119,11,collegedunia,35,API,0,2,0,2,0,0,0,0,0
72119,11,collegedunia,251,API,0,2,2,4,0,0,0,0,0
72119,11,collegedunia,email11,CjwKCAiAjc7KBhBvEiwAE2BDOZd6qL5eM9r8xZ6lJRcQDvkVdOTSAw8KRzdEKYlaFk2smvOOEK-IJRoCNlwQAvD_BwE,0,1,0,1,0,0,0,0,0
72119,11,collegedunia,148,API,0,1,0,1,0,0,0,0,0
72119,11,collegedunia,208_LPS,API,0,1,0,1,0,0,0,0,0
72119,11,collegedunia,271_LPS,API,0,1,1,2,0,0,0,0,0
72119,11,collegedunia,155,API,0,0,7,7,0,0,0,0,0
72119,11,collegedunia,214,API,0,0,2,2,0,0,0,0,0
72119,11,collegedunia,228_RV,API,0,0,2,2,0,0,0,0,0
72119,11,collegedunia,email12,Cj0KCQiAx8PKBhD1ARIsAKsmGbeKRMwv9e6wfnzD3Sw98pg9HO5Bxz6WOPiyv0DCVwQQCZtHcFkjfKQaAtVWEALw_wcB,0,0,1,1,0,0,0,0,0
72119,11,collegedunia,172,API,0,0,1,1,0,0,0,0,0
72119,11,collegedunia,order91,online,0,0,1,1,0,0,0,0,0
