pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
72371,11,collegedunia,CDC,online,86,1,0,87,86,0,0,0,4
72371,11,collegedunia,220_MPA,api_140120295,1,0,0,1,1,0,0,0,1
72371,11,collegedunia,182,api_140041261,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,CDC_NM,online,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,267,api_139288711,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,270,api_140153285,1,0,0,1,1,0,0,0,1
72371,11,collegedunia,as11,online,1,0,1,2,1,0,0,0,0
72371,11,collegedunia,271,api_bFhDYlVTanNxNStTTmljT0JHNk5wUT09,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,268,api_cmtuYmhCczMxbldZMHhqMGxBcS94dz09,1,0,0,1,1,0,0,0,1
72371,11,collegedunia,270,api_eXFjZi8yQWRJVkxVdzNjOG1UNHFLUT09,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,kamp21,Cj0KCQiA6Y7KBhCkARIsAOxhqtPrs_javlEO6_J93HAzrcjeRSM6WnMnVqyoz9FN0VIDJJRDYygc_G8aAnXLEALw_wcB,1,0,0,1,1,0,0,0,1
72371,11,collegedunia,271,api_Q21pMUNzQXFyZE5CNXk4QUpyL0srZz09,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,220,api_SGVwa1NpTk5mK213T3pkdmlmdEJ3Zz09,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,222,api_ZjhhTGw2eE1uNHI1YTJUUDNDV0hEZz09,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,211_MPA,api_R2ZkNUNhbGk2VUNoNWVySzVlcEhyUT09,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,220_MPA,api_MUZoaythd3ZGMVBDL0VLSDFKRTB5QT09,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,279,api_WXVmbVFJZUw0Nzh6SUJWS2tjY05pQT09,1,0,0,1,1,0,0,0,1
72371,11,collegedunia,kamp22,online,1,0,0,1,1,0,0,0,1
72371,11,collegedunia,271,api_139801411,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,272,api_139737855,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,270,api_139121020,1,0,0,1,0,1,0,0,0
72371,11,collegedunia,272,api_139888617,1,0,0,1,1,0,0,0,1
72371,11,collegedunia,272,api_139887219,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,271,api_139909819,1,0,0,1,1,0,0,0,1
72371,11,collegedunia,272,api_139887201,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,272,api_139883163,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,272,api_139919265,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,270,api_139814320,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,270,api_139786070,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,270,api_139786069,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,270,api_139786037,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,268,api_139600146,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,270,api_139573392,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,271,api_139703876,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,268,api_139532299,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,270,api_139958052,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,272,api_139986519,1,0,0,1,1,0,0,0,1
72371,11,collegedunia,271,api_140020530,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,272,api_140064009,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,182,api_139988732,1,0,0,1,0,1,0,0,1
72371,11,collegedunia,271,api_140108331,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,268,api_139374480,1,0,0,1,1,0,0,0,0
72371,11,collegedunia,156,api_140129101,0,1,0,1,0,0,0,0,0
72371,11,collegedunia,211,api_UFhvZmg3blRZKzBJb1I5WDZJQldMUT09,0,1,0,1,0,0,0,0,0
72371,11,collegedunia,182,api_Z01PS29ORzErQ2swUVJxYng1N1Q0UT09,0,1,0,1,0,0,0,0,0
72371,11,collegedunia,182,api_ZDFPSFZhcGdtQjlxSUxQTjJINFJIdz09,0,1,0,1,0,0,0,0,0
72371,11,collegedunia,182,api_bzRRdXplN1dyeUtWcjFVMTdBVWwvUT09,0,1,0,1,0,0,0,0,0
72371,11,collegedunia,182_RV,api_R1EvdHkwQ3Jaa0lBbDIzWFhiZ1NjZz09,0,1,0,1,0,0,0,0,0
72371,11,collegedunia,272,api_140037930,0,1,0,1,0,0,0,0,0
72371,11,collegedunia,156,api_140130077,0,0,1,1,0,0,0,0,0
72371,11,collegedunia,271,api_WjdLVzFOOHJqRUU1WXVERFZ0SUJ0dz09,0,0,1,1,0,0,0,0,0
72371,11,collegedunia,200,api_QTA1RlJZK2Rjanl0TGNGUlFiQVdOQT09,0,0,1,1,0,0,0,0,0
72371,11,collegedunia,200,api_cmhlbFM5b09WM21SdFFqNHF0Z29Edz09,0,0,1,1,0,0,0,0,0
72371,11,collegedunia,182,api_T0YyZzFHb0VIV1VOYW1xV1d6cUxkUT09,0,0,1,1,0,0,0,0,0
72371,11,collegedunia,182,api_ME16blY1Y1dQM3FLK1RreEUxUFVoQT09,0,0,1,1,0,0,0,0,0
72371,11,collegedunia,182,api_a01iNTlMclRUaXNqM01wRVQvdXFoZz09,0,0,1,1,0,0,0,0,0
