pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
73507,11,collegedunia,code01,2026,11,2,1,14,0,11,0,0,0
73507,11,collegedunia,code03,2026,7,4,3,14,0,7,0,0,0
73507,11,collegedunia,textlink,2026,2,0,1,3,0,2,0,0,0
73507,11,collegedunia,277,api_OVlHM3B2bXNZZXZHSFdtZU83R1IxUT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,279,api_WFh0ZnFZSm5vRTRaVjBXeklOWGVldz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_YUpTMjlQcGVDTEY0RVBQaDlXZ3VPQT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_OGVRRDl5cDROQ05kN3p1MUIxcmQ5UT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,268,api_NVhZZkNpRFpIQmFXMUdMaTkxWkI1UT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,228,api_SW13UUhtaUtBQWFCZjhnZTRTSnA0UT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_RTdrYjNPcW9GWXRrUEFaY1d1MXdhUT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_bkFvRXlSYUJWYWlEcTFKcnF4TnpVQT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_RXZJN004ak11eGcydzh3b2hXUWtIdz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_VVExelZBSWJOMmppWFozQ1F4N1Bjdz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_MGFZWGZuZGxCNk9RRWMxaUJyNjlyUT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_MWFoeU9pV3YySHk3WCt3STFCUkRyZz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_c3hvSm9DNHp4SVh4M3pSa2Rna29wQT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_SW90R2FWaHpIZFpuUS9pUSthT2JTUT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_UldPWVhSRlJ3NWZlamF3TUoreGpMZz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_aXk2MVZja2FHSG9pWlhkZDkrTyt5UT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,272,api_N3FQekpYVEhhUUZ1eVV1NnJESCtCZz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,272,api_V0FUdVNqT1l3WDJQc0h4YTlpazdFQT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,272,api_RVhBZXB2elp4cnNFSjBkdHY3ZDhYZz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,272,api_NHU5Z3owQitnSVpjWm9DU1JxWHdmdz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,272,api_and0NDMvek8xaCtjajRoSVhNU1JuQT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,271,api_QWd0N0FRWndSc3hoMXFwV2pITFFEZz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,272,api_K1NzbXhBdkgzVS9JakhwS2ZYUk5aQT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,253,api_cktIVXJtVENtTENsajJPZW94T2plZz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,270,api_UXhwcDN6eVFCOGU1TXhBM2E0aEh6dz09,1,0,0,1,1,0,0,0,0
73507,11,collegedunia,251,api_MUtrQ01Wcml0bTFxWU8wNGlrNyt0UT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,272,api_VXFYRk5WTU03bEZQVzYzbGhvTU8rQT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,272,api_Nmx1dXZRL1k4cDNFdXpVaDVtNmplQT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,272,api_dkYzcys3Y003Ym0yc1NydkYwcURwZz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,253,api_L3RDYXUwWTdBcnZCbjBwSlVaNHVnZz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_czJDM213N0VHWlBtSjA3dWlaOGVSQT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,272,api_WXl6S0dSQ0RpaVZ5VTQ3eW5NZGVhdz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,182,api_c0tmeTdiYUtKN0NWUlQ3c1I5VE96dz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,182,api_VXpaY2gyVlpFbXowRXVldmZBTUp2dz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,182,api_Qktnb1pZOXpadGFrSzVHMXFaNHAydz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,182,api_VHR2L2s4K0JBMm4vYU9XREg3eDZidz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,182,api_cE9MVmFkR3RvQ3NvOGZLVFJpN2pNZz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,272,api_MVpKeG4vWWhDYkMzc3NsTTJhQkwydz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_ZERiNWZzbFo5b1AzbU9oS3NrY0MwUT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_dzU3OWwvRHpoaTc1UWlqQktDOEVrUT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_NldiaUFrVWVMbzJjUFZRUTFWWDZ0dz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_VFNKOTQ5UzU3cHZsRHpMa1ZnMUpsZz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_K2c0emxjRVJRTGlMU0NMUW5lSGVmdz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_TTlPdGJBUE9sQ0NKTGpqelFqWWhCUT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_b2QwRFdNNjdERjhQaFFoTy9jcVludz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_ckpjak44R3RWdm5wekl5K0RiYStsdz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_MEs3dVdtNC9rYktjYmJFNCtWMjRWZz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_cHV1VUFpOUgvdFA2U09Pc25SeXladz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_QXNjdTdETHI2ZitZSU9TdGt2ZWpHUT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_bC9TdktSdUdZSU1uUGNrOUVUY21nQT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_TEQvblhjM2JOMVova2J4b2hwbnZPQT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_RXN2eWNkdnN4UzNPVEprZVdtL1U4QT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_bEZqSjV3WnkrYnl2SUV0YU1OdStIUT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_aWQvY0IvTTY4cGU1QjdvYWI0bkJNUT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_Ymhjd3ZQQlU2OE5Pa0RVNGF1RHFPdz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_M3pFcVNWNU5yRmdiTWN6dUJxQTFGQT09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_Q2JUa05UcDFub3Fpa3UrWEtzSGhzZz09,1,0,0,1,0,1,0,0,0
73507,11,collegedunia,156,api_QVI3c2wvZEVwY24xM1RmbU9wbnNJQT09,1,0,0,1,0,1,0,0,0
