pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
73544,11,collegedunia,220,api_cXlMRzBLWVF3NXU4bHo4QmlqUGpJdz09,1,0,0,1,1,0,0,0,0
73544,11,collegedunia,220,api_cGtHQ1ZnTW5oOGVqOXEyd3pFYVM2Zz09,1,0,0,1,1,0,0,0,1
73544,11,collegedunia,228,api_eWNZR21FeXo4OHFySEljcW4vT24wQT09,1,0,0,1,1,0,0,0,0
73544,11,collegedunia,228,api_NytPM1hhNWMrVFZxZlVRZ0pjNmt6dz09,1,0,0,1,1,0,0,0,0
73544,11,collegedunia,228,api_WXcxV3ozQ3RydTNrNllFQ1ViWUhhQT09,1,0,0,1,1,0,0,0,0
73544,11,collegedunia,228,api_SjhDYWVXV2FHKytReE55SE5WaXpIUT09,1,0,0,1,1,0,0,0,0
73544,11,collegedunia,279_MPA,api_aHZwWjU2dmwxemJRNHdDVVAzNllnZz09,1,0,0,1,1,0,0,0,0
73544,11,collegedunia,264,api_S29JdHJwTW40MzA4eU14OTh5THJJQT09,1,0,0,1,1,0,0,0,0
73544,11,collegedunia,230,api_N05PbnZNdUQwQTVZaC9xRFF4bzgyQT09,1,0,0,1,1,0,0,0,0
73544,11,collegedunia,228,api_c3JCRFUxbzI0VzhFaStkR3Z1WFdFUT09,1,0,0,1,1,0,0,0,0
73544,11,collegedunia,228,api_U3BtdUtqc3FnNEtHNmw2M3p1Y1FDQT09,1,0,0,1,1,0,0,0,0
73544,11,collegedunia,227,api_aGNIZE00eWJ3ZHhMdzY1czh2SDQ5dz09,1,0,0,1,1,0,0,0,0
73544,11,collegedunia,220,api_OVFadHg1am9ERElJWUZBSEdFZmxhQT09,0,1,0,1,0,0,0,0,0
73544,11,collegedunia,182,api_aEF3eXNrTGlZRzRjQ0F6ZldKQnljdz09,0,1,0,1,0,0,0,0,0
73544,11,collegedunia,264,api_YllvcFZRNXVwQndSaTZKQzl2RUkwUT09,0,1,0,1,0,0,0,0,0
73544,11,collegedunia,262_collegedunia_generic,api_T3JGZm1hbm9RTTBFY3d1WFNlSHdDUT09,0,0,1,1,0,0,0,0,0
73544,11,collegedunia,266,api_SE42bW1sT1hobjlQY01LZ0ZiVTZUZz09,0,0,1,1,0,0,0,0,0
