pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
,11,collegedunia,276,api_139972624,1,0,0,1,1,0,0,0,0
,11,collegedunia,276,api_139982251,1,0,0,1,1,0,0,0,0
,11,collegedunia,276,api_139971843,1,0,0,1,1,0,0,0,0
,11,collegedunia,276,api_139969058,1,0,0,1,1,0,0,0,0
,11,collegedunia,276,api_139954739,1,0,0,1,1,0,0,0,0
,11,collegedunia,276,api_140004709,1,0,0,1,1,0,0,0,0
,11,collegedunia,276,api_139954194,1,0,0,1,1,0,0,0,0
,11,collegedunia,276,api_139965442,1,0,0,1,1,0,0,0,0
,11,collegedunia,276,api_139948282,1,0,0,1,1,0,0,0,0
,11,collegedunia,276,api_139953713,1,0,0,1,1,0,0,0,0
