pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
72249,11,collegedunia,CDC_Naman,online,5,0,0,5,5,0,0,0,0
72249,11,collegedunia,cll_123,online,2,0,0,2,2,0,0,0,0
72249,11,collegedunia,cll_100,online,2,0,0,2,2,0,0,0,0
72249,11,collegedunia,232,api_140134253,1,0,0,1,1,0,0,0,0
72249,11,collegedunia,cll_126,online,1,0,0,1,1,0,0,0,0
72249,11,collegedunia,cll_124,online,1,0,0,1,1,0,0,0,0
72249,11,collegedunia,kamp22,Cj0KCQiAiqDJBhCXARIsABk2kSmRVwWgbdUaUW4IX9z6Bwusequ8kng5SQzwakCYLGogf8VU6CryuKUaAl6rEALw_wcB,1,0,0,1,1,0,0,0,0
72249,11,collegedunia,cll_109,online,1,0,0,1,1,0,0,0,0
72249,11,collegedunia,cll_120,online,1,0,0,1,1,0,0,0,0
72249,11,collegedunia,cll_175,online,1,0,0,1,1,0,0,0,0
72249,11,collegedunia,271,api_TUkxMVVGa2VockttakRGYjVTOXRMdz09,1,0,0,1,1,0,0,0,0
72249,11,collegedunia,email,online,1,0,0,1,1,0,0,0,0
72249,11,collegedunia,cll_168,online,1,0,0,1,1,0,0,0,0
72249,11,collegedunia,182,api_139832766,1,0,0,1,1,0,0,0,0
72249,11,collegedunia,268,api_139958066,1,0,0,1,1,0,0,0,0
72249,11,collegedunia,272,api_139888615,1,0,0,1,1,0,0,0,0
72249,11,collegedunia,267,api_139814148,1,0,0,1,1,0,0,0,0
72249,11,collegedunia,182,api_139988626,1,0,0,1,1,0,0,0,0
72249,11,collegedunia,182,api_139988467,1,0,0,1,1,0,0,0,0
72249,11,collegedunia,272_LPS,api_139993158,1,0,0,1,1,0,0,0,1
72249,11,collegedunia,252,api_139743845,1,0,0,1,1,0,0,0,0
72249,11,collegedunia,268,api_139573244,1,0,0,1,1,0,0,0,0
72249,11,collegedunia,271,api_akdkci9XWG1STUt3VGsvWmhFZjhlQT09,0,1,0,1,0,0,0,0,0
72249,11,collegedunia,153,api_a1ZOTXYwbDUvTldCaGg1RFQ5TDdLdz09,0,1,0,1,0,0,0,0,0
72249,11,collegedunia,153,api_bmtxYzNYb2dhSTdDQU55ak0rdGZLZz09,0,1,0,1,0,0,0,0,0
72249,11,collegedunia,271,api_VVRZZHV0U3VrNG9OMjIrS0NLV2tjUT09,0,0,1,1,0,0,0,0,0
72249,11,collegedunia,268,api_aXZMVEFKY0RqODZQWkFNME9EdExaZz09,0,0,1,1,0,0,0,0,0
72249,11,collegedunia,263,api_TmlOQ2FOaWVwM2Yvb0MyWnliZ2oyQT09,0,0,1,1,0,0,0,0,0
72249,11,collegedunia,228,api_139945582,0,0,1,1,0,0,0,0,0
