pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
,11,collegedunia,as11,online,48,7,0,55,48,0,0,0,0
,11,collegedunia,279,api,2,0,0,2,2,0,0,0,0
,11,collegedunia,sms,online,1,0,0,1,1,0,0,0,0
,11,collegedunia,textlink25,online,1,0,0,1,1,0,0,0,0
,11,collegedunia,156,api_140100738,1,0,0,1,1,0,0,0,0
,11,collegedunia,279,api_[%lead_id%],0,1,0,1,0,0,0,0,0
,11,collegedunia,279_LPS,api_140104482,0,1,0,1,0,0,0,0,0
,11,collegedunia,279_LPS,api_140109689,0,1,0,1,0,0,0,0,0
,11,collegedunia,295,api_140118337,0,1,0,1,0,0,0,0,0
,11,collegedunia,295,api_140118726,0,1,0,1,0,0,0,0,0
,11,collegedunia,295,api_140138125,0,1,0,1,0,0,0,0,0
,11,collegedunia,295,api_140147285,0,1,0,1,0,0,0,0,0
,11,collegedunia,295,api_140155113,0,1,0,1,0,0,0,0,0
,11,collegedunia,156,api_140125367,0,1,0,1,0,0,0,0,0
,11,collegedunia,156,api_140125333,0,1,0,1,0,0,0,0,0
,11,collegedunia,156,api_140122308,0,1,0,1,0,0,0,0,0
,11,collegedunia,156,api_140124542,0,1,0,1,0,0,0,0,0
,11,collegedunia,156,api_140122628,0,1,0,1,0,0,0,0,0
,11,collegedunia,156,api_140124481,0,1,0,1,0,0,0,0,0
,11,collegedunia,156,api_140123268,0,1,0,1,0,0,0,0,0
,11,collegedunia,295,api_TWh2bDZWUTcreUhzVEV6NHNkZ09WQT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,156,api_YlpKaXROQmQ0cTAySVBBZms1UysrQT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,156,api_clRiWFFJWTBxaU1iZncwNXBaWDhjQT09,0,1,0,1,0,0,0,0,0
,11,collegedunia,156,api_d3pyTmd5citHblFuRXYwRWhScFpRZz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,156,api_ei9jc1JIb2l6ejkxVHJKcnNIcmp6Zz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,156,api_UUY5UHB2VVg2SytvUXZPTlJSYVNwdz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,156,api_Q1BvTUVJekEvSGROK09mdzlFN2ZmZz09,0,1,0,1,0,0,0,0,0
,11,collegedunia,156,api_140125546,0,0,1,1,0,0,0,0,0
,11,collegedunia,156,api_140101684,0,0,1,1,0,0,0,0,0
,11,collegedunia,295,api_UitzcU1zdmQ4WUhybDFrdUtPcUlRZz09,0,0,1,1,0,0,0,0,0
