Lead Origin,Country,State,City,Instance,Instance Date,Campaign,Lead Stage,Lead Status,Email Verification Status,Mobile Verification Status,Lead Score,Registration Device,Course,Specialization,Campus,Last Lead Activity Date,Form Initiated,Paid Applications,Enrolment Status
API,India,Andhra Pradesh,Bapatla,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Electronics and Communication Engineering (ECE),University Not Available,16-03-2026 16:37,0,0,No
API,India,Andaman and Nicobar,Nancowry,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:36,0,0,No
API,India,Gujarat,Vapi,Primary,16-03-2026,collegedunia/265/api,Unanswered/No response,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Artificial Intelligence and Machine Learning),University Not Available,16-03-2026 16:36,0,0,No
API,India,Uttarakhand,Udham Singh Nagar,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Electronics and Communication Engineering (ECE),University Not Available,16-03-2026 16:35,0,0,No
API,India,Telangana,Hyderabad,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:35,0,0,No
API,India,Uttar Pradesh,Faizabad,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,"B.Tech - CSE (IOT, Cyber Security and Blockchain",University Not Available,16-03-2026 16:35,0,0,No
API,India,Maharashtra,Dhule,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Electronics and Communication Engineering (ECE),University Not Available,16-03-2026 16:35,0,0,No
API,India,Maharashtra,Pune,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,"B.Tech - CSE (IOT, Cyber Security and Blockchain",University Not Available,16-03-2026 16:35,0,0,No
API,India,Tamil Nadu,Chennai,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Artificial Intelligence and Machine Learning),University Not Available,16-03-2026 16:35,0,0,No
API,India,Andhra Pradesh,Tirupati,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:35,0,0,No
API,India,Rajasthan,Jaipur,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:35,0,0,No
API,India,Tamil Nadu,Chennai,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Artificial Intelligence and Machine Learning),University Not Available,16-03-2026 16:34,0,0,No
API,India,Telangana,Karimnagar,Primary,16-03-2026,collegedunia/266/api,Not Interested,Unverified,No,No,1,,B.Tech,"B.Tech - CSE (IOT, Cyber Security and Blockchain",University Not Available,16-03-2026 16:34,0,0,No
API,India,Delhi,New Delhi,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:34,0,0,No
API,India,Uttarakhand,Haridwar,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,"B.Tech - CSE (IOT, Cyber Security and Blockchain",University Not Available,16-03-2026 16:34,0,0,No
API,India,Uttar Pradesh,Gorakhpur,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:34,0,0,No
API,India,Maharashtra,Pune,Primary,16-03-2026,collegedunia/266/api,Unanswered/No response,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:34,0,0,No
API,India,Tamil Nadu,Chennai,Primary,16-03-2026,collegedunia/265/api,Unanswered/No response,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Artificial Intelligence and Machine Learning),University Not Available,16-03-2026 16:34,0,0,No
API,India,Haryana,City Not Available,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,"B.Tech - CSE (IOT, Cyber Security and Blockchain",University Not Available,16-03-2026 16:34,0,0,No
API,India,Uttar Pradesh,Lucknow,Primary,16-03-2026,collegedunia/266/api,Junk,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:33,0,0,No
API,India,Telangana,Hyderabad,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:33,0,0,No
API,India,Himachal Pradesh,City Not Available,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,"B.Tech - CSE (IOT, Cyber Security and Blockchain",University Not Available,16-03-2026 16:33,0,0,No
API,India,Chandigarh,Chandigarh,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:33,0,0,No
API,India,Uttar Pradesh,Meerut,Primary,16-03-2026,collegedunia/265/api,Unanswered/No response,Unverified,No,No,1,,B.Tech,B.Tech - Electronics and Communication Engineering (ECE),University Not Available,16-03-2026 16:33,0,0,No
API,India,Telangana,Hyderabad,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,"B.Tech - CSE (IOT, Cyber Security and Blockchain",University Not Available,16-03-2026 16:32,0,0,No
API,India,Haryana,Yamuna Nagar,Primary,16-03-2026,collegedunia/266/api,Initiated,Unverified,No,No,1,,B.Tech,B.Tech - Electronics and Communication Engineering (ECE),University Not Available,16-03-2026 16:32,0,0,No
API,India,Tamil Nadu,Chennai,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Artificial Intelligence and Machine Learning),University Not Available,16-03-2026 16:32,0,0,No
API,India,West Bengal,North 24 Parganas,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:32,0,0,No
API,India,Andhra Pradesh,Visakhapatnam,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Artificial Intelligence and Machine Learning),University Not Available,16-03-2026 16:32,0,0,No
API,India,Uttar Pradesh,Noida,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:31,0,0,No
API,India,Rajasthan,Bharatpur,Primary,16-03-2026,collegedunia/265/api,Junk,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Artificial Intelligence and Machine Learning),University Not Available,16-03-2026 16:31,0,0,No
API,India,Maharashtra,Chandrapur,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:31,0,0,No
API,India,Haryana,Bhiwani,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Electronics and Communication Engineering (ECE),University Not Available,16-03-2026 16:31,0,0,No
API,India,Rajasthan,Jaipur,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,"B.Tech - CSE (IOT, Cyber Security and Blockchain",University Not Available,16-03-2026 16:31,0,0,No
API,India,Rajasthan,Jodhpur,Primary,16-03-2026,collegedunia/266/api,Unanswered/No response,Unverified,No,No,1,,B.Tech,"B.Tech - CSE (IOT, Cyber Security and Blockchain",University Not Available,16-03-2026 16:31,0,0,No
API,India,Bihar,Patna,Primary,16-03-2026,collegedunia/266/api,Not Interested,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:31,0,0,No
API,India,Maharashtra,Latur,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:31,0,0,No
API,India,Uttar Pradesh,Lucknow,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:31,0,0,No
API,India,Haryana,Rohtak,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:31,0,0,No
API,India,Haryana,Hisar,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:30,0,0,No
API,India,Assam,Tezpur,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:30,0,0,No
API,India,Kerala,Kochi,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,"B.Tech - CSE (IOT, Cyber Security and Blockchain",University Not Available,16-03-2026 16:29,0,0,No
API,India,Tamil Nadu,City Not Available,Primary,16-03-2026,collegedunia/265/api,Not Interested,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Artificial Intelligence and Machine Learning),University Not Available,16-03-2026 16:29,0,0,No
API,India,Karnataka,Bengaluru,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:29,0,0,No
API,India,Haryana,Sonipat,Primary,16-03-2026,collegedunia/266/api,Unanswered/No response,Unverified,No,No,1,,B.Tech,"B.Tech - CSE (IOT, Cyber Security and Blockchain",University Not Available,16-03-2026 16:29,0,0,No
API,India,Karnataka,Bengaluru,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:29,0,0,No
API,India,Maharashtra,Pune,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Electronics and Communication Engineering (ECE),University Not Available,16-03-2026 16:29,0,0,No
